species	gene	accession	length_aa	description
Apis_laboriosa	LOC122710332	XP_043784036.1	494	XP_043784036.1 tyrosine-protein phosphatase non-receptor type 1 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710333	XP_043784040.1	395	XP_043784040.1 uncharacterized protein LOC122710333 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710334	XP_043784042.1	409	XP_043784042.1 L-lactate dehydrogenase-like [Apis laboriosa]
Apis_laboriosa	LOC122710335	XP_043784043.1	1041	XP_043784043.1 multiple C2 and transmembrane domain-containing protein isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710336	XP_043784048.1	350	XP_043784048.1 DNA-binding protein D-ETS-3-like isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710337	XP_043784052.1	1127	XP_043784052.1 adenylyl cyclase X E-like isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710338	XP_043784061.1	371	XP_043784061.1 dnaJ homolog subfamily C member 28 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710339	XP_043784057.1	1080	XP_043784057.1 importin-4-like [Apis laboriosa]
Apis_laboriosa	LOC122710340	XP_043784058.1	434	XP_043784058.1 retinoid-inducible serine carboxypeptidase-like isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710341	XP_043784060.1	358	XP_043784060.1 GDP-mannose 4,6 dehydratase isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710342	XP_043784063.1	262	XP_043784063.1 forkhead box protein C1-A-like isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710343	XP_043784065.1	236	XP_043784065.1 proteasome subunit beta type-1 [Apis laboriosa]
Apis_laboriosa	LOC122710344	XP_043784066.1	147	XP_043784066.1 endothelial differentiation-related factor 1 homolog [Apis laboriosa]
Apis_laboriosa	LOC122710345	XP_043784067.1	429	XP_043784067.1 flotillin-1 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710346	XP_043784070.1	296	XP_043784070.1 telomere length and silencing protein 1 homolog [Apis laboriosa]
Apis_laboriosa	LOC122710347	XP_043784071.1	190	XP_043784071.1 muscle calcium channel subunit alpha-1-like [Apis laboriosa]
Apis_laboriosa	LOC122710348	XP_043784072.1	471	XP_043784072.1 transmembrane protein 268 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710349	XP_043784076.1	351	XP_043784076.1 tetratricopeptide repeat protein 19 homolog, mitochondrial [Apis laboriosa]
Apis_laboriosa	LOC122710350	XP_043784077.1	110	XP_043784077.1 uncharacterized protein LOC122710350 [Apis laboriosa]
Apis_laboriosa	LOC122710351	XP_043784082.1	303	XP_043784082.1 serine/threonine-protein phosphatase 6 catalytic subunit [Apis laboriosa]
Apis_laboriosa	LOC122710352	XP_043784078.1	358	XP_043784078.1 activating transcription factor of chaperone isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710353	XP_043784080.1	982	XP_043784080.1 zinc finger CCCH domain-containing protein 18-like [Apis laboriosa]
Apis_laboriosa	LOC122710354	XP_043784086.1	507	XP_043784086.1 HMG box transcription factor BBX isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710355	XP_043784088.1	1181	XP_043784088.1 trimethylguanosine synthase isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710356	XP_043784090.1	693	XP_043784090.1 gastrula zinc finger protein XlCGF58.1-like isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710357	XP_043784095.1	1094	XP_043784095.1 formin-like protein isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710358	XP_043784094.1	308	XP_043784094.1 leukocyte receptor cluster member 1 homolog [Apis laboriosa]
Apis_laboriosa	LOC122710359	XP_043784096.1	88	XP_043784096.1 small nuclear ribonucleoprotein F [Apis laboriosa]
Apis_laboriosa	LOC122710360	XP_043784097.1	130	XP_043784097.1 chromosome transmission fidelity protein 8 homolog [Apis laboriosa]
Apis_laboriosa	LOC122710361	XP_043784098.1	451	XP_043784098.1 UDP-glucuronic acid decarboxylase 1 [Apis laboriosa]
Apis_laboriosa	LOC122710362	XP_043784099.1	503	XP_043784099.1 succinate-semialdehyde dehydrogenase, mitochondrial isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710363	XP_043784101.1	392	XP_043784101.1 lipid droplet-regulating VLDL assembly factor AUP1 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710364	XP_043784105.1	1434	XP_043784105.1 extracellular sulfatase SULF-1 homolog isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710365	XP_043784110.1	1267	XP_043784110.1 J domain-containing protein DDB_G0295729 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710366	XP_043784116.1	682	XP_043784116.1 protein crooked neck [Apis laboriosa]
Apis_laboriosa	LOC122710367	XP_043784117.1	404	XP_043784117.1 G-protein coupled receptor moody isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710368	XP_043784119.1	613	XP_043784119.1 protein Smaug homolog 1 [Apis laboriosa]
Apis_laboriosa	LOC122710369	XP_043784120.1	116	XP_043784120.1 protein yippee-like 5 [Apis laboriosa]
Apis_laboriosa	LOC122710370	XP_043784121.1	109	XP_043784121.1 E3 ubiquitin-protein ligase MARCHF5-like [Apis laboriosa]
Apis_laboriosa	LOC122710371	XP_043784138.1	592	XP_043784138.1 uncharacterized protein LOC122710371 isoform X2 [Apis laboriosa]
Apis_laboriosa	LOC122710372	XP_043784122.1	166	XP_043784122.1 transmembrane protein 223 [Apis laboriosa]
Apis_laboriosa	LOC122710373	XP_043784123.1	399	XP_043784123.1 dopamine receptor 3-like [Apis laboriosa]
Apis_laboriosa	LOC122710374	XP_043784124.1	123	XP_043784124.1 mitochondrial pyruvate carrier 4-like [Apis laboriosa]
Apis_laboriosa	LOC122710375	XP_043784126.1	733	XP_043784126.1 hormone-sensitive lipase [Apis laboriosa]
Apis_laboriosa	LOC122710376	XP_043784128.1	523	XP_043784128.1 GTP-binding protein RAD-like isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710377	XP_043784130.1	477	XP_043784130.1 pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1 [Apis laboriosa]
Apis_laboriosa	LOC122710378	XP_043784131.1	190	XP_043784131.1 28S ribosomal protein S18b, mitochondrial [Apis laboriosa]
Apis_laboriosa	LOC122710379	XP_043784132.1	1036	XP_043784132.1 arfGAP with SH3 domain, ANK repeat and PH domain-containing protein isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710380	XP_043784139.1	511	XP_043784139.1 protein-cysteine N-palmitoyltransferase Rasp [Apis laboriosa]
Apis_laboriosa	LOC122710381	XP_043784140.1	336	XP_043784140.1 exodeoxyribonuclease [Apis laboriosa]
Apis_laboriosa	LOC122710382	XP_043784141.1	415	XP_043784141.1 all trans-polyprenyl-diphosphate synthase PDSS2 [Apis laboriosa]
Apis_laboriosa	LOC122710383	XP_043784142.1	154	XP_043784142.1 40S ribosomal protein S19-like [Apis laboriosa]
Apis_laboriosa	LOC122710384	XP_043784185.1	317	XP_043784185.1 lambda-crystallin homolog [Apis laboriosa]
Apis_laboriosa	LOC122710385	XP_043784143.1	848	XP_043784143.1 interaptin [Apis laboriosa]
Apis_laboriosa	LOC122710386	XP_043784144.1	745	XP_043784144.1 iron-sulfur clusters transporter ABCB7, mitochondrial isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710387	XP_043784150.1	480	XP_043784150.1 ovarian-specific serine/threonine-protein kinase Lok-like [Apis laboriosa]
Apis_laboriosa	LOC122710388	XP_043784147.1	392	XP_043784147.1 acyl-coenzyme A diphosphatase FITM2 [Apis laboriosa]
Apis_laboriosa	LOC122710389	XP_043784148.1	928	XP_043784148.1 uncharacterized protein LOC122710389 [Apis laboriosa]
Apis_laboriosa	LOC122710390	XP_043784149.1	620	XP_043784149.1 TBC1 domain family member 14-like [Apis laboriosa]
Apis_laboriosa	LOC122710391	XP_043784151.1	833	XP_043784151.1 hillarin isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710392	XP_043784154.1	438	XP_043784154.1 probable E3 ubiquitin-protein ligase RNF144A [Apis laboriosa]
Apis_laboriosa	LOC122710393	XP_043784155.1	227	XP_043784155.1 lysM and putative peptidoglycan-binding domain-containing protein 1 [Apis laboriosa]
Apis_laboriosa	LOC122710394	XP_043784157.1	272	XP_043784157.1 tropinone reductase-like 3 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710395	XP_043784163.1	168	XP_043784163.1 ubiquitin-conjugating enzyme E2 G1 [Apis laboriosa]
Apis_laboriosa	LOC122710396	XP_043784159.1	473	XP_043784159.1 G patch domain-containing protein 2 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710397	XP_043784161.1	178	XP_043784161.1 trafficking protein particle complex subunit 3 [Apis laboriosa]
Apis_laboriosa	LOC122710398	XP_043784162.1	168	XP_043784162.1 probable N-acetyltransferase san [Apis laboriosa]
Apis_laboriosa	LOC122710399	XP_043784164.1	183	XP_043784164.1 calcium load-activated calcium channel [Apis laboriosa]
Apis_laboriosa	LOC122710400	XP_043784165.1	1199	XP_043784165.1 uncharacterized protein LOC122710400 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710401	XP_043784168.1	580	XP_043784168.1 sodium channel protein Nach-like [Apis laboriosa]
Apis_laboriosa	LOC122710402	XP_043784169.1	128	XP_043784169.1 allatotropin-like [Apis laboriosa]
Apis_laboriosa	LOC122710403	XP_043784170.1	211	XP_043784170.1 MRN complex-interacting protein [Apis laboriosa]
Apis_laboriosa	LOC122710404	XP_043784186.1	319	XP_043784186.1 aquaporin AQPAn.G-like isoform X2 [Apis laboriosa]
Apis_laboriosa	LOC122710405	XP_043784171.1	582	XP_043784171.1 solute carrier family 22 member 21-like isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710406	XP_043784178.1	526	XP_043784178.1 major facilitator superfamily domain-containing protein 8 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710407	XP_043784181.1	467	XP_043784181.1 flocculation protein FLO11-like [Apis laboriosa]
Apis_laboriosa	LOC122710408	XP_043784182.1	250	XP_043784182.1 zinc finger C4H2 domain-containing protein isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710409	XP_043784184.1	171	XP_043784184.1 uncharacterized protein LOC122710409 [Apis laboriosa]
Apis_laboriosa	LOC122710410	XP_043784188.1	1315	XP_043784188.1 toll-like receptor Tollo [Apis laboriosa]
Apis_laboriosa	LOC122710413	XP_043784189.1	190	XP_043784189.1 ATP synthase subunit s, mitochondrial [Apis laboriosa]
Apis_laboriosa	LOC122710414	XP_043784190.1	1244	XP_043784190.1 toll-like receptor Tollo [Apis laboriosa]
Apis_laboriosa	LOC122710415	XP_043784191.1	1217	XP_043784191.1 toll-like receptor 6 [Apis laboriosa]
Apis_laboriosa	LOC122710416	XP_043784195.1	441	XP_043784195.1 tRNA-splicing endonuclease subunit Sen2 [Apis laboriosa]
Apis_laboriosa	LOC122710417	XP_043784192.1	790	XP_043784192.1 lysine-specific histone demethylase 1A [Apis laboriosa]
Apis_laboriosa	LOC122710418	XP_043784193.1	531	XP_043784193.1 trichohyalin-like [Apis laboriosa]
Apis_laboriosa	LOC122710419	XP_043784194.1	4035	XP_043784194.1 E3 ubiquitin-protein ligase lubel isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710420	XP_043784201.1	253	XP_043784201.1 type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase [Apis laboriosa]
Apis_laboriosa	LOC122710421	XP_043784202.1	236	XP_043784202.1 uncharacterized protein LOC122710421 [Apis laboriosa]
Apis_laboriosa	LOC122710422	XP_043784203.1	1525	XP_043784203.1 reticulocyte-binding protein 3-like [Apis laboriosa]
Apis_laboriosa	LOC122710423	XP_043784208.1	311	XP_043784208.1 26S proteasome non-ATPase regulatory subunit 14 [Apis laboriosa]
Apis_laboriosa	LOC122710424	XP_043784204.1	478	XP_043784204.1 interferon regulatory factor 2-binding protein-like B [Apis laboriosa]
Apis_laboriosa	LOC122710425	XP_043784205.1	373	XP_043784205.1 inositol-tetrakisphosphate 1-kinase-like [Apis laboriosa]
Apis_laboriosa	LOC122710426	XP_043784206.1	93	XP_043784206.1 mitochondrial import inner membrane translocase subunit Tim9 [Apis laboriosa]
Apis_laboriosa	LOC122710428	XP_043784210.1	1146	XP_043784210.1 WASH complex subunit 5 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710429	XP_043784214.1	840	XP_043784214.1 cell division cycle protein 27 homolog [Apis laboriosa]
Apis_laboriosa	LOC122710430	XP_043784215.1	460	XP_043784215.1 beta-1,3-galactosyltransferase brn [Apis laboriosa]
Apis_laboriosa	LOC122710431	XP_043784219.1	124	XP_043784219.1 COX assembly mitochondrial protein homolog [Apis laboriosa]
Apis_laboriosa	LOC122710432	XP_043784216.1	350	XP_043784216.1 phosphotriesterase-related protein [Apis laboriosa]
Apis_laboriosa	LOC122710433	XP_043784217.1	287	XP_043784217.1 uncharacterized protein LOC122710433 [Apis laboriosa]
Apis_laboriosa	LOC122710434	XP_043784218.1	257	XP_043784218.1 ras-related protein Rab-38-like isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710435	XP_043784223.1	118	XP_043784223.1 Sjoegren syndrome nuclear autoantigen 1 homolog [Apis laboriosa]
Apis_laboriosa	LOC122710436	XP_043784224.1	704	XP_043784224.1 amyloid-beta-like protein isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710437	XP_043784228.1	276	XP_043784228.1 persulfide dioxygenase ETHE1, mitochondrial [Apis laboriosa]
Apis_laboriosa	LOC122710438	XP_043784232.1	311	XP_043784232.1 UPF0605 protein CG18335-like [Apis laboriosa]
Apis_laboriosa	LOC122710439	XP_043784229.1	613	XP_043784229.1 peptidylprolyl isomerase domain and WD repeat-containing protein 1 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710440	XP_043784231.1	131	XP_043784231.1 sperm mitochondrial-associated cysteine-rich protein-like [Apis laboriosa]
Apis_laboriosa	LOC122710441	XP_043784233.1	574	XP_043784233.1 sensory neuron membrane protein 1 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710442	XP_043784235.1	547	XP_043784235.1 sodium channel protein Nach-like [Apis laboriosa]
Apis_laboriosa	LOC122710443	XP_043784236.1	331	XP_043784236.1 cAMP-dependent protein kinase catalytic subunit PRKX isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710445	XP_043784239.1	359	XP_043784239.1 inactive hydroxysteroid dehydrogenase-like protein 1 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710446	XP_043784245.1	4603	XP_043784245.1 LOW QUALITY PROTEIN: protein split ends-like [Apis laboriosa]
Apis_laboriosa	LOC122710447	XP_043784243.1	341	XP_043784243.1 carbohydrate sulfotransferase 11 [Apis laboriosa]
Apis_laboriosa	LOC122710448	XP_043784244.1	1054	XP_043784244.1 uncharacterized protein PF11_0213-like [Apis laboriosa]
Apis_laboriosa	LOC122710449	XP_043784246.1	513	XP_043784246.1 zinc finger E-box-binding homeobox 1-like [Apis laboriosa]
Apis_laboriosa	LOC122710450	XP_043784247.1	483	XP_043784247.1 actin-histidine N-methyltransferase [Apis laboriosa]
Apis_laboriosa	LOC122710451	XP_043784248.1	283	XP_043784248.1 vegetative cell wall protein gp1-like isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710453	XP_043784250.1	1445	XP_043784250.1 DNA (cytosine-5)-methyltransferase PliMCI-like [Apis laboriosa]
Apis_laboriosa	LOC122710454	XP_043784251.1	1319	XP_043784251.1 putative uncharacterized protein DDB_G0282133 [Apis laboriosa]
Apis_laboriosa	LOC122710455	XP_043784257.1	1245	XP_043784257.1 uncharacterized protein LOC122710455 [Apis laboriosa]
Apis_laboriosa	LOC122710456	XP_043784255.1	728	XP_043784255.1 striatin-3 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710458	XP_043784258.1	1207	XP_043784258.1 kinesin-like protein KIF14 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710459	XP_043784260.1	405	XP_043784260.1 protein catecholamines up [Apis laboriosa]
Apis_laboriosa	LOC122710460	XP_043784261.1	115	XP_043784261.1 uncharacterized protein LOC122710460 [Apis laboriosa]
Apis_laboriosa	LOC122710463	XP_043784262.1	393	XP_043784262.1 uncharacterized protein LOC122710463 [Apis laboriosa]
Apis_laboriosa	LOC122710464	XP_043784303.1	315	XP_043784303.1 eukaryotic translation initiation factor 2 subunit 2 [Apis laboriosa]
Apis_laboriosa	LOC122710465	XP_043784267.1	997	XP_043784267.1 sodium/potassium-transporting ATPase subunit alpha-like [Apis laboriosa]
Apis_laboriosa	LOC122710466	XP_043784263.1	902	XP_043784263.1 nucleolar protein 14 homolog [Apis laboriosa]
Apis_laboriosa	LOC122710467	XP_043784264.1	1258	XP_043784264.1 uncharacterized protein LOC122710467 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710468	XP_043784272.1	388	XP_043784272.1 E3 ubiquitin-protein transferase MAEA [Apis laboriosa]
Apis_laboriosa	LOC122710469	XP_043784273.1	477	XP_043784273.1 C-terminal-binding protein isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710470	XP_043784280.1	292	XP_043784280.1 protein obstructor-E [Apis laboriosa]
Apis_laboriosa	LOC122710471	XP_043784278.1	527	XP_043784278.1 aladin-like [Apis laboriosa]
Apis_laboriosa	LOC122710472	XP_043784279.1	336	XP_043784279.1 probable 39S ribosomal protein L45, mitochondrial [Apis laboriosa]
Apis_laboriosa	LOC122710473	XP_043784281.1	760	XP_043784281.1 ubiquitin thioesterase trabid [Apis laboriosa]
Apis_laboriosa	LOC122710474	XP_043784283.1	347	XP_043784283.1 uncharacterized protein LOC122710474 [Apis laboriosa]
Apis_laboriosa	LOC122710475	XP_043784284.1	758	XP_043784284.1 ATP-binding cassette sub-family D member [Apis laboriosa]
Apis_laboriosa	LOC122710476	XP_043784285.1	647	XP_043784285.1 gastrula zinc finger protein XlCGF66.1-like isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710477	XP_043784288.1	507	XP_043784288.1 LOW QUALITY PROTEIN: protein glass-like [Apis laboriosa]
Apis_laboriosa	LOC122710478	XP_043784292.1	195	XP_043784292.1 sodium/potassium-transporting ATPase subunit beta-2-like [Apis laboriosa]
Apis_laboriosa	LOC122710479	XP_043784289.1	233	XP_043784289.1 cytochrome c oxidase assembly factor 7 homolog [Apis laboriosa]
Apis_laboriosa	LOC122710480	XP_043784290.1	231	XP_043784290.1 GILT-like protein 1 [Apis laboriosa]
Apis_laboriosa	LOC122710481	XP_043784291.1	843	XP_043784291.1 LOW QUALITY PROTEIN: osmotic avoidance abnormal protein 3-like [Apis laboriosa]
Apis_laboriosa	LOC122710484	XP_043784293.1	461	XP_043784293.1 glutamate receptor U1-like [Apis laboriosa]
Apis_laboriosa	LOC122710485	XP_043784294.1	427	XP_043784294.1 octopamine receptor beta-1R-like [Apis laboriosa]
Apis_laboriosa	LOC122710486	XP_043784295.1	386	XP_043784295.1 transcriptional activator protein Pur-beta isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710487	XP_043784304.1	1473	XP_043784304.1 ras GTPase-activating protein nGAP isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710488	XP_043784300.1	999	XP_043784300.1 NADPH-dependent diflavin oxidoreductase 1-like [Apis laboriosa]
Apis_laboriosa	LOC122710490	XP_043784301.1	2729	XP_043784301.1 fibrillin-1 [Apis laboriosa]
Apis_laboriosa	LOC122710491	XP_043784302.1	1441	XP_043784302.1 phospholipid-transporting ATPase ID isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710492	XP_043784315.1	1157	XP_043784315.1 3'-5' RNA helicase YTHDC2-like [Apis laboriosa]
Apis_laboriosa	LOC122710493	XP_043784316.1	2100	XP_043784316.1 protein PF14_0175-like isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710494	XP_043784319.1	1302	XP_043784319.1 ATPase family AAA domain-containing protein 2-like isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710495	XP_043784321.1	1215	XP_043784321.1 anillin isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710496	XP_043784325.1	998	XP_043784325.1 zinc finger RNA-binding protein isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710497	XP_043784327.1	931	XP_043784327.1 collagen alpha-3(IX) chain-like isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710498	XP_043784330.1	797	XP_043784330.1 LOW QUALITY PROTEIN: dystrobrevin beta-like [Apis laboriosa]
Apis_laboriosa	LOC122710499	XP_043784331.1	794	XP_043784331.1 putative uncharacterized protein DDB_G0271606 [Apis laboriosa]
Apis_laboriosa	LOC122710500	XP_043784333.1	713	XP_043784333.1 hemocyte protein-glutamine gamma-glutamyltransferase-like [Apis laboriosa]
Apis_laboriosa	LOC122710501	XP_043784335.1	685	XP_043784335.1 polyubiquitin-A [Apis laboriosa]
Apis_laboriosa	LOC122710502	XP_043784336.1	658	XP_043784336.1 modular serine protease-like [Apis laboriosa]
Apis_laboriosa	LOC122710503	XP_043784337.1	614	XP_043784337.1 GRAM domain-containing protein 2B-like isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710504	XP_043784345.1	663	XP_043784345.1 uncharacterized protein LOC122710504 [Apis laboriosa]
Apis_laboriosa	LOC122710505	XP_043784342.1	521	XP_043784342.1 U3 small nucleolar RNA-associated protein 15 homolog [Apis laboriosa]
Apis_laboriosa	LOC122710506	XP_043784343.1	464	XP_043784343.1 DDB1- and CUL4-associated factor 12 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710507	XP_043784346.1	444	XP_043784346.1 serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma-like [Apis laboriosa]
Apis_laboriosa	LOC122710508	XP_043784347.1	433	XP_043784347.1 protein prenyltransferase alpha subunit repeat-containing protein 1 [Apis laboriosa]
Apis_laboriosa	LOC122710509	XP_043784349.1	409	XP_043784349.1 uncharacterized protein LOC122710509 [Apis laboriosa]
Apis_laboriosa	LOC122710510	XP_043784350.1	406	XP_043784350.1 sialin-like [Apis laboriosa]
