category	species	gene_parent	product
cytochrome_P450	Apis_dorsata	gene-LOC102680304	cytochrome P450 4C1-like
cytochrome_P450	Apis_dorsata	gene-LOC102671368	cytochrome P450 4c3-like
cytochrome_P450	Apis_dorsata	gene-LOC102675085	cytochrome P450 4g15
cytochrome_P450	Apis_dorsata	gene-LOC102672340	cytochrome P450 6A1-like
cytochrome_P450	Apis_dorsata	gene-LOC102671064	cytochrome P450 6A1-like, transcript variant X1
cytochrome_P450	Apis_dorsata	gene-LOC102681329	cytochrome P450 6a8-like
cytochrome_P450	Apis_dorsata	gene-LOC102671546	cytochrome P450 6k1-like
cytochrome_P450	Apis_dorsata	gene-LOC102676140	cytochrome P450 6k1-like, transcript variant X1
cytochrome_P450	Apis_dorsata	gene-LOC102680110	cytochrome P450 6k1-like, transcript variant X1
cytochrome_P450	Apis_dorsata	gene-LOC102672975	cytochrome P450 9e2-like
cytochrome_P450	Apis_dorsata	gene-LOC102673451	cytochrome P450 9e2-like
cytochrome_P450	Apis_dorsata	gene-LOC102675790	cytochrome P450 9e2-like
cytochrome_P450	Apis_dorsata	gene-LOC102672653	cytochrome P450 9e2-like, transcript variant X1
cytochrome_P450	Apis_dorsata	gene-LOC102673102	cytochrome P450 9e2-like, transcript variant X1
cytochrome_P450	Apis_dorsata	gene-LOC102675206	NADPH--cytochrome P450 reductase, transcript variant X1
cytochrome_P450	Apis_dorsata	gene-LOC102675073	probable cytochrome P450 12a5, mitochondrial
cytochrome_P450	Apis_dorsata	gene-LOC102681346	probable cytochrome P450 301a1, mitochondrial
cytochrome_P450	Apis_dorsata	gene-LOC102672041	probable cytochrome P450 303a1, transcript variant X1
cytochrome_P450	Apis_dorsata	gene-LOC102678902	probable cytochrome P450 304a1
cytochrome_P450	Apis_dorsata	gene-LOC102681845	probable cytochrome P450 305a1
cytochrome_P450	Apis_dorsata	gene-LOC102673224	probable cytochrome P450 49a1
cytochrome_P450	Apis_dorsata	gene-LOC102679928	probable cytochrome P450 4aa1, transcript variant X1
cytochrome_P450	Apis_dorsata	gene-LOC102672059	probable cytochrome P450 6a13
cytochrome_P450	Apis_dorsata	gene-LOC102673154	probable cytochrome P450 6a13
cytochrome_P450	Apis_dorsata	gene-LOC102680980	probable cytochrome P450 6a13
cytochrome_P450	Apis_dorsata	gene-LOC102671838	probable cytochrome P450 6a13, transcript variant X1
cytochrome_P450	Apis_dorsata	gene-LOC102681345	probable cytochrome P450 6a14
cytochrome_P450	Apis_dorsata	gene-LOC102681589	probable cytochrome P450 6a14
cytochrome_P450	Apis_dorsata	gene-LOC116185414	probable cytochrome P450 6a14
cytochrome_P450	Apis_dorsata	gene-LOC102681730	probable cytochrome P450 6a14, transcript variant X1
cytochrome_P450	Apis_mellifera	gene-LOC410405	cytochrome P450 18a1
cytochrome_P450	Apis_mellifera	gene-LOC727118	cytochrome P450 302a1, mitochondrial, transcript variant X1
cytochrome_P450	Apis_mellifera	gene-LOC408398	cytochrome P450 306a1, transcript variant X1
cytochrome_P450	Apis_mellifera	gene-LOC410495	cytochrome P450 307a1
cytochrome_P450	Apis_mellifera	gene-Cyp314a1	cytochrome P450 314A1
cytochrome_P450	Apis_mellifera	gene-LOC411893	cytochrome P450 315a1, mitochondrial, transcript variant X1
cytochrome_P450	Apis_mellifera	gene-LOC100577883	cytochrome P450 4aa1-like
cytochrome_P450	Apis_mellifera	gene-LOC413833	cytochrome P450 4C1
cytochrome_P450	Apis_mellifera	gene-LOC552679	cytochrome P450 4c3
cytochrome_P450	Apis_mellifera	gene-Cyp4g11	cytochrome P450 4G11
cytochrome_P450	Apis_mellifera	gene-LOC413908	cytochrome P450 6A1, transcript variant X1
cytochrome_P450	Apis_mellifera	gene-LOC112939925	cytochrome P450 6a13-like
cytochrome_P450	Apis_mellifera	gene-LOC112935903	cytochrome P450 6a14-like
cytochrome_P450	Apis_mellifera	gene-LOC551028	cytochrome P450 6a14-like
cytochrome_P450	Apis_mellifera	gene-LOC724946	cytochrome P450 6a14-like
cytochrome_P450	Apis_mellifera	gene-CYP6AQ1	cytochrome P450 6AQ1
cytochrome_P450	Apis_mellifera	gene-Cyp6as5	cytochrome P450 6AS5
cytochrome_P450	Apis_mellifera	gene-LOC551560	cytochrome P450 6k1
cytochrome_P450	Apis_mellifera	gene-LOC552418	cytochrome P450 6k1, transcript variant X1
cytochrome_P450	Apis_mellifera	gene-LOC408452	cytochrome P450 9e2
cytochrome_P450	Apis_mellifera	gene-LOC408453	cytochrome P450 9e2
cytochrome_P450	Apis_mellifera	gene-LOC410492	cytochrome P450 9e2
cytochrome_P450	Apis_mellifera	gene-LOC724211	cytochrome P450 9e2
cytochrome_P450	Apis_mellifera	gene-LOC102656882	cytochrome P450 9e2-like
cytochrome_P450	Apis_mellifera	gene-LOC724870	NADPH--cytochrome P450 reductase, transcript variant X1
cytochrome_P450	Apis_mellifera	gene-LOC725335	probable cytochrome P450 12a5, mitochondrial, transcript variant X1
cytochrome_P450	Apis_mellifera	gene-LOC413730	probable cytochrome P450 301a1, mitochondrial
cytochrome_P450	Apis_mellifera	gene-LOC724860	probable cytochrome P450 301a1, mitochondrial
cytochrome_P450	Apis_mellifera	gene-LOC724175	probable cytochrome P450 304a1
cytochrome_P450	Apis_mellifera	gene-LOC551223	probable cytochrome P450 305a1
cytochrome_P450	Apis_mellifera	gene-LOC102653899	probable cytochrome P450 6a13
cytochrome_P450	Apis_mellifera	gene-LOC551197	probable cytochrome P450 6a13
cytochrome_P450	Apis_mellifera	gene-LOC726646	probable cytochrome P450 6a13
cytochrome_P450	Apis_mellifera	gene-LOC727598	probable cytochrome P450 6a13, transcript variant X1
cytochrome_P450	Apis_mellifera	gene-LOC107965400	probable cytochrome P450 6a14
cytochrome_P450	Apis_mellifera	gene-LOC550965	probable cytochrome P450 6a14
cytochrome_P450	Apis_mellifera	gene-LOC725087	probable cytochrome P450 6a14
cytochrome_P450	Apis_mellifera	gene-LOC725159	probable cytochrome P450 6a14
cytochrome_P450	Apis_mellifera	gene-LOC726690	probable cytochrome P450 6a14
cytochrome_P450	Apis_mellifera	gene-LOC413083	probable cytochrome P450 6a14, transcript variant X1
cytochrome_P450	Apis_mellifera	gene-LOC113219203	probable cytochrome P450 6a17
cytochrome_P450	Apis_mellifera	gene-LOC412209	probable cytochrome P450 6a17
cytochrome_P450	Apis_cerana	gene-Cyp18a1	Cytochrome P450 18a1, transcript variant X1
cytochrome_P450	Apis_cerana	gene-dib	Cytochrome P450 302a1, mitochondrial, transcript variant X1
cytochrome_P450	Apis_cerana	gene-LOC107998656	cytochrome P450 307a1
cytochrome_P450	Apis_cerana	gene-LOC107997769	cytochrome P450 4C1, transcript variant X1
cytochrome_P450	Apis_cerana	gene-LOC107997710	cytochrome P450 4C1-like
cytochrome_P450	Apis_cerana	gene-LOC107997912	cytochrome P450 4c3, transcript variant X1
cytochrome_P450	Apis_cerana	gene-Cyp4g15	Cytochrome P450 4g15
cytochrome_P450	Apis_cerana	gene-LOC108003995	cytochrome P450 6A1
cytochrome_P450	Apis_cerana	gene-LOC108003994	cytochrome P450 6a2
cytochrome_P450	Apis_cerana	gene-CYP6AQ1	cytochrome P450 6AQ1, transcript variant X1
cytochrome_P450	Apis_cerana	gene-LOC107997701	cytochrome P450 6k1
cytochrome_P450	Apis_cerana	gene-LOC133665734	cytochrome P450 6k1, transcript variant X1
cytochrome_P450	Apis_cerana	gene-LOC108002715	cytochrome P450 9e2
cytochrome_P450	Apis_cerana	gene-LOC108003159	cytochrome P450 9e2
cytochrome_P450	Apis_cerana	gene-LOC108004120	cytochrome P450 9e2
cytochrome_P450	Apis_cerana	gene-LOC108004123	cytochrome P450 9e2
cytochrome_P450	Apis_cerana	gene-LOC108004124	cytochrome P450 9e2
cytochrome_P450	Apis_cerana	gene-phtm	cytochrome P450 enzyme phantom, transcript variant X1
cytochrome_P450	Apis_cerana	gene-shd	cytochrome P450 family 24 subfamily A member shade, transcript variant X1
cytochrome_P450	Apis_cerana	gene-sad	Cytochrome P450 family protein sad, transcript variant X1
cytochrome_P450	Apis_cerana	gene-Cpr	Cytochrome P450 reductase, transcript variant 1
cytochrome_P450	Apis_cerana	gene-Cyp301a1	Probable cytochrome P450 301a1, mitochondrial, transcript variant X1
cytochrome_P450	Apis_cerana	gene-Cyp303a1	Probable cytochrome P450 303a1
cytochrome_P450	Apis_cerana	gene-Cyp304a1	Probable cytochrome P450 304a1
cytochrome_P450	Apis_cerana	gene-Cyp4aa1	Probable cytochrome P450 4aa1, transcript variant X1
cytochrome_P450	Apis_cerana	gene-LOC107992849	putative cytochrome P450 12a5, mitochondrial, transcript variant X1
cytochrome_P450	Apis_cerana	gene-LOC107994177	putative cytochrome P450 301a1, mitochondrial, transcript variant X1
cytochrome_P450	Apis_cerana	gene-LOC107999234	putative cytochrome P450 305a1, transcript variant X1
cytochrome_P450	Apis_cerana	gene-LOC107994953	putative cytochrome P450 6a13
cytochrome_P450	Apis_cerana	gene-LOC108004402	putative cytochrome P450 6a13
cytochrome_P450	Apis_cerana	gene-LOC108001423	putative cytochrome P450 6a14
cytochrome_P450	Apis_cerana	gene-LOC108003999	putative cytochrome P450 6a14
cytochrome_P450	Apis_cerana	gene-LOC108004038	putative cytochrome P450 6a14
cytochrome_P450	Apis_cerana	gene-LOC108003996	putative cytochrome P450 6a14, transcript variant X1
cytochrome_P450	Apis_cerana	gene-LOC108003993	putative cytochrome P450 6a17
cytochrome_P450	Apis_florea	gene-Cyp18a1	Cytochrome P450 18a1
cytochrome_P450	Apis_florea	gene-dib	Cytochrome P450 302a1, mitochondrial
cytochrome_P450	Apis_florea	gene-LOC100866453	cytochrome P450 305M2
cytochrome_P450	Apis_florea	gene-LOC100871047	cytochrome P450 307a1
cytochrome_P450	Apis_florea	gene-LOC100866172	cytochrome P450 4C1
cytochrome_P450	Apis_florea	gene-LOC100868500	cytochrome P450 4c3
cytochrome_P450	Apis_florea	gene-Cyp4g15	Cytochrome P450 4g15
cytochrome_P450	Apis_florea	gene-LOC100869830	cytochrome P450 6A1, transcript variant X1
cytochrome_P450	Apis_florea	gene-LOC100869112	cytochrome P450 6A1-like
cytochrome_P450	Apis_florea	gene-CYP6AQ1	cytochrome P450 6AQ1
cytochrome_P450	Apis_florea	gene-Cyp6as5	cytochrome P450 6AS5
cytochrome_P450	Apis_florea	gene-LOC116414519	cytochrome P450 6B1-like, transcript variant X1
cytochrome_P450	Apis_florea	gene-LOC100866134	cytochrome P450 6j1
cytochrome_P450	Apis_florea	gene-LOC100872351	cytochrome P450 6k1, transcript variant X1
cytochrome_P450	Apis_florea	gene-LOC100863119	cytochrome P450 9e2
cytochrome_P450	Apis_florea	gene-LOC100867070	cytochrome P450 9e2
cytochrome_P450	Apis_florea	gene-LOC100867380	cytochrome P450 9e2
cytochrome_P450	Apis_florea	gene-LOC147657501	cytochrome P450 9e2
cytochrome_P450	Apis_florea	gene-LOC116415142	cytochrome P450 9e2 pseudogene
cytochrome_P450	Apis_florea	gene-LOC147657500	cytochrome P450 9e2 pseudogene
cytochrome_P450	Apis_florea	gene-LOC100867182	cytochrome P450 9e2 pseudogene, transcript variant X1
cytochrome_P450	Apis_florea	gene-phtm	cytochrome P450 enzyme phantom, transcript variant X1
cytochrome_P450	Apis_florea	gene-shd	cytochrome P450 family 24 subfamily A member shade, transcript variant X1
cytochrome_P450	Apis_florea	gene-sad	Cytochrome P450 family protein sad, transcript variant X1
cytochrome_P450	Apis_florea	gene-Cpr	Cytochrome P450 reductase, transcript variant 1
cytochrome_P450	Apis_florea	gene-Cyp301a1	Probable cytochrome P450 301a1, mitochondrial, transcript variant X1
cytochrome_P450	Apis_florea	gene-Cyp303a1	Probable cytochrome P450 303a1, transcript variant X1
cytochrome_P450	Apis_florea	gene-Cyp304a1	Probable cytochrome P450 304a1
cytochrome_P450	Apis_florea	gene-Cyp4aa1	Probable cytochrome P450 4aa1, transcript variant X1
cytochrome_P450	Apis_florea	gene-LOC100871403	putative cytochrome P450 12a5, mitochondrial
cytochrome_P450	Apis_florea	gene-LOC100869228	putative cytochrome P450 49a1, transcript variant X1
cytochrome_P450	Apis_florea	gene-LOC147656606	putative cytochrome P450 6a13
cytochrome_P450	Apis_florea	gene-LOC147656607	putative cytochrome P450 6a13
cytochrome_P450	Apis_florea	gene-LOC100863455	putative cytochrome P450 6a14
cytochrome_P450	Apis_florea	gene-LOC100868853	putative cytochrome P450 6a14
cytochrome_P450	Apis_florea	gene-LOC100870478	putative cytochrome P450 6a14
cytochrome_P450	Apis_florea	gene-LOC100871819	putative cytochrome P450 6a14
cytochrome_P450	Apis_florea	gene-LOC100872193	putative cytochrome P450 6a14
cytochrome_P450	Apis_florea	gene-LOC147656611	putative cytochrome P450 6a14
cytochrome_P450	Apis_florea	gene-LOC100863222	putative cytochrome P450 6a14, transcript variant X1
cytochrome_P450	Apis_florea	gene-LOC100863338	putative cytochrome P450 6a14, transcript variant X1
cytochrome_P450	Apis_florea	gene-LOC100864129	putative cytochrome P450 6a14, transcript variant X1
cytochrome_P450	Apis_florea	gene-LOC100864243	putative cytochrome P450 6a14, transcript variant X1
cytochrome_P450	Apis_florea	gene-LOC105735702	putative cytochrome P450 6a14, transcript variant X1
cytochrome_P450	Apis_florea	gene-LOC100864361	putative cytochrome P450 6a17
cytochrome_P450	Bombus_terrestris	gene-LOC100642897	cytochrome P450 18a1, transcript variant X1
cytochrome_P450	Bombus_terrestris	gene-LOC100649492	cytochrome P450 302a1, mitochondrial, transcript variant X1
cytochrome_P450	Bombus_terrestris	gene-LOC100650054	cytochrome P450 306a1, transcript variant X1
cytochrome_P450	Bombus_terrestris	gene-LOC100642619	cytochrome P450 307a1
cytochrome_P450	Bombus_terrestris	gene-LOC100644009	cytochrome P450 315a1, mitochondrial
cytochrome_P450	Bombus_terrestris	gene-LOC100651255	cytochrome P450 4C1
cytochrome_P450	Bombus_terrestris	gene-LOC100644743	cytochrome P450 4c3, transcript variant X1
cytochrome_P450	Bombus_terrestris	gene-LOC100652170	cytochrome P450 4g15
cytochrome_P450	Bombus_terrestris	gene-LOC100647609	cytochrome P450 4g15-like
cytochrome_P450	Bombus_terrestris	gene-LOC100649469	cytochrome P450 6A1
cytochrome_P450	Bombus_terrestris	gene-LOC100646434	cytochrome P450 6a2
cytochrome_P450	Bombus_terrestris	gene-LOC100647785	cytochrome P450 6a2, transcript variant X1
cytochrome_P450	Bombus_terrestris	gene-LOC100651291	cytochrome P450 6a2, transcript variant X1
cytochrome_P450	Bombus_terrestris	gene-LOC110119312	cytochrome P450 6a2-like
cytochrome_P450	Bombus_terrestris	gene-LOC100648939	cytochrome P450 6B1-like
cytochrome_P450	Bombus_terrestris	gene-LOC100651693	cytochrome P450 6B5, transcript variant X1
cytochrome_P450	Bombus_terrestris	gene-LOC100642816	cytochrome P450 6k1
cytochrome_P450	Bombus_terrestris	gene-LOC100642936	cytochrome P450 6k1
cytochrome_P450	Bombus_terrestris	gene-LOC100643678	cytochrome P450 6k1
cytochrome_P450	Bombus_terrestris	gene-LOC100648391	cytochrome P450 6k1
cytochrome_P450	Bombus_terrestris	gene-LOC100648995	cytochrome P450 6k1
cytochrome_P450	Bombus_terrestris	gene-LOC105666343	cytochrome P450 6k1
cytochrome_P450	Bombus_terrestris	gene-LOC105666367	cytochrome P450 6k1
cytochrome_P450	Bombus_terrestris	gene-LOC100647803	cytochrome P450 6k1, transcript variant X1
cytochrome_P450	Bombus_terrestris	gene-LOC100649110	cytochrome P450 6k1, transcript variant X1
cytochrome_P450	Bombus_terrestris	gene-LOC100650427	cytochrome P450 6k1-like
cytochrome_P450	Bombus_terrestris	gene-LOC105666366	cytochrome P450 6k1-like
cytochrome_P450	Bombus_terrestris	gene-LOC100647251	cytochrome P450 9e2
cytochrome_P450	Bombus_terrestris	gene-LOC100647368	cytochrome P450 9e2
cytochrome_P450	Bombus_terrestris	gene-LOC100647566	cytochrome P450 9e2
cytochrome_P450	Bombus_terrestris	gene-LOC100648545	cytochrome P450 9e2
cytochrome_P450	Bombus_terrestris	gene-LOC100649760	cytochrome P450 9e2
cytochrome_P450	Bombus_terrestris	gene-LOC100649871	cytochrome P450 9e2
cytochrome_P450	Bombus_terrestris	gene-LOC100649988	cytochrome P450 9e2
cytochrome_P450	Bombus_terrestris	gene-LOC100650309	cytochrome P450 9e2
cytochrome_P450	Bombus_terrestris	gene-LOC100647886	cytochrome P450 9e2-like
cytochrome_P450	Bombus_terrestris	gene-LOC110119162	cytochrome P450 9e2-like
cytochrome_P450	Bombus_terrestris	gene-LOC100652262	NADPH--cytochrome P450 reductase
cytochrome_P450	Bombus_terrestris	gene-LOC100645879	probable cytochrome P450 12a5, mitochondrial
cytochrome_P450	Bombus_terrestris	gene-LOC100649441	probable cytochrome P450 28d1
cytochrome_P450	Bombus_terrestris	gene-LOC100646342	probable cytochrome P450 301a1, mitochondrial
cytochrome_P450	Bombus_terrestris	gene-LOC100645445	probable cytochrome P450 301a1, mitochondrial, transcript variant X1
cytochrome_P450	Bombus_terrestris	gene-LOC100648323	probable cytochrome P450 303a1, transcript variant X1
cytochrome_P450	Bombus_terrestris	gene-LOC100651206	probable cytochrome P450 304a1
cytochrome_P450	Bombus_terrestris	gene-LOC100647578	probable cytochrome P450 305a1
cytochrome_P450	Bombus_terrestris	gene-LOC100648944	probable cytochrome P450 4aa1, transcript variant X1
cytochrome_P450	Bombus_terrestris	gene-LOC100646677	probable cytochrome P450 6a13
cytochrome_P450	Bombus_terrestris	gene-LOC100647234	probable cytochrome P450 6a14
cytochrome_P450	Bombus_terrestris	gene-LOC100648029	probable cytochrome P450 6a14, transcript variant X1
cytochrome_P450	Bombus_terrestris	gene-LOC100648257	probable cytochrome P450 6a14, transcript variant X1
UDP_glycosyltransferase	Apis_laboriosa	gene-LOC122716781	UDP-glucuronosyltransferase 2B4-like, transcript variant X1
UDP_glycosyltransferase	Apis_laboriosa	gene-LOC122710818	UDP-glycosyltransferase UGT5-like
UDP_glycosyltransferase	Apis_laboriosa	gene-LOC122720016	UDP-glycosyltransferase UGT5-like
UDP_glycosyltransferase	Apis_laboriosa	gene-LOC122721150	UDP-glycosyltransferase UGT5-like
UDP_glycosyltransferase	Apis_dorsata	gene-LOC102672082	UDP-glucuronosyltransferase 1-3-like
UDP_glycosyltransferase	Apis_dorsata	gene-LOC116186509	UDP-glucuronosyltransferase 1-6-like
UDP_glycosyltransferase	Apis_dorsata	gene-LOC102679579	UDP-glucuronosyltransferase 1-8-like
UDP_glycosyltransferase	Apis_dorsata	gene-LOC102675836	UDP-glucuronosyltransferase 2B1-like
UDP_glycosyltransferase	Apis_dorsata	gene-LOC102678306	UDP-glucuronosyltransferase 2B17-like
UDP_glycosyltransferase	Apis_dorsata	gene-LOC102678247	UDP-glucuronosyltransferase 2B18-like
UDP_glycosyltransferase	Apis_dorsata	gene-LOC102675525	UDP-glucuronosyltransferase 2B19-like, transcript variant X1
UDP_glycosyltransferase	Apis_dorsata	gene-LOC102672741	UDP-glucuronosyltransferase 2C1-like
UDP_glycosyltransferase	Apis_dorsata	gene-LOC102676530	UDP-glucuronosyltransferase 2C1-like
UDP_glycosyltransferase	Apis_mellifera	gene-LOC107965199	UDP-glucuronosyltransferase 1-1, transcript variant X1
UDP_glycosyltransferase	Apis_mellifera	gene-LOC408788	UDP-glucuronosyltransferase 1-3
UDP_glycosyltransferase	Apis_mellifera	gene-LOC413043	UDP-glucuronosyltransferase 1-3
UDP_glycosyltransferase	Apis_mellifera	gene-LOC725106	UDP-glucuronosyltransferase 1-8
UDP_glycosyltransferase	Apis_mellifera	gene-LOC409203	UDP-glucuronosyltransferase 2A3, transcript variant X1
UDP_glycosyltransferase	Apis_mellifera	gene-LOC725017	UDP-glucuronosyltransferase 2B15, transcript variant X1
UDP_glycosyltransferase	Apis_mellifera	gene-LOC113218830	UDP-glucuronosyltransferase 2B17-like
UDP_glycosyltransferase	Apis_mellifera	gene-LOC411021	UDP-glucuronosyltransferase 2B18, transcript variant X1
UDP_glycosyltransferase	Apis_mellifera	gene-LOC100577140	UDP-glucuronosyltransferase 2B19, transcript variant X1
UDP_glycosyltransferase	Apis_mellifera	gene-LOC411298	UDP-glucuronosyltransferase 2C1
UDP_glycosyltransferase	Apis_mellifera	gene-LOC725997	UDP-glucuronosyltransferase 2C1
UDP_glycosyltransferase	Apis_mellifera	gene-LOC727593	UDP-glucuronosyltransferase 2C1
UDP_glycosyltransferase	Apis_cerana	gene-LOC108001852	UDP-glucuronosyltransferase 2B20, transcript variant X1
UDP_glycosyltransferase	Apis_cerana	gene-Ugt50B3	UDP-glycosyltransferase family 50 member B3, transcript variant X1
UDP_glycosyltransferase	Apis_cerana	gene-LOC107998322	UDP-glycosyltransferase UGT5
UDP_glycosyltransferase	Apis_cerana	gene-LOC108001967	UDP-glycosyltransferase UGT5
UDP_glycosyltransferase	Apis_cerana	gene-LOC108000060	UDP-glycosyltransferase UGT5, transcript variant X1
UDP_glycosyltransferase	Apis_florea	gene-LOC100865194	UDP-glucuronosyltransferase 2B20, transcript variant X1
UDP_glycosyltransferase	Apis_florea	gene-Ugt50B3	UDP-glycosyltransferase family 50 member B3, transcript variant X1
UDP_glycosyltransferase	Apis_florea	gene-LOC100870638	UDP-glycosyltransferase UGT4
UDP_glycosyltransferase	Apis_florea	gene-LOC100866154	UDP-glycosyltransferase UGT5
UDP_glycosyltransferase	Apis_florea	gene-LOC100870565	UDP-glycosyltransferase UGT5
UDP_glycosyltransferase	Apis_florea	gene-LOC147656508	UDP-glycosyltransferase UGT5
UDP_glycosyltransferase	Apis_florea	gene-LOC100870046	UDP-glycosyltransferase UGT5, transcript variant X1
UDP_glycosyltransferase	Bombus_terrestris	gene-LOC100645384	UDP-glucuronosyltransferase 1-7C, transcript variant X1
UDP_glycosyltransferase	Bombus_terrestris	gene-LOC100642358	UDP-glucuronosyltransferase 1-8, transcript variant X1
UDP_glycosyltransferase	Bombus_terrestris	gene-LOC100647883	UDP-glucuronosyltransferase 2B15
UDP_glycosyltransferase	Bombus_terrestris	gene-LOC100648003	UDP-glucuronosyltransferase 2B15
UDP_glycosyltransferase	Bombus_terrestris	gene-LOC100647646	UDP-glucuronosyltransferase 2B15-like
UDP_glycosyltransferase	Bombus_terrestris	gene-LOC100646290	UDP-glucuronosyltransferase 2B17
UDP_glycosyltransferase	Bombus_terrestris	gene-LOC100649407	UDP-glucuronosyltransferase 2B20
UDP_glycosyltransferase	Bombus_terrestris	gene-LOC100645683	UDP-glucuronosyltransferase 2B30
UDP_glycosyltransferase	Bombus_terrestris	gene-LOC100645567	UDP-glucuronosyltransferase 2C1
glutathione_S_transferase	Apis_laboriosa	gene-LOC122712459	glutathione S-transferase 1-1, transcript variant X1
glutathione_S_transferase	Apis_laboriosa	gene-LOC122714585	glutathione S-transferase 1-1-like
glutathione_S_transferase	Apis_laboriosa	gene-LOC122717538	glutathione S-transferase C-terminal domain-containing protein homolog
glutathione_S_transferase	Apis_laboriosa	gene-LOC122718979	glutathione S-transferase theta-3-like
glutathione_S_transferase	Apis_laboriosa	gene-LOC122712562	glutathione S-transferase-like
glutathione_S_transferase	Apis_laboriosa	gene-LOC122720326	glutathione S-transferase-like, transcript variant X1
glutathione_S_transferase	Apis_laboriosa	gene-LOC122720119	microsomal glutathione S-transferase 1-like
glutathione_S_transferase	Apis_dorsata	gene-LOC102674411	glutathione S-transferase 1-1
glutathione_S_transferase	Apis_dorsata	gene-LOC102670639	glutathione S-transferase 1-1-like, transcript variant X1
glutathione_S_transferase	Apis_dorsata	gene-LOC102681959	glutathione S-transferase 1-1-like, transcript variant X1
glutathione_S_transferase	Apis_dorsata	gene-LOC102676270	glutathione S-transferase C-terminal domain-containing protein homolog
glutathione_S_transferase	Apis_dorsata	gene-LOC102671497	glutathione S-transferase theta-3-like
glutathione_S_transferase	Apis_dorsata	gene-LOC102680400	glutathione S-transferase-like
glutathione_S_transferase	Apis_dorsata	gene-LOC102673906	glutathione S-transferase-like, transcript variant X1
