species	category	gene_parent	product	best_unigene	exact_probe_hits	unique_gene_probes	probe_fraction	mapped	read_count	cpm	fpkm	fpkm_percentile	fpkm_rank_desc
Apis_laboriosa	cytochrome_P450	gene-LOC122712183	probable cytochrome P450 6a13	AL|c41748_g1	45	48	0.937500	True	10626.00	162.282261	102.300000	99.219221	830
Apis_laboriosa	cytochrome_P450	gene-LOC122712184	probable cytochrome P450 6a14, transcript variant X1	AL|c45665_g1	85	120	0.708333	True	6546.00	99.971737	40.010000	97.829076	2306
Apis_laboriosa	cytochrome_P450	gene-LOC122712185	probable cytochrome P450 6a14	AL|c40079_g2	31	48	0.645833	True	4986.00	76.147125	71.810000	98.849081	1223
Apis_laboriosa	cytochrome_P450	gene-LOC122712186	probable cytochrome P450 6a14	AL|c39294_g1	40	48	0.833333	True	3165.00	48.336472	41.120000	97.883703	2248
Apis_laboriosa	ABCC_MRP	gene-LOC122712331	ATP-binding cassette sub-family C member Sur, transcript variant X1	AL|c47473_g1	40	94	0.425532	True	26112.00	398.787352	92.560000	99.109027	947
Apis_laboriosa	cytochrome_P450	gene-LOC122712384	cytochrome P450 315a1, mitochondrial, transcript variant X1	AL|c43668_g1	87	95	0.915789	True	1317.00	20.113471	5.420000	85.705809	15178
Apis_laboriosa	glutathione_S_transferase	gene-LOC122712459	glutathione S-transferase 1-1, transcript variant X1	AL|c26236_g1	90	93	0.967742	True	1988.00	30.361108	27.900000	96.858989	3336
Apis_laboriosa	glutathione_S_transferase	gene-LOC122712562	glutathione S-transferase-like	AL|c36605_g1	47	48	0.979167	True	283.00	4.322029	4.630000	83.669568	17340
Apis_laboriosa	major_facilitator	gene-LOC122712846	major facilitator superfamily domain-containing protein 10, transcript variant X1	AL|c36642_g1	117	120	0.975000	True	7193.00	109.852842	27.770000	96.846745	3349
Apis_laboriosa	major_facilitator	gene-LOC122712949	major facilitator superfamily domain-containing protein 6, transcript variant X1	AL|c47463_g1	68	92	0.739130	True	5961.00	91.037508	17.510000	95.012997	5296
Apis_laboriosa	V_type_proton_ATPase	gene-LOC122713027	V-type proton ATPase subunit e 2-like	AL|c68380_g1	48	48	1.000000	True	5858.00	89.464472	129.210000	99.374623	665
Apis_laboriosa	ABCC_MRP	gene-LOC122713028	ATP-binding cassette sub-family C member 4-like	AL|c43060_g1	48	48	1.000000	True	8307.00	126.866059	35.730000	97.550294	2602
Apis_laboriosa	V_type_proton_ATPase	gene-LOC122713215	V-type proton ATPase subunit D 1	AL|c48342_g1	48	48	1.000000	True	10064.00	153.699292	144.540000	99.441493	594
Apis_laboriosa	mucin	gene-LOC122713330	mucin-5AC-like	AL|c47556_g2	30	48	0.625000	True	111.00	1.695213	1.360000	61.499774	40879
Apis_laboriosa	organic_anion_transport	gene-LOC122713366	solute carrier organic anion transporter family member 74D, transcript variant X1	AL|c40028_g1	48	120	0.400000	True	855.00	13.057720	5.870000	86.710744	14111
Apis_laboriosa	Nach_DEG_ENaC	gene-LOC122713410	sodium channel protein Nach-like	AL|c88060_g1	8	48	0.166667	True	3.00	0.045817	2.870000	76.829980	24602
Apis_laboriosa	cytochrome_P450	gene-LOC122713465	probable cytochrome P450 12a5, mitochondrial, transcript variant X1	AL|c42401_g1	93	94	0.989362	True	82.00	1.252319	0.850000	49.163653	53977
Apis_laboriosa	V_type_proton_ATPase	gene-LOC122713496	V-type proton ATPase catalytic subunit A, transcript variant X1	AL|c33904_g1	88	95	0.926316	True	40889.00	624.464461	229.800000	99.643046	380
Apis_laboriosa	Nach_DEG_ENaC	gene-LOC122713829	pickpocket protein 28-like	AL|c20058_g1	29	48	0.604167	True	37.00	0.565071	0.550000	35.790574	68176
Apis_laboriosa	major_facilitator	gene-LOC122713946	major facilitator superfamily domain-containing protein 6, transcript variant X1	AL|c45049_g1	92	92	1.000000	True	14179.00	216.544342	61.900000	98.639994	1445
Apis_laboriosa	mucin	gene-LOC122713985	mucin-2-like	AL|c45224_g1	24	48	0.500000	True	141.00	2.153378	1.870000	68.843241	33082
Apis_laboriosa	V_type_proton_ATPase	gene-LOC122713995	V-type proton ATPase subunit B	AL|c3023_g1	48	48	1.000000	True	39484.00	603.007038	269.880000	99.696730	323
Apis_laboriosa	Nach_DEG_ENaC	gene-LOC122714107	sodium channel protein Nach-like	AL|c47062_g1	23	48	0.479167	True	123.57	1.887184	1.140000	57.088231	45563
Apis_laboriosa	organic_anion_transport	gene-LOC122714185	solute carrier organic anion transporter family member 1A5-like, transcript variant X1	AL|c46561_g1	104	120	0.866667	True	7079.00	108.111813	28.720000	96.944696	3245
Apis_laboriosa	organic_anion_transport	gene-LOC122714194	solute carrier organic anion transporter family member 74D, transcript variant X1	AL|c44349_g1	82	88	0.931818	True	6154.00	93.985040	38.310000	97.725475	2416
Apis_laboriosa	organic_anion_transport	gene-LOC122714205	solute carrier organic anion transporter family member 74D, transcript variant X1	AL|c43167_g1	92	120	0.766667	True	12391.00	189.237671	58.720000	98.557113	1533
Apis_laboriosa	V_type_proton_ATPase	gene-LOC122714442	V-type proton ATPase 116 kDa subunit a1, transcript variant X1	AL|c38379_g1	119	120	0.991667	True	15231.00	232.610683	76.570000	98.920660	1147
Apis_laboriosa	COMMD3	gene-LOC122714475	COMM domain-containing protein 3-like, transcript variant X1	AL|c42517_g1	90	94	0.957447	True	6145.00	93.847590	14.100000	93.927064	6449
Apis_laboriosa	DSC1_60E	gene-LOC122714529	sodium channel protein 60E-like, transcript variant X1	AL|c47726_g1	35	120	0.291667	True	553.00	8.445520	3.990000	81.703963	19427
Apis_laboriosa	glutathione_S_transferase	gene-LOC122714585	glutathione S-transferase 1-1-like	AL|c46794_g1	19	48	0.395833	True	2362.00	36.072906	5.740000	86.307640	14539
Apis_laboriosa	cytochrome_P450	gene-LOC122715191	cytochrome P450 4c3-like	AL|c45941_g3	46	48	0.958333	True	8875.00	135.540661	55.180000	98.462929	1633
Apis_laboriosa	cytochrome_P450	gene-LOC122715206	probable cytochrome P450 6a13	AL|c44633_g1	48	48	1.000000	True	1604.00	24.496588	8.220000	89.838570	10790
Apis_laboriosa	V_type_proton_ATPase	gene-LOC122715243	V-type proton ATPase subunit C	AL|c44971_g1	38	48	0.791667	True	21509.00	328.489474	28.130000	96.884418	3309
Apis_laboriosa	mucin	gene-LOC122715397	mucin-19-like	AL|c40748_g2	18	48	0.375000	True	62.00	0.946876	1.030000	54.385172	48433
Apis_laboriosa	cytochrome_P450	gene-LOC122715570	probable cytochrome P450 6a14, transcript variant X1	AL|c45550_g2	94	120	0.783333	True	15289.00	233.496470	120.710000	99.334124	708
Apis_laboriosa	mucin	gene-LOC122715729	mucin-12-like	AL|c39474_g2	13	48	0.270833	True	45.00	0.687248	0.620000	39.680342	64046
Apis_laboriosa	peritrophic_matrix_chitin_binding	gene-LOC122715803	peritrophin-1-like	AL|c26087_g2	39	48	0.812500	True	162943.00	2488.495995	7531.670000	99.989640	12
Apis_laboriosa	major_facilitator	gene-LOC122715846	major facilitator superfamily domain-containing protein 1-like	AL|c17941_g1	47	48	0.979167	True	1597.00	24.389683	12.260000	93.108612	7318
Apis_laboriosa	chitin_synthase	gene-LOC122715935	chitin synthase chs-2-like	AL|c46587_g1	46	48	0.958333	True	679.00	10.369815	3.230000	78.597800	22725
Apis_laboriosa	ABCC_MRP	gene-LOC122715980	multidrug resistance-associated protein 5-like, transcript variant X1	AL|c28824_g1	70	120	0.583333	True	3929.00	60.004423	23.010000	96.160149	4078
Apis_laboriosa	V_type_proton_ATPase	gene-LOC122716220	V-type proton ATPase subunit F	AL|c58393_g1	48	48	1.000000	True	6947.00	106.095884	134.920000	99.402878	635
Apis_laboriosa	cytochrome_P450	gene-LOC122716271	cytochrome P450 4C1-like	AL|c22301_g1	48	48	1.000000	True	4411.00	67.365618	39.020000	97.776334	2362
Apis_laboriosa	Para	gene-LOC122716313	sodium channel protein para, transcript variant X1	AL|c47723_g1	102	120	0.850000	True	1738.00	26.543061	5.570000	85.940325	14929
Apis_laboriosa	cytochrome_P450	gene-LOC122716422	cytochrome P450 6k1-like	AL|c43332_g1	47	48	0.979167	True	54814.00	837.129668	228.750000	99.641162	382
Apis_laboriosa	mucin	gene-LOC122716592	mucin-17-like, transcript variant X1	AL|c41297_g1	110	120	0.916667	True	3640.00	55.590761	6.980000	88.487982	12224
Apis_laboriosa	V_type_proton_ATPase	gene-LOC122716659	V-type proton ATPase 116 kDa subunit a1-like, transcript variant X1	AL|c46059_g1	110	120	0.916667	True	29990.00	458.012893	120.270000	99.332241	710
Apis_laboriosa	ABCG_half_transporter	gene-LOC122716754	ATP-binding cassette sub-family G member 4, transcript variant X1	AL|c45987_g1	102	120	0.850000	True	5008.00	76.483113	35.590000	97.538050	2615
Apis_laboriosa	ABCG_half_transporter	gene-LOC122716756	ATP-binding cassette sub-family G member 4-like, transcript variant X1	AL|c45987_g1	118	120	0.983333	True	5008.00	76.483113	35.590000	97.538050	2615
Apis_laboriosa	UDP_glycosyltransferase	gene-LOC122716781	UDP-glucuronosyltransferase 2B4-like, transcript variant X1	AL|c44255_g1	114	120	0.950000	True	928.00	14.172590	4.730000	83.955885	17036
Apis_laboriosa	ABCG_half_transporter	gene-LOC122716895	ATP-binding cassette sub-family G member 4-like, transcript variant X1	AL|c42643_g1	115	120	0.958333	True	2432.00	37.141959	13.470000	93.718920	6670
Apis_laboriosa	ABCG_half_transporter	gene-LOC122716896	ATP-binding cassette sub-family G member 1	AL|c88864_g1	48	48	1.000000	True	4849.00	74.054836	30.600000	97.134946	3043
Apis_laboriosa	major_facilitator	gene-LOC122716902	major facilitator superfamily domain-containing protein 12-like	AL|c46870_g1	45	48	0.937500	True	1429.00	21.823955	11.560000	92.662184	7792
Apis_laboriosa	ABCG_half_transporter	gene-LOC122717049	ATP-binding cassette sub-family G member 5, transcript variant X1	AL|c42704_g1	57	95	0.600000	True	185.00	2.825355	2.300000	72.808356	28872
Apis_laboriosa	mucin	gene-LOC122717147	mucin-5AC-like	AL|c32760_g1	24	48	0.500000	True	88.00	1.343952	0.870000	49.800332	53301
Apis_laboriosa	aquaporin	gene-LOC122717163	aquaporin-like, transcript variant X1	AL|c42492_g1	75	120	0.625000	True	10762.00	164.359278	100.320000	99.195675	855
Apis_laboriosa	cytochrome_P450	gene-LOC122717272	NADPH--cytochrome P450 reductase, transcript variant X1	AL|c34355_g1	89	94	0.946809	True	18920.00	288.949781	104.370000	99.234290	814
Apis_laboriosa	ABCG_half_transporter	gene-LOC122717367	ATP-binding cassette sub-family G member 5	AL|c30805_g1	26	48	0.541667	True	88.00	1.343952	1.420000	62.517895	39798
Apis_laboriosa	mucin	gene-LOC122717439	mucin-17		2	48	0.041667	False	0.00	0.000000	0.000000	NA	NA
Apis_laboriosa	glutathione_S_transferase	gene-LOC122717538	glutathione S-transferase C-terminal domain-containing protein homolog	AL|c40003_g1	46	48	0.958333	True	13000.00	198.538433	30.670000	97.141539	3036
Apis_laboriosa	cytochrome_P450	gene-LOC122717567	cytochrome P450 18a1	AL|c20602_g1	8	48	0.166667	True	5.00	0.076361	0.500000	32.635436	71526
Apis_laboriosa	cytochrome_P450	gene-LOC122717599	cytochrome P450 302a1, mitochondrial, transcript variant X1	AL|c30772_g1	51	94	0.542553	True	11467.00	175.126170	61.860000	98.638110	1447
Apis_laboriosa	mucin	gene-LOC122717815	mucin-5AC, transcript variant X1	AL|c47489_g1	31	120	0.258333	True	666.00	10.171277	5.270000	85.375226	15529
Apis_laboriosa	ABCC_MRP	gene-LOC122717937	ATP-binding cassette sub-family C member 4-like	AL|c45784_g1	46	48	0.958333	True	14709.00	224.638601	42.770000	97.986362	2139
Apis_laboriosa	ABCB_P_glycoprotein	gene-LOC122717982	ATP-binding cassette sub-family B member 10, mitochondrial	AL|c32912_g1	47	48	0.979167	True	6505.00	99.345578	37.760000	97.685918	2458
Apis_laboriosa	ABCC_MRP	gene-LOC122717983	ATP-binding cassette sub-family C member 4-like, transcript variant X1	AL|c45099_g1	90	96	0.937500	True	5975.00	91.251318	19.900000	95.600701	4672
Apis_laboriosa	mucin	gene-LOC122718074	mucin-19-like	AL|c47293_g1	22	48	0.458333	True	2237.00	34.163883	14.920000	94.243520	6113
Apis_laboriosa	ABCC_MRP	gene-LOC122718161	probable multidrug resistance-associated protein lethal(2)03659	AL|c41541_g1	46	48	0.958333	True	53049.00	810.174258	159.600000	99.490469	542
Apis_laboriosa	major_facilitator	gene-LOC122718407	major facilitator superfamily domain-containing protein 12-like	AL|c34916_g1	41	48	0.854167	True	2001.00	30.559647	21.600000	95.945411	4306
Apis_laboriosa	mucin	gene-LOC122718497	mucin-5AC-like	AL|c47690_g2	25	48	0.520833	True	2119.00	32.361765	4.800000	84.133891	16847
Apis_laboriosa	cytochrome_P450	gene-LOC122718621	cytochrome P450 6a9-like	AL|c43082_g1	42	46	0.913043	True	11605.00	177.233732	148.140000	99.457505	577
Apis_laboriosa	ABCB_P_glycoprotein	gene-LOC122718638	multidrug resistance protein homolog 49, transcript variant X1	AL|c46708_g1	76	120	0.633333	True	51925.00	793.008319	150.620000	99.464097	570
Apis_laboriosa	mucin	gene-LOC122718641	mucin-1, transcript variant X1	AL|c38844_g1	46	120	0.383333	True	139.00	2.122834	2.580000	75.020720	26523
Apis_laboriosa	mucin	gene-LOC122718643	mucin-1-like, transcript variant X1	AL|c44366_g1	118	120	0.983333	True	9715.00	148.369298	63.200000	98.677667	1405
Apis_laboriosa	V_type_proton_ATPase	gene-LOC122718652	V-type proton ATPase subunit H, transcript variant X1	AL|c757_g1	115	120	0.958333	True	16279.00	248.615935	144.310000	99.439610	596
Apis_laboriosa	V_type_proton_ATPase	gene-LOC122718730	V-type proton ATPase 16 kDa proteolipid subunit	AL|c34428_g1	27	48	0.562500	True	77720.00	1186.954387	381.610000	99.772077	243
Apis_laboriosa	cytochrome_P450	gene-LOC122718756	probable cytochrome P450 301a1, mitochondrial, transcript variant X1	AL|c44363_g1	69	93	0.741935	True	610.00	9.316034	4.290000	82.667458	18404
Apis_laboriosa	cytochrome_P450	gene-LOC122718757	probable cytochrome P450 49a1, transcript variant X1	AL|c44363_g2	73	93	0.784946	True	61.00	0.931603	2.480000	74.190024	27405
Apis_laboriosa	Nach_DEG_ENaC	gene-LOC122718769	sodium channel protein Nach-like, transcript variant X1	AL|c26374_g1	87	94	0.925532	True	1359.00	20.754902	6.600000	87.843769	12908
Apis_laboriosa	V_type_proton_ATPase	gene-LOC122718946	V-type proton ATPase subunit d	AL|c26254_g1	48	48	1.000000	True	13558.00	207.060314	120.570000	99.333183	709
Apis_laboriosa	glutathione_S_transferase	gene-LOC122718979	glutathione S-transferase theta-3-like		0	48	0.000000	False	0.00	0.000000	0.000000	NA	NA
Apis_laboriosa	mucin	gene-LOC122719140	mucin-17-like, transcript variant X1	AL|c43196_g1	119	120	0.991667	True	6819.00	104.141044	9.960000	91.506555	9019
Apis_laboriosa	ABCC_MRP	gene-LOC122719184	probable multidrug resistance-associated protein lethal(2)03659, transcript variant X1	AL|c42675_g1	84	95	0.884211	True	1755.00	26.802688	6.290000	87.413351	13365
Apis_laboriosa	cytochrome_P450	gene-LOC122719280	cytochrome P450 6k1-like, transcript variant X1	AL|c35064_g1	90	94	0.957447	True	2105.00	32.147954	18.560000	95.298373	4993
Apis_laboriosa	mucin	gene-LOC122719436	mucin-19-like, transcript variant X1	AL|c46779_g1	49	95	0.515789	True	1995.00	30.468013	7.310000	88.867541	11821
Apis_laboriosa	cytochrome_P450	gene-LOC122719533	probable cytochrome P450 6a14	AL|c86820_g1	4	48	0.083333	True	2.00	0.030544	1.150000	57.387734	45245
Apis_laboriosa	chitin_synthase	gene-LOC122719631	chitin synthase chs-2-like, transcript variant X1	AL|c44673_g1	108	120	0.900000	True	20668.00	315.645565	59.140000	98.573124	1516
Apis_laboriosa	chitin_synthase	gene-LOC122719633	chitin synthase chs-1-like	AL|c44717_g1	43	48	0.895833	True	176.00	2.687905	2.520000	74.614791	26954
Apis_laboriosa	mucin	gene-LOC122719661	mucin-17-like	AL|c48133_g1	3	47	0.063830	True	17.00	0.259627	0.310000	20.628014	84275
Apis_laboriosa	cytochrome_P450	gene-LOC122719679	probable cytochrome P450 4aa1, transcript variant X1	AL|c40635_g1	92	95	0.968421	True	22544.00	344.296188	78.600000	98.948915	1117
Apis_laboriosa	cytochrome_P450	gene-LOC122719736	cytochrome P450 9e2-like	AL|c47116_g2	37	48	0.770833	True	44660.91	682.069777	355.730000	99.756065	260
Apis_laboriosa	ABCC_MRP	gene-LOC122719830	ATP-binding cassette sub-family C member 10, transcript variant X1	AL|c43062_g1	91	95	0.957895	True	2749.00	41.983243	8.360000	90.034471	10582
Apis_laboriosa	ABCG_half_transporter	gene-LOC122719983	ATP-binding cassette sub-family G member 1-like, transcript variant X1	AL|c37288_g1	117	120	0.975000	True	2757.00	42.105420	10.360000	91.742955	8768
Apis_laboriosa	V_type_proton_ATPase	gene-LOC122720010	V-type proton ATPase subunit G	AL|c12578_g1	47	48	0.979167	True	28531.00	435.730772	526.630000	99.824819	187
Apis_laboriosa	UDP_glycosyltransferase	gene-LOC122720016	UDP-glycosyltransferase UGT5-like	AL|c44359_g1	48	48	1.000000	True	6609.00	100.933885	40.350000	97.852622	2281
Apis_laboriosa	aquaporin	gene-LOC122720057	aquaporin AQPAn.G-like, transcript variant X1	AL|c43594_g1	119	120	0.991667	True	7844.00	119.795036	66.920000	98.766200	1311
Apis_laboriosa	glutathione_S_transferase	gene-LOC122720119	microsomal glutathione S-transferase 1-like	AL|c40003_g2	35	48	0.729167	True	4535.00	69.259369	240.970000	99.660940	361
Apis_laboriosa	V_type_proton_ATPase	gene-LOC122720204	V-type proton ATPase subunit E	AL|c6436_g1	43	47	0.914894	True	15580.00	237.940676	317.510000	99.739112	278
Apis_laboriosa	glutathione_S_transferase	gene-LOC122720326	glutathione S-transferase-like, transcript variant X1	AL|c36837_g1	106	120	0.883333	True	142.00	2.168651	3.290000	78.876582	22429
Apis_laboriosa	cytochrome_P450	gene-LOC122720345	cytochrome P450 306a1	AL|c42392_g1	45	48	0.937500	True	131.00	2.000657	1.630000	65.816192	36296
Apis_laboriosa	aquaporin	gene-LOC122720404	aquaporin AQPAe.a-like	AL|c26495_g1	48	48	1.000000	True	9238.00	141.084465	41.860000	97.924201	2205
Apis_laboriosa	V_type_proton_ATPase	gene-LOC122720691	V-type proton ATPase 21 kDa proteolipid subunit-like	AL|c20979_g1	45	48	0.937500	True	6428.00	98.169619	48.260000	98.218995	1892
Apis_laboriosa	mucin	gene-LOC122720924	mucin-22-like	AL|c46455_g1	17	48	0.354167	True	218.00	3.329337	1.370000	61.747476	40616
Apis_laboriosa	cytochrome_P450	gene-LOC122721014	cytochrome P450 6k1-like	AL|c39532_g1	39	48	0.812500	True	54846.00	837.618378	367.640000	99.765484	250
Apis_laboriosa	UDP_glycosyltransferase	gene-LOC122721150	UDP-glycosyltransferase UGT5-like	AL|c46431_g2	47	48	0.979167	True	4876.00	74.467185	22.490000	96.071617	4172
Apis_laboriosa	cytochrome_P450	gene-LOC122721170	probable cytochrome P450 305a1	AL|c28936_g1	46	48	0.958333	True	1889.00	28.849162	17.320000	94.965906	5346
Apis_dorsata	glutathione_S_transferase	gene-LOC102670639	glutathione S-transferase 1-1-like, transcript variant X1	AD|c35331_g1	110	120	0.916667	True	3639.00	59.309818	58.660000	98.508023	1153
Apis_dorsata	organic_anion_transport	gene-LOC102670847	solute carrier organic anion transporter family member 74D, transcript variant X1	AD|c40819_g1	80	88	0.909091	True	2640.00	43.027732	15.830000	92.492197	5798
Apis_dorsata	cytochrome_P450	gene-LOC102670848	cytochrome P450 4C1-like	AD|c59869_g1	12	48	0.250000	True	13.00	0.211879	1.360000	52.273581	36852
Apis_dorsata	mucin	gene-LOC102670863	mucin-1-like, transcript variant X1	AD|c40854_g3	33	120	0.275000	True	11229.24	183.018460	82.350000	98.975561	792
Apis_dorsata	mucin	gene-LOC102670981	mucin-2-like		0	45	0.000000	False	0.00	0.000000	0.000000	NA	NA
Apis_dorsata	cytochrome_P450	gene-LOC102671064	cytochrome P450 6A1-like, transcript variant X1	AD|c32311_g2	65	94	0.691489	True	3241.00	52.823061	45.550000	97.996451	1548
Apis_dorsata	cytochrome_P450	gene-LOC102671068	cytochrome P450 315a1, mitochondrial, transcript variant X1	AD|c39576_g1	94	95	0.989474	True	373.00	6.079297	3.810000	73.360704	20570
Apis_dorsata	organic_anion_transport	gene-LOC102671071	solute carrier organic anion transporter family member 74D-like, transcript variant X1	AD|c40878_g1	89	94	0.946809	True	334.00	5.443660	2.020000	60.887415	30201
Apis_dorsata	ABCC_MRP	gene-LOC102671280	probable multidrug resistance-associated protein lethal(2)03659, transcript variant X1	AD|c41922_g1	88	95	0.926316	True	3059.00	49.856755	9.670000	87.259917	9838
Apis_dorsata	cytochrome_P450	gene-LOC102671368	cytochrome P450 4c3-like	AD|c34703_g1	31	48	0.645833	True	1368.00	22.296189	11.690000	89.513424	8098
Apis_dorsata	Nach_DEG_ENaC	gene-LOC102671429	pickpocket protein 28-like		0	48	0.000000	False	0.00	0.000000	0.000000	NA	NA
Apis_dorsata	glutathione_S_transferase	gene-LOC102671497	glutathione S-transferase theta-3-like	AD|c36720_g1	47	47	1.000000	True	2838.00	46.254812	22.390000	95.350524	3591
Apis_dorsata	cytochrome_P450	gene-LOC102671546	cytochrome P450 6k1-like	AD|c36416_g1	47	48	0.979167	True	10501.00	171.149325	66.810000	98.720423	989
Apis_dorsata	cytochrome_P450	gene-LOC102671838	probable cytochrome P450 6a13, transcript variant X1	AD|c41215_g1	77	93	0.827957	True	976.00	15.907222	5.010000	78.008885	16981
Apis_dorsata	cytochrome_P450	gene-LOC102672041	probable cytochrome P450 303a1, transcript variant X1	AD|c41815_g2	39	95	0.410526	True	1539.00	25.083212	12.650000	90.331939	7466
Apis_dorsata	cytochrome_P450	gene-LOC102672059	probable cytochrome P450 6a13	AD|c41595_g1	30	46	0.652174	True	44877.93	731.437714	239.750000	99.694352	237
Apis_dorsata	UDP_glycosyltransferase	gene-LOC102672082	UDP-glucuronosyltransferase 1-3-like	AD|c34818_g1	31	48	0.645833	True	2307.00	37.600371	23.990000	95.722223	3304
Apis_dorsata	V_type_proton_ATPase	gene-LOC102672084	V-type proton ATPase 21 kDa proteolipid subunit-like	AD|c38432_g2	28	48	0.583333	True	7086.00	115.490346	18.480000	93.941435	4679
Apis_dorsata	cytochrome_P450	gene-LOC102672340	cytochrome P450 6A1-like	AD|c41595_g1	4	47	0.085106	True	44877.93	731.437714	239.750000	99.694352	237
Apis_dorsata	major_facilitator	gene-LOC102672361	major facilitator superfamily domain-containing protein 12-like	AD|c42267_g2	46	48	0.958333	True	1416.00	23.078511	14.940000	92.001347	6177
Apis_dorsata	ABCB_P_glycoprotein	gene-LOC102672391	ATP-binding cassette sub-family B member 7, mitochondrial	AD|c40796_g1	45	48	0.937500	True	6306.33	102.782985	25.010000	95.948869	3129
Apis_dorsata	peritrophic_matrix_chitin_binding	gene-LOC102672431	peritrophin-1-like		0	48	0.000000	False	0.00	0.000000	0.000000	NA	NA
Apis_dorsata	V_type_proton_ATPase	gene-LOC102672547	V-type proton ATPase subunit d	AD|c11216_g1	48	48	1.000000	True	5386.00	87.783094	55.400000	98.408299	1230
Apis_dorsata	cytochrome_P450	gene-LOC102672653	cytochrome P450 9e2-like, transcript variant X1	AD|c36096_g1	58	93	0.623656	True	3031.00	49.400400	31.550000	96.961652	2347
