eastern_original_scaffold	eastern_accession	eastern_probe_min_position	eastern_probe_max_position	refseq_gene_parent	refseq_gene_name	refseq_scaffold	refseq_start	refseq_end	strand	product	exact_probe_hits	total_probes	probe_fraction	refseq_sodium_related_go_terms	refseq_sodium_go_match	sodium_or_ion_keyword
scaffold_8	GWHAOTM00000008	542887	545050	gene-LOC122714490	LOC122714490	NW_025222776.1	1684784	1687131	-	kelch domain-containing protein 4-like	8	8	1.000000		False	False
scaffold_8	GWHAOTM00000008	1535293	1538824	gene-LOC122714433	LOC122714433	NW_025222776.1	700026	705814	+	lipid storage droplets surface-binding protein 1, transcript variant X1	8	8	1.000000		False	False
scaffold_8	GWHAOTM00000008	646957	649478	gene-LOC122714474	LOC122714474	NW_025222776.1	1580799	1583513	+	uncharacterized LOC122714474	8	8	1.000000		False	False
scaffold_8	GWHAOTM00000008	894111	897130	gene-LOC122714416	LOC122714416	NW_025222776.1	1340818	1345154	-	ATP-dependent RNA helicase DHX8, transcript variant X1	7	7	1.000000		False	False
scaffold_8	GWHAOTM00000008	232095	245421	gene-LOC122714460	LOC122714460	NW_025222776.1	1983422	1996912	+	FAD-dependent oxidoreductase domain-containing protein 1, transcript variant X1	7	7	1.000000		False	False
scaffold_8	GWHAOTM00000008	1827557	1839454	gene-LOC122714527	LOC122714527	NW_025222776.1	401735	414848	-	glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic-like	7	7	1.000000		False	False
scaffold_8	GWHAOTM00000008	584117	585488	gene-LOC122714523	LOC122714523	NW_025222776.1	1644240	1645952	+	heparin sulfate O-sulfotransferase-like	7	7	1.000000		False	False
scaffold_8	GWHAOTM00000008	1851130	1854851	gene-LOC122714429	LOC122714429	NW_025222776.1	384144	392412	-	heterogeneous nuclear ribonucleoprotein A1, A2/B1 homolog, transcript variant X1	7	7	1.000000		False	False
scaffold_8	GWHAOTM00000008	2062602	2234440	gene-LOC122714458	LOC122714458	NW_025222776.1	7914	180434	-	lachesin-like	7	8	0.875000		False	False
scaffold_8	GWHAOTM00000008	561426	565137	gene-LOC122714521	LOC122714521	NW_025222776.1	1664165	1669120	+	protein PFF0380w-like, transcript variant X1	7	7	1.000000		False	False
scaffold_8	GWHAOTM00000008	1965902	1970496	gene-LOC122714469	LOC122714469	NW_025222776.1	271471	276794	+	trypsin-1, transcript variant X1	7	7	1.000000		False	False
scaffold_8	GWHAOTM00000008	885201	886632	gene-LOC122714464	LOC122714464	NW_025222776.1	1352246	1354029	+	Werner Syndrome-like exonuclease, transcript variant X1	6	6	1.000000		False	False
scaffold_8	GWHAOTM00000008	515612	518178	gene-LOC122714454	LOC122714454	NW_025222776.1	1710740	1714055	+	dynein axonemal assembly factor 5, transcript variant X1	6	6	1.000000		False	False
scaffold_8	GWHAOTM00000008	535435	540494	gene-LOC122714435	LOC122714435	NW_025222776.1	1688455	1694235	+	exocyst complex component 7	6	6	1.000000		False	False
scaffold_8	GWHAOTM00000008	210672	216195	gene-LOC122714425	LOC122714425	NW_025222776.1	2010866	2017960	-	lipase 3-like	6	6	1.000000		False	False
scaffold_8	GWHAOTM00000008	519215	521351	gene-LOC122714541	LOC122714541	NW_025222776.1	1707967	1710526	+	phosphoribosyl pyrophosphate synthase-associated protein 2, transcript variant X1	6	6	1.000000		False	False
scaffold_8	GWHAOTM00000008	1992388	1996467	gene-LOC122714470	LOC122714470	NW_025222776.1	245985	249915	-	trypsin-1-like	6	7	0.857143		False	False
scaffold_8	GWHAOTM00000008	2261961	2322695	gene-LOC122713162	LOC122713162	NW_025222420.1	571033	632158	+	uncharacterized LOC122713162, transcript variant X1	6	6	1.000000		False	False
scaffold_8	GWHAOTM00000008	1686131	1761875	gene-LOC122714459	LOC122714459	NW_025222776.1	479654	555976	+	uncharacterized LOC122714459, transcript variant X1	6	6	1.000000		False	False
scaffold_8	GWHAOTM00000008	1961271	1964150	gene-LOC122714471	LOC122714471	NW_025222776.1	277886	281308	+	vitamin K-dependent protein C-like	6	7	0.857143		False	False
scaffold_8	GWHAOTM00000008	1845291	1847562	gene-LOC122714482	LOC122714482	NW_025222776.1	394062	397026	-	zinc finger protein 184-like	6	6	1.000000		False	False
scaffold_8	GWHAOTM00000008	202382	206033	gene-LOC122714462	LOC122714462	NW_025222776.1	2021563	2026077	+	zinc finger protein ztf-16	6	6	1.000000		False	False
scaffold_8	GWHAOTM00000008	583032	583760	gene-LOC122714524	LOC122714524	NW_025222776.1	1645945	1647668	-	N-terminal Xaa-Pro-Lys N-methyltransferase 1, transcript variant X1	5	5	1.000000		False	False
scaffold_8	GWHAOTM00000008	598751	599857	gene-LOC122714537	LOC122714537	NW_025222776.1	1629418	1631583	-	TATA-box-binding protein, transcript variant X1	5	5	1.000000		False	False
scaffold_8	GWHAOTM00000008	2341208	2372619	gene-LOC122713166	LOC122713166	NW_025222420.1	2867	555016	+	autophagy-related protein 16-1, transcript variant X1	5	13	0.384615		False	False
scaffold_8	GWHAOTM00000008	334496	342250	gene-LOC122714500	LOC122714500	NW_025222776.1	1852176	1897366	+	ets DNA-binding protein pokkuri, transcript variant X1	5	5	1.000000		False	False
scaffold_8	GWHAOTM00000008	1829784	1834818	gene-LOC122714528	LOC122714528	NW_025222776.1	407012	412345	+	peroxiredoxin-6-like	5	5	1.000000		False	False
scaffold_8	GWHAOTM00000008	1972970	1977903	gene-LOC122714468	LOC122714468	NW_025222776.1	264198	269370	+	trypsin-1-like	5	6	0.833333		False	False
scaffold_8	GWHAOTM00000008	253311	255252	gene-LOC122714497	LOC122714497	NW_025222776.1	1973507	1975809	-	uncharacterized LOC122714497	5	5	1.000000		False	False
scaffold_8	GWHAOTM00000008	603096	604214	gene-LOC122714505	LOC122714505	NW_025222776.1	1625648	1626963	+	uncharacterized LOC122714505	5	5	1.000000		False	False
scaffold_8	GWHAOTM00000008	103648	106376	gene-LOC122714498	LOC122714498	NW_025222776.1	2122087	2125185	+	60S ribosome subunit biogenesis protein NIP7 homolog	4	4	1.000000		False	False
scaffold_8	GWHAOTM00000008	1682278	1683423	gene-LOC122714513	LOC122714513	NW_025222776.1	558270	559657	+	DNA-binding transcriptional regulator BolA	4	4	1.000000		False	False
scaffold_8	GWHAOTM00000008	654249	657184	gene-LOC122714420	LOC122714420	NW_025222776.1	1571365	1577697	-	GATA zinc finger domain-containing protein 7-like, transcript variant X1	4	4	1.000000		False	False
scaffold_8	GWHAOTM00000008	1840985	1843179	gene-LOC122714495	LOC122714495	NW_025222776.1	397790	401059	+	complex III assembly factor LYRM7-like	4	4	1.000000		False	False
scaffold_8	GWHAOTM00000008	600770	601771	gene-LOC122714538	LOC122714538	NW_025222776.1	1627693	1629372	+	exosome complex component MTR3-like, transcript variant X1	4	4	1.000000		False	False
scaffold_8	GWHAOTM00000008	488274	490383	gene-LOC122714532	LOC122714532	NW_025222776.1	1733503	1742422	+	fructose-1,6-bisphosphatase 1, transcript variant X1	4	4	1.000000		False	False
scaffold_8	GWHAOTM00000008	925911	929152	gene-LOC122714504	LOC122714504	NW_025222776.1	1309806	1313347	-	glycerate kinase-like	4	4	1.000000		False	False
scaffold_8	GWHAOTM00000008	1865612	1872170	gene-LOC122714501	LOC122714501	NW_025222776.1	369788	376558	+	homeobox protein rough-like	4	4	1.000000		False	False
scaffold_8	GWHAOTM00000008	1901205	1940538	gene-LOC122714486	LOC122714486	NW_025222776.1	300518	341130	-	muscarinic acetylcholine receptor gar-2	4	4	1.000000		False	False
scaffold_8	GWHAOTM00000008	1957813	1958884	gene-LOC122714467	LOC122714467	NW_025222776.1	282869	285666	-	probable ATP-dependent helicase PF08_0048, transcript variant X1	4	4	1.000000		False	False
scaffold_8	GWHAOTM00000008	256128	257385	gene-LOC122714487	LOC122714487	NW_025222776.1	1971403	1973064	+	transmembrane protein 41 homolog	4	4	1.000000		False	False
scaffold_8	GWHAOTM00000008	268741	282079	gene-LOC122714483	LOC122714483	NW_025222776.1	1946243	1970382	-	tumor necrosis factor receptor superfamily member wengen	4	4	1.000000		False	False
scaffold_8	GWHAOTM00000008	2555638	2634707	gene-LOC122713165	LOC122713165	NW_025222420.1	260593	339550	-	uncharacterized LOC122713165	4	5	0.800000		False	False
scaffold_8	GWHAOTM00000008	248185	249736	gene-LOC122714488	LOC122714488	NW_025222776.1	1978522	1980951	+	uncharacterized LOC122714488	4	4	1.000000		False	False
scaffold_8	GWHAOTM00000008	586808	587274	gene-LOC122714543	LOC122714543	NW_025222776.1	1642274	1643263	+	AP-2 complex subunit sigma	3	3	1.000000		False	False
scaffold_8	GWHAOTM00000008	608063	608692	gene-LOC122716736	LOC122716736	NW_025223476.1	389	1213	-	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	3	3	1.000000		False	False
scaffold_8	GWHAOTM00000008	692054	693748	gene-LOC122714461	LOC122714461	NW_025222776.1	1536727	1539608	-	SCY1-like protein 2	3	3	1.000000		False	False
scaffold_8	GWHAOTM00000008	1520135	1520854	gene-LOC122714506	LOC122714506	NW_025222776.1	718927	720555	+	lipid storage droplets surface-binding protein 2-like	3	3	1.000000		False	False
scaffold_8	GWHAOTM00000008	1524096	1525036	gene-LOC122714485	LOC122714485	NW_025222776.1	713519	717151	+	lipid storage droplets surface-binding protein 2-like, transcript variant X1	3	4	0.750000		False	False
scaffold_8	GWHAOTM00000008	1529570	1530854	gene-LOC122714489	LOC122714489	NW_025222776.1	707852	711454	+	lipid storage droplets surface-binding protein 2-like, transcript variant X1	3	3	1.000000		False	False
scaffold_8	GWHAOTM00000008	533069	534071	gene-LOC122714437	LOC122714437	NW_025222776.1	1694195	1696961	-	ras-related protein Rac1	3	3	1.000000		False	False
scaffold_8	GWHAOTM00000008	513389	514149	gene-LOC122714480	LOC122714480	NW_025222776.1	1714520	1716359	+	rho GDP-dissociation inhibitor 2	3	3	1.000000		False	False
scaffold_8	GWHAOTM00000008	328859	331446	gene-LOC122714502	LOC122714502	NW_025222776.1	1897602	1900598	-	single-stranded DNA-binding protein, mitochondrial	3	3	1.000000		False	False
scaffold_8	GWHAOTM00000008	669278	669511	gene-LOC122714507	LOC122714507	NW_025222776.1	1560720	1561527	-	uncharacterized LOC122714507, transcript variant X1	3	3	1.000000		False	False
scaffold_8	GWHAOTM00000008	251020	251815	gene-LOC122714503	LOC122714503	NW_025222776.1	1976883	1978007	-	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9	2	2	1.000000		False	False
scaffold_8	GWHAOTM00000008	499908	501299	gene-LOC122714453	LOC122714453	NW_025222776.1	1726735	1729971	-	RNA-binding protein spenito	2	2	1.000000		False	False
scaffold_8	GWHAOTM00000008	87922	90143	gene-LOC122714444	LOC122714444	NW_025222776.1	2137299	2147139	-	elongation of very long chain fatty acids protein 6-like	2	2	1.000000		False	False
scaffold_8	GWHAOTM00000008	179025	179806	gene-LOC122714544	LOC122714544	NW_025222776.1	2047881	2119029	-	elongation of very long chain fatty acids protein 6-like, transcript variant X1	2	2	1.000000		False	False
scaffold_8	GWHAOTM00000008	2260529	2260914	gene-LOC122713163	LOC122713163	NW_025222420.1	632446	633243	-	prefoldin subunit 5	2	2	1.000000		False	False
scaffold_8	GWHAOTM00000008	487475	487897	gene-LOC122714534	LOC122714534	NW_025222776.1	1741347	1742438	-	pro-resilin-like	2	2	1.000000		False	False
scaffold_8	GWHAOTM00000008	919117	919811	gene-LOC122714446	LOC122714446	NW_025222776.1	1316756	1320507	-	ribosome biogenesis protein NOP53	2	3	0.666667		False	False
scaffold_8	GWHAOTM00000008	1547509	1549246	gene-LOC122714427	LOC122714427	NW_025222776.1	690113	693844	-	uncharacterized LOC122714427	2	2	1.000000		False	False
scaffold_8	GWHAOTM00000008	1676151	1678144	gene-LOC122714515	LOC122714515	NW_025222776.1	563621	565883	-	uncharacterized LOC122714515	2	2	1.000000		False	False
scaffold_25	GWHAOTM00000025	1824702	1828123	gene-LOC122718769	LOC122718769	NW_025224135.1	1455905	1459486	+	sodium channel protein Nach-like, transcript variant X1	12	12	1.000000	GO:0015280,GO:0035725	True	True
scaffold_25	GWHAOTM00000025	2094472	2098358	gene-LOC122718652	LOC122718652	NW_025224135.1	1186077	1190275	+	V-type proton ATPase subunit H, transcript variant X1	11	11	1.000000		False	True
scaffold_25	GWHAOTM00000025	1899744	1901260	gene-LOC122718946	LOC122718946	NW_025224135.1	1382962	1384825	-	V-type proton ATPase subunit d	6	6	1.000000		False	True
scaffold_25	GWHAOTM00000025	2363136	2364689	gene-LOC122718895	LOC122718895	NW_025224135.1	919167	921806	-	putative sodium-coupled neutral amino acid transporter 7	3	4	0.750000		False	True
scaffold_25	GWHAOTM00000025	998643	1048673	gene-LOC122718936	LOC122718936	NW_025224135.1	2233306	2284985	-	AT-rich interactive domain-containing protein 2-like, transcript variant X1	16	16	1.000000		False	False
scaffold_25	GWHAOTM00000025	2071523	2080687	gene-LOC122718677	LOC122718677	NW_025224135.1	1202029	1213295	+	CD109 antigen-like, transcript variant X1	16	16	1.000000		False	False
scaffold_25	GWHAOTM00000025	2088162	2093865	gene-LOC122718726	LOC122718726	NW_025224135.1	1190553	1196572	-	DNA-directed RNA polymerase I subunit RPA2	16	16	1.000000		False	False
scaffold_25	GWHAOTM00000025	2373566	2409720	gene-LOC122718892	LOC122718892	NW_025224135.1	874272	912231	+	SLIT-ROBO Rho GTPase-activating protein 1-like, transcript variant X1	16	16	1.000000		False	False
scaffold_25	GWHAOTM00000025	1089031	1094948	gene-LOC122718971	LOC122718971	NW_025224135.1	2187733	2194867	+	WD repeat-containing protein on Y chromosome, transcript variant X1	16	16	1.000000		False	False
scaffold_25	GWHAOTM00000025	2315631	2324846	gene-LOC122718664	LOC122718664	NW_025224135.1	959310	968972	-	cartilage oligomeric matrix protein, transcript variant X1	16	16	1.000000		False	False
scaffold_25	GWHAOTM00000025	1054735	1077445	gene-LOC122718736	LOC122718736	NW_025224135.1	2205228	2227880	+	centrosomal protein of 135 kDa	16	16	1.000000		False	False
scaffold_25	GWHAOTM00000025	856541	873893	gene-LOC122718968	LOC122718968	NW_025224135.1	2408741	2426557	+	dmX-like protein 2, transcript variant X1	16	16	1.000000		False	False
scaffold_25	GWHAOTM00000025	874738	894841	gene-LOC122718732	LOC122718732	NW_025224135.1	2387633	2408167	+	dynein axonemal heavy chain 7-like, transcript variant X1	16	16	1.000000		False	False
scaffold_25	GWHAOTM00000025	1742267	1780539	gene-LOC122718834	LOC122718834	NW_025224135.1	1502897	1542246	-	eukaryotic translation initiation factor 4 gamma 3-like, transcript variant X1	16	16	1.000000		False	False
scaffold_25	GWHAOTM00000025	474273	492187	gene-LOC122718980	LOC122718980	NW_025224135.1	2786140	2804622	+	otoferlin-like, transcript variant X1	16	16	1.000000		False	False
scaffold_25	GWHAOTM00000025	2492496	2496643	gene-LOC122718722	LOC122718722	NW_025224135.1	787265	792319	-	peroxisomal multifunctional enzyme type 2, transcript variant X1	16	16	1.000000		False	False
scaffold_25	GWHAOTM00000025	1191428	1363046	gene-LOC122718804	LOC122718804	NW_025224135.1	1919284	2092484	+	potassium channel subfamily T member 2, transcript variant X1	16	16	1.000000		False	False
scaffold_25	GWHAOTM00000025	1945207	1951386	gene-LOC122718636	LOC122718636	NW_025224135.1	1332998	1339592	-	transmembrane 9 superfamily member 2, transcript variant X1	16	16	1.000000		False	False
scaffold_25	GWHAOTM00000025	41299	58941	gene-LOC122718877	LOC122718877	NW_025224135.1	3218384	3236294	-	A disintegrin and metalloproteinase with thrombospondin motifs 12-like	15	16	0.937500		False	False
scaffold_25	GWHAOTM00000025	1916809	1922609	gene-LOC122718987	LOC122718987	NW_025224135.1	1361553	1367788	-	BRCA2-interacting transcriptional repressor EMSY, transcript variant X1	15	15	1.000000		False	False
scaffold_25	GWHAOTM00000025	2033184	2037245	gene-LOC122718920	LOC122718920	NW_025224135.1	1247189	1251492	-	centromere protein I-like	15	15	1.000000		False	False
scaffold_25	GWHAOTM00000025	1938298	1943244	gene-LOC122718983	LOC122718983	NW_025224135.1	1341066	1346323	-	exportin-2	15	16	0.937500		False	False
scaffold_25	GWHAOTM00000025	2542564	2546879	gene-LOC122718745	LOC122718745	NW_025224135.1	737179	742636	-	exportin-6	15	15	1.000000		False	False
scaffold_25	GWHAOTM00000025	1987710	2009477	gene-LOC122718918	LOC122718918	NW_025224135.1	1274697	1297000	+	rab3 GTPase-activating protein catalytic subunit, transcript variant X1	15	15	1.000000		False	False
scaffold_25	GWHAOTM00000025	512299	546414	gene-LOC122718955	LOC122718955	NW_025224135.1	2731730	2769700	-	serine/threonine-protein kinase tricornered, transcript variant X1	15	15	1.000000		False	False
scaffold_25	GWHAOTM00000025	1078687	1082561	gene-LOC122718974	LOC122718974	NW_025224135.1	2200076	2204444	-	cGMP-dependent 3',5'-cyclic phosphodiesterase-like, transcript variant X1	14	14	1.000000		False	False
scaffold_25	GWHAOTM00000025	1723396	1726809	gene-LOC122718950	LOC122718950	NW_025224135.1	1556632	1560650	-	conserved oligomeric Golgi complex subunit 5, transcript variant X1	14	14	1.000000		False	False
scaffold_25	GWHAOTM00000025	1612043	1691418	gene-LOC122718897	LOC122718897	NW_025224135.1	1572642	1672509	+	dentin sialophosphoprotein-like, transcript variant X1	14	15	0.933333		False	False
scaffold_25	GWHAOTM00000025	936212	992173	gene-LOC122718871	LOC122718871	NW_025224135.1	2290278	2350407	-	dynein axonemal heavy chain 1-like	14	16	0.875000		False	False
scaffold_25	GWHAOTM00000025	2124433	2142161	gene-LOC122718783	LOC122718783	NW_025224135.1	1141850	1161248	+	GTPase-activating Rap/Ran-GAP domain-like protein 3, transcript variant X1	13	16	0.812500		False	False
scaffold_25	GWHAOTM00000025	1518283	1557552	gene-LOC122718888	LOC122718888	NW_025224135.1	1724134	1764470	+	TGF-beta receptor type-1, transcript variant X1	13	13	1.000000		False	False
scaffold_25	GWHAOTM00000025	2266297	2270822	gene-LOC122718685	LOC122718685	NW_025224135.1	1013037	1018492	+	chromosome-associated kinesin KIF4A, transcript variant X1	13	13	1.000000		False	False
scaffold_25	GWHAOTM00000025	1893941	1898702	gene-LOC122718944	LOC122718944	NW_025224135.1	1385491	1390559	+	coiled-coil and C2 domain-containing protein 1-like, transcript variant X1	13	13	1.000000		False	False
scaffold_25	GWHAOTM00000025	1567139	1570612	gene-LOC122718695	LOC122718695	NW_025224135.1	1711878	1715822	+	vacuolar protein sorting-associated protein 53 homolog	12	13	0.923077		False	False
scaffold_25	GWHAOTM00000025	60517	78987	gene-LOC122718876	LOC122718876	NW_025224135.1	3198447	3217155	+	A disintegrin and metalloproteinase with thrombospondin motifs 7-like	11	12	0.916667		False	False
scaffold_25	GWHAOTM00000025	2276543	2280911	gene-LOC122718686	LOC122718686	NW_025224135.1	1003461	1008033	+	coiled-coil domain-containing protein 39	11	11	1.000000		False	False
scaffold_25	GWHAOTM00000025	1978284	1981036	gene-LOC122718921	LOC122718921	NW_025224135.1	1303238	1306347	-	eukaryotic translation initiation factor 2-alpha kinase 1-like, transcript variant X1	11	11	1.000000		False	False
scaffold_25	GWHAOTM00000025	2251209	2260404	gene-LOC122718866	LOC122718866	NW_025224135.1	1023866	1033598	-	mediator of RNA polymerase II transcription subunit 12	11	11	1.000000		False	False
scaffold_25	GWHAOTM00000025	1813480	1815925	gene-LOC122718869	LOC122718869	NW_025224135.1	1468002	1470924	+	putative leucine-rich repeat-containing protein DDB_G0290503	11	11	1.000000		False	False
scaffold_25	GWHAOTM00000025	1720988	1722965	gene-LOC122718954	LOC122718954	NW_025224135.1	1560735	1563001	+	AP-3 complex subunit mu-1, transcript variant X1	10	10	1.000000		False	False
scaffold_25	GWHAOTM00000025	2365658	2370010	gene-LOC122718894	LOC122718894	NW_025224135.1	912264	919014	+	E3 ubiquitin-protein ligase RNF123, transcript variant X1	10	10	1.000000		False	False
scaffold_25	GWHAOTM00000025	786059	790526	gene-LOC122718705	LOC122718705	NW_025224135.1	2492522	2498370	+	E3 ubiquitin-protein ligase RNF126, transcript variant X1	10	10	1.000000		False	False
scaffold_25	GWHAOTM00000025	2580922	2635857	gene-LOC122718703	LOC122718703	NW_025224135.1	591862	705055	+	homeobox protein cut, transcript variant X1	10	11	0.909091		False	False
scaffold_25	GWHAOTM00000025	1084891	1088169	gene-LOC122718973	LOC122718973	NW_025224135.1	2194336	2199058	-	inner centromere protein-like, transcript variant X1	10	10	1.000000		False	False
scaffold_25	GWHAOTM00000025	1118428	1184130	gene-LOC122718806	LOC122718806	NW_025224135.1	2097221	2167059	-	uncharacterized LOC122718806, transcript variant X1	10	11	0.909091		False	False
scaffold_25	GWHAOTM00000025	1906526	1910359	gene-LOC122718962	LOC122718962	NW_025224135.1	1373907	1379664	-	uncharacterized LOC122718962	10	10	1.000000		False	False
scaffold_25	GWHAOTM00000025	2084739	2087458	gene-LOC122718678	LOC122718678	NW_025224135.1	1196768	1199932	+	HAUS augmin-like complex subunit 3	9	9	1.000000		False	False
scaffold_25	GWHAOTM00000025	1396755	1460145	gene-LOC122718776	LOC122718776	NW_025224135.1	1821440	1888182	+	LON peptidase N-terminal domain and RING finger protein 3, transcript variant X1	9	9	1.000000		False	False
scaffold_25	GWHAOTM00000025	1727136	1729042	gene-LOC122718953	LOC122718953	NW_025224135.1	1553237	1556859	+	ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1-like, transcript variant X1	9	9	1.000000		False	False
scaffold_25	GWHAOTM00000025	1712188	1714456	gene-LOC122719003	LOC122719003	NW_025224135.1	1569092	1571944	-	asparagine synthetase [glutamine-hydrolyzing], transcript variant X1	9	9	1.000000		False	False
scaffold_25	GWHAOTM00000025	852535	854992	gene-LOC122718969	LOC122718969	NW_025224135.1	2427646	2430467	-	asparagine--tRNA ligase, cytoplasmic	9	9	1.000000		False	False
scaffold_25	GWHAOTM00000025	1102495	1108316	gene-LOC122718965	LOC122718965	NW_025224135.1	2174432	2180529	-	chitin deacetylase 1, transcript variant X1	9	9	1.000000		False	False
scaffold_25	GWHAOTM00000025	2244834	2246247	gene-LOC122718723	LOC122718723	NW_025224135.1	1037975	1041299	-	kynurenine formamidase, transcript variant X1	9	9	1.000000		False	False
scaffold_25	GWHAOTM00000025	904008	908659	gene-LOC122718639	LOC122718639	NW_025224135.1	2373644	2378844	-	serine/arginine repetitive matrix protein 1, transcript variant X1	9	9	1.000000		False	False
