reference_id	species	protein	gene	group	transcript	cds_start_zero_based	cds_length	product
AL|XP_043784003.1	AL	XP_043784003.1	LOC122710311	OG0006672	XM_043928068.1	210	423	XP_043784003.1 protein pinocchio [Apis laboriosa]
AL|XP_043784004.1	AL	XP_043784004.1	LOC122710313	OG0004374	XM_043928069.1	257	2856	XP_043784004.1 G patch domain-containing protein 1 homolog [Apis laboriosa]
AL|XP_043784005.1	AL	XP_043784005.1	LOC122710314	OG0004375	XM_043928070.1	114	1749	XP_043784005.1 glomulin [Apis laboriosa]
AL|XP_043784006.1	AL	XP_043784006.1	LOC122710315	OG0004376	XM_043928071.1	302	1266	XP_043784006.1 suppressor of cytokine signaling 4-like [Apis laboriosa]
AL|XP_043784007.1	AL	XP_043784007.1	LOC122710316	OG0004377	XM_043928072.1	501	1077	XP_043784007.1 uncharacterized protein LOC122710316 [Apis laboriosa]
AL|XP_043784012.1	AL	XP_043784012.1	LOC122710319	OG0001640	XM_043928077.1	177	843	XP_043784012.1 ubiquinone biosynthesis protein COQ9, mitochondrial [Apis laboriosa]
AL|XP_043784013.1	AL	XP_043784013.1	LOC122710320	OG0006400	XM_043928078.1	154	687	XP_043784013.1 nuclear transcription factor Y subunit B-1 isoform X1 [Apis laboriosa]
AL|XP_043784015.1	AL	XP_043784015.1	LOC122710321	OG0004393	XM_043928080.1	550	4878	XP_043784015.1 uncharacterized protein LOC122710321 isoform X1 [Apis laboriosa]
AL|XP_043784016.1	AL	XP_043784016.1	LOC122710318	OG0000047	XM_043928081.1	107	1314	XP_043784016.1 zinc finger CCCH domain-containing protein 13-like isoform X1 [Apis laboriosa]
AL|XP_043784019.1	AL	XP_043784019.1	LOC122710322	OG0004402	XM_043928084.1	616	1719	XP_043784019.1 protein SCAI isoform X1 [Apis laboriosa]
AL|XP_043784022.1	AL	XP_043784022.1	LOC122710323	OG0007132	XM_043928087.1	839	7050	XP_043784022.1 uncharacterized protein LOC122710323 isoform X2 [Apis laboriosa]
AL|XP_043784023.1	AL	XP_043784023.1	LOC122710324	OG0000909	XM_043928088.1	394	2595	XP_043784023.1 uncharacterized protein LOC122710324 isoform X1 [Apis laboriosa]
AL|XP_043784026.1	AL	XP_043784026.1	LOC122710325	OG0004383	XM_043928091.1	948	1383	XP_043784026.1 TSC22 domain family protein 1 isoform X1 [Apis laboriosa]
AL|XP_043784030.1	AL	XP_043784030.1	LOC122710326	OG0009268	XM_043928095.1	532	1170	XP_043784030.1 L-lactate dehydrogenase A-like 6A [Apis laboriosa]
AL|XP_043784032.1	AL	XP_043784032.1	LOC122710327	OG0005059	XM_043928097.1	3	1044	XP_043784032.1 L-lactate dehydrogenase A-like 6A [Apis laboriosa]
AL|XP_043784033.1	AL	XP_043784033.1	LOC122710328	OG0001201	XM_043928098.1	69	1005	XP_043784033.1 L-lactate dehydrogenase-like isoform X1 [Apis laboriosa]
AL|XP_043784035.1	AL	XP_043784035.1	LOC122710330	OG0009031	XM_043928100.1	31	309	XP_043784035.1 uncharacterized protein LOC122710330 [Apis laboriosa]
AL|XP_043784036.1	AL	XP_043784036.1	LOC122710332	OG0004382	XM_043928101.1	300	1482	XP_043784036.1 tyrosine-protein phosphatase non-receptor type 1 isoform X1 [Apis laboriosa]
AL|XP_043784037.1	AL	XP_043784037.1	LOC122710329	OG0001974	XM_043928102.1	269	3018	XP_043784037.1 trifunctional purine biosynthetic protein adenosine-3 [Apis laboriosa]
AL|XP_043784040.1	AL	XP_043784040.1	LOC122710333	OG0004342	XM_043928105.1	99	1185	XP_043784040.1 uncharacterized protein LOC122710333 isoform X1 [Apis laboriosa]
AL|XP_043784042.1	AL	XP_043784042.1	LOC122710334	OG0008838	XM_043928107.1	0	1227	XP_043784042.1 L-lactate dehydrogenase-like [Apis laboriosa]
AL|XP_043784043.1	AL	XP_043784043.1	LOC122710335	OG0006230	XM_043928108.1	1450	3123	XP_043784043.1 multiple C2 and transmembrane domain-containing protein isoform X1 [Apis laboriosa]
AL|XP_043784048.1	AL	XP_043784048.1	LOC122710336	OG0001882	XM_043928113.1	908	1050	XP_043784048.1 DNA-binding protein D-ETS-3-like isoform X1 [Apis laboriosa]
AL|XP_043784052.1	AL	XP_043784052.1	LOC122710337	OG0001238	XM_043928117.1	756	3381	XP_043784052.1 adenylyl cyclase X E-like isoform X1 [Apis laboriosa]
AL|XP_043784056.1	AL	XP_043784056.1	LOC122710317	OG0000178	XM_043928121.1	166	2634	XP_043784056.1 uncharacterized protein LOC122710317 [Apis laboriosa]
AL|XP_043784057.1	AL	XP_043784057.1	LOC122710339	OG0004423	XM_043928122.1	95	3240	XP_043784057.1 importin-4-like [Apis laboriosa]
AL|XP_043784058.1	AL	XP_043784058.1	LOC122710340	OG0004433	XM_043928123.1	49	1302	XP_043784058.1 retinoid-inducible serine carboxypeptidase-like isoform X1 [Apis laboriosa]
AL|XP_043784060.1	AL	XP_043784060.1	LOC122710341	OG0002017	XM_043928125.1	131	1074	XP_043784060.1 GDP-mannose 4,6 dehydratase isoform X1 [Apis laboriosa]
AL|XP_043784061.1	AL	XP_043784061.1	LOC122710338	OG0004928	XM_043928126.1	156	1113	XP_043784061.1 dnaJ homolog subfamily C member 28 isoform X1 [Apis laboriosa]
AL|XP_043784063.1	AL	XP_043784063.1	LOC122710342	OG0004381	XM_043928128.1	674	786	XP_043784063.1 forkhead box protein C1-A-like isoform X1 [Apis laboriosa]
AL|XP_043784065.1	AL	XP_043784065.1	LOC122710343	OG0006734	XM_043928130.1	97	708	XP_043784065.1 proteasome subunit beta type-1 [Apis laboriosa]
AL|XP_043784066.1	AL	XP_043784066.1	LOC122710344	OG0008230	XM_043928131.1	137	441	XP_043784066.1 endothelial differentiation-related factor 1 homolog [Apis laboriosa]
AL|XP_043784067.1	AL	XP_043784067.1	LOC122710345	OG0009590	XM_043928132.1	155	1287	XP_043784067.1 flotillin-1 isoform X1 [Apis laboriosa]
AL|XP_043784070.1	AL	XP_043784070.1	LOC122710346	OG0004424	XM_043928135.1	121	888	XP_043784070.1 telomere length and silencing protein 1 homolog [Apis laboriosa]
AL|XP_043784071.1	AL	XP_043784071.1	LOC122710347	OG0000284	XM_043928136.1	43	570	XP_043784071.1 muscle calcium channel subunit alpha-1-like [Apis laboriosa]
AL|XP_043784072.1	AL	XP_043784072.1	LOC122710348	OG0004958	XM_043928137.1	112	1413	XP_043784072.1 transmembrane protein 268 isoform X1 [Apis laboriosa]
AL|XP_043784076.1	AL	XP_043784076.1	LOC122710349	OG0007453	XM_043928141.1	229	1053	XP_043784076.1 tetratricopeptide repeat protein 19 homolog, mitochondrial [Apis laboriosa]
AL|XP_043784077.1	AL	XP_043784077.1	LOC122710350	OG0006086	XM_043928142.1	64	330	XP_043784077.1 uncharacterized protein LOC122710350 [Apis laboriosa]
AL|XP_043784078.1	AL	XP_043784078.1	LOC122710352	OG0007805	XM_043928143.1	252	1074	XP_043784078.1 activating transcription factor of chaperone isoform X1 [Apis laboriosa]
AL|XP_043784080.1	AL	XP_043784080.1	LOC122710353	OG0004973	XM_043928145.1	242	2946	XP_043784080.1 zinc finger CCCH domain-containing protein 18-like [Apis laboriosa]
AL|XP_043784082.1	AL	XP_043784082.1	LOC122710351	OG0000804	XM_043928147.1	156	909	XP_043784082.1 serine/threonine-protein phosphatase 6 catalytic subunit [Apis laboriosa]
AL|XP_043784086.1	AL	XP_043784086.1	LOC122710354	OG0007701	XM_043928151.1	319	1521	XP_043784086.1 HMG box transcription factor BBX isoform X1 [Apis laboriosa]
AL|XP_043784088.1	AL	XP_043784088.1	LOC122710355	OG0007370	XM_043928153.1	142	3543	XP_043784088.1 trimethylguanosine synthase isoform X1 [Apis laboriosa]
AL|XP_043784090.1	AL	XP_043784090.1	LOC122710356	OG0004961	XM_043928155.1	163	2079	XP_043784090.1 gastrula zinc finger protein XlCGF58.1-like isoform X1 [Apis laboriosa]
AL|XP_043784094.1	AL	XP_043784094.1	LOC122710358	OG0004962	XM_043928159.1	38	924	XP_043784094.1 leukocyte receptor cluster member 1 homolog [Apis laboriosa]
AL|XP_043784095.1	AL	XP_043784095.1	LOC122710357	OG0001942	XM_043928160.1	302	3282	XP_043784095.1 formin-like protein isoform X1 [Apis laboriosa]
AL|XP_043784096.1	AL	XP_043784096.1	LOC122710359	OG0007159	XM_043928161.1	132	264	XP_043784096.1 small nuclear ribonucleoprotein F [Apis laboriosa]
AL|XP_043784097.1	AL	XP_043784097.1	LOC122710360	OG0004963	XM_043928162.1	0	390	XP_043784097.1 chromosome transmission fidelity protein 8 homolog [Apis laboriosa]
AL|XP_043784098.1	AL	XP_043784098.1	LOC122710361	OG0007535	XM_043928163.1	331	1353	XP_043784098.1 UDP-glucuronic acid decarboxylase 1 [Apis laboriosa]
AL|XP_043784099.1	AL	XP_043784099.1	LOC122710362	OG0007227	XM_043928164.1	239	1509	XP_043784099.1 succinate-semialdehyde dehydrogenase, mitochondrial isoform X1 [Apis laboriosa]
AL|XP_043784101.1	AL	XP_043784101.1	LOC122710363	OG0004959	XM_043928166.1	161	1176	XP_043784101.1 lipid droplet-regulating VLDL assembly factor AUP1 isoform X1 [Apis laboriosa]
AL|XP_043784105.1	AL	XP_043784105.1	LOC122710364	OG0007256	XM_043928170.1	2526	4302	XP_043784105.1 extracellular sulfatase SULF-1 homolog isoform X1 [Apis laboriosa]
AL|XP_043784110.1	AL	XP_043784110.1	LOC122710365	OG0006579	XM_043928175.1	1152	3801	XP_043784110.1 J domain-containing protein DDB_G0295729 isoform X1 [Apis laboriosa]
AL|XP_043784116.1	AL	XP_043784116.1	LOC122710366	OG0007809	XM_043928181.1	121	2046	XP_043784116.1 protein crooked neck [Apis laboriosa]
AL|XP_043784117.1	AL	XP_043784117.1	LOC122710367	OG0008263	XM_043928182.1	371	1212	XP_043784117.1 G-protein coupled receptor moody isoform X1 [Apis laboriosa]
AL|XP_043784119.1	AL	XP_043784119.1	LOC122710368	OG0008554	XM_043928184.1	272	1839	XP_043784119.1 protein Smaug homolog 1 [Apis laboriosa]
AL|XP_043784120.1	AL	XP_043784120.1	LOC122710369	OG0007618	XM_043928185.1	142	348	XP_043784120.1 protein yippee-like 5 [Apis laboriosa]
AL|XP_043784121.1	AL	XP_043784121.1	LOC122710370	OG0000331	XM_043928186.1	0	327	XP_043784121.1 E3 ubiquitin-protein ligase MARCHF5-like [Apis laboriosa]
AL|XP_043784122.1	AL	XP_043784122.1	LOC122710372	OG0009177	XM_043928187.1	0	498	XP_043784122.1 transmembrane protein 223 [Apis laboriosa]
AL|XP_043784123.1	AL	XP_043784123.1	LOC122710373	OG0000238	XM_043928188.1	0	1197	XP_043784123.1 dopamine receptor 3-like [Apis laboriosa]
AL|XP_043784124.1	AL	XP_043784124.1	LOC122710374	OG0002874	XM_043928189.1	0	369	XP_043784124.1 mitochondrial pyruvate carrier 4-like [Apis laboriosa]
AL|XP_043784126.1	AL	XP_043784126.1	LOC122710375	OG0002134	XM_043928191.1	489	2199	XP_043784126.1 hormone-sensitive lipase [Apis laboriosa]
AL|XP_043784128.1	AL	XP_043784128.1	LOC122710376	OG0002879	XM_043928193.1	702	1569	XP_043784128.1 GTP-binding protein RAD-like isoform X1 [Apis laboriosa]
AL|XP_043784130.1	AL	XP_043784130.1	LOC122710377	OG0006770	XM_043928195.1	0	1431	XP_043784130.1 pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1 [Apis laboriosa]
AL|XP_043784131.1	AL	XP_043784131.1	LOC122710378	OG0009238	XM_043928196.1	107	570	XP_043784131.1 28S ribosomal protein S18b, mitochondrial [Apis laboriosa]
AL|XP_043784132.1	AL	XP_043784132.1	LOC122710379	OG0001377	XM_043928197.1	111	3108	XP_043784132.1 arfGAP with SH3 domain, ANK repeat and PH domain-containing protein isoform X1 [Apis laboriosa]
AL|XP_043784138.1	AL	XP_043784138.1	LOC122710371	OG0000729	XM_043928203.1	0	1776	XP_043784138.1 uncharacterized protein LOC122710371 isoform X2 [Apis laboriosa]
AL|XP_043784139.1	AL	XP_043784139.1	LOC122710380	OG0008441	XM_043928204.1	17	1533	XP_043784139.1 protein-cysteine N-palmitoyltransferase Rasp [Apis laboriosa]
AL|XP_043784140.1	AL	XP_043784140.1	LOC122710381	OG0006993	XM_043928205.1	138	1008	XP_043784140.1 exodeoxyribonuclease [Apis laboriosa]
AL|XP_043784141.1	AL	XP_043784141.1	LOC122710382	OG0006614	XM_043928206.1	286	1245	XP_043784141.1 all trans-polyprenyl-diphosphate synthase PDSS2 [Apis laboriosa]
AL|XP_043784142.1	AL	XP_043784142.1	LOC122710383	OG0002878	XM_043928207.1	53	462	XP_043784142.1 40S ribosomal protein S19-like [Apis laboriosa]
AL|XP_043784143.1	AL	XP_043784143.1	LOC122710385	OG0004949	XM_043928208.1	155	2544	XP_043784143.1 interaptin [Apis laboriosa]
AL|XP_043784144.1	AL	XP_043784144.1	LOC122710386	OG0009523	XM_043928209.1	204	2235	XP_043784144.1 iron-sulfur clusters transporter ABCB7, mitochondrial isoform X1 [Apis laboriosa]
AL|XP_043784147.1	AL	XP_043784147.1	LOC122710388	OG0001931	XM_043928212.1	659	1176	XP_043784147.1 acyl-coenzyme A diphosphatase FITM2 [Apis laboriosa]
AL|XP_043784148.1	AL	XP_043784148.1	LOC122710389	OG0004953	XM_043928213.1	67	2784	XP_043784148.1 uncharacterized protein LOC122710389 [Apis laboriosa]
AL|XP_043784149.1	AL	XP_043784149.1	LOC122710390	OG0004960	XM_043928214.1	263	1860	XP_043784149.1 TBC1 domain family member 14-like [Apis laboriosa]
AL|XP_043784150.1	AL	XP_043784150.1	LOC122710387	OG0004943	XM_043928215.1	112	1440	XP_043784150.1 ovarian-specific serine/threonine-protein kinase Lok-like [Apis laboriosa]
AL|XP_043784151.1	AL	XP_043784151.1	LOC122710391	OG0002094	XM_043928216.1	1039	2499	XP_043784151.1 hillarin isoform X1 [Apis laboriosa]
AL|XP_043784154.1	AL	XP_043784154.1	LOC122710392	OG0004952	XM_043928219.1	136	1314	XP_043784154.1 probable E3 ubiquitin-protein ligase RNF144A [Apis laboriosa]
AL|XP_043784155.1	AL	XP_043784155.1	LOC122710393	OG0008448	XM_043928220.1	242	681	XP_043784155.1 lysM and putative peptidoglycan-binding domain-containing protein 1 [Apis laboriosa]
AL|XP_043784157.1	AL	XP_043784157.1	LOC122710394	OG0000099	XM_043928222.1	103	816	XP_043784157.1 tropinone reductase-like 3 isoform X1 [Apis laboriosa]
AL|XP_043784159.1	AL	XP_043784159.1	LOC122710396	OG0004969	XM_043928224.1	173	1419	XP_043784159.1 G patch domain-containing protein 2 isoform X1 [Apis laboriosa]
AL|XP_043784161.1	AL	XP_043784161.1	LOC122710397	OG0001440	XM_043928226.1	110	534	XP_043784161.1 trafficking protein particle complex subunit 3 [Apis laboriosa]
AL|XP_043784162.1	AL	XP_043784162.1	LOC122710398	OG0008489	XM_043928227.1	155	504	XP_043784162.1 probable N-acetyltransferase san [Apis laboriosa]
AL|XP_043784163.1	AL	XP_043784163.1	LOC122710395	OG0007489	XM_043928228.1	90	504	XP_043784163.1 ubiquitin-conjugating enzyme E2 G1 [Apis laboriosa]
AL|XP_043784164.1	AL	XP_043784164.1	LOC122710399	OG0004957	XM_043928229.1	81	549	XP_043784164.1 calcium load-activated calcium channel [Apis laboriosa]
AL|XP_043784165.1	AL	XP_043784165.1	LOC122710400	OG0004968	XM_043928230.1	411	3597	XP_043784165.1 uncharacterized protein LOC122710400 isoform X1 [Apis laboriosa]
AL|XP_043784168.1	AL	XP_043784168.1	LOC122710401	OG0002875	XM_043928233.1	0	1740	XP_043784168.1 sodium channel protein Nach-like [Apis laboriosa]
AL|XP_043784169.1	AL	XP_043784169.1	LOC122710402	OG0009303	XM_043928234.1	53	384	XP_043784169.1 allatotropin-like [Apis laboriosa]
AL|XP_043784170.1	AL	XP_043784170.1	LOC122710403	OG0009257	XM_043928235.1	86	633	XP_043784170.1 MRN complex-interacting protein [Apis laboriosa]
AL|XP_043784171.1	AL	XP_043784171.1	LOC122710405	OG0004954	XM_043928236.1	507	1746	XP_043784171.1 solute carrier family 22 member 21-like isoform X1 [Apis laboriosa]
AL|XP_043784178.1	AL	XP_043784178.1	LOC122710406	OG0001616	XM_043928243.1	153	1578	XP_043784178.1 major facilitator superfamily domain-containing protein 8 isoform X1 [Apis laboriosa]
AL|XP_043784181.1	AL	XP_043784181.1	LOC122710407	OG0004955	XM_043928246.1	60	1401	XP_043784181.1 flocculation protein FLO11-like [Apis laboriosa]
AL|XP_043784182.1	AL	XP_043784182.1	LOC122710408	OG0004956	XM_043928247.1	242	750	XP_043784182.1 zinc finger C4H2 domain-containing protein isoform X1 [Apis laboriosa]
AL|XP_043784184.1	AL	XP_043784184.1	LOC122710409		XM_043928249.1	273	513	XP_043784184.1 uncharacterized protein LOC122710409 [Apis laboriosa]
AL|XP_043784185.1	AL	XP_043784185.1	LOC122710384	OG0002070	XM_043928250.1	110	951	XP_043784185.1 lambda-crystallin homolog [Apis laboriosa]
AL|XP_043784186.1	AL	XP_043784186.1	LOC122710404	OG0004933	XM_043928251.1	51	957	XP_043784186.1 aquaporin AQPAn.G-like isoform X2 [Apis laboriosa]
AL|XP_043784188.1	AL	XP_043784188.1	LOC122710410	OG0000692	XM_043928253.1	588	3945	XP_043784188.1 toll-like receptor Tollo [Apis laboriosa]
AL|XP_043784189.1	AL	XP_043784189.1	LOC122710413	OG0005063	XM_043928254.1	172	570	XP_043784189.1 ATP synthase subunit s, mitochondrial [Apis laboriosa]
AL|XP_043784190.1	AL	XP_043784190.1	LOC122710414	OG0000694	XM_043928255.1	0	3732	XP_043784190.1 toll-like receptor Tollo [Apis laboriosa]
AL|XP_043784191.1	AL	XP_043784191.1	LOC122710415	OG0000691	XM_043928256.1	907	3651	XP_043784191.1 toll-like receptor 6 [Apis laboriosa]
AL|XP_043784192.1	AL	XP_043784192.1	LOC122710417	OG0007252	XM_043928257.1	66	2370	XP_043784192.1 lysine-specific histone demethylase 1A [Apis laboriosa]
AL|XP_043784193.1	AL	XP_043784193.1	LOC122710418	OG0005067	XM_043928258.1	0	1593	XP_043784193.1 trichohyalin-like [Apis laboriosa]
AL|XP_043784194.1	AL	XP_043784194.1	LOC122710419	OG0006113	XM_043928259.1	133	12105	XP_043784194.1 E3 ubiquitin-protein ligase lubel isoform X1 [Apis laboriosa]
AL|XP_043784195.1	AL	XP_043784195.1	LOC122710416	OG0007436	XM_043928260.1	72	1323	XP_043784195.1 tRNA-splicing endonuclease subunit Sen2 [Apis laboriosa]
AL|XP_043784201.1	AL	XP_043784201.1	LOC122710420	OG0004964	XM_043928266.1	342	759	XP_043784201.1 type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase [Apis laboriosa]
AL|XP_043784202.1	AL	XP_043784202.1	LOC122710421	OG0004965	XM_043928267.1	49	708	XP_043784202.1 uncharacterized protein LOC122710421 [Apis laboriosa]
AL|XP_043784203.1	AL	XP_043784203.1	LOC122710422	OG0004951	XM_043928268.1	104	4575	XP_043784203.1 reticulocyte-binding protein 3-like [Apis laboriosa]
AL|XP_043784204.1	AL	XP_043784204.1	LOC122710424	OG0006675	XM_043928269.1	720	1434	XP_043784204.1 interferon regulatory factor 2-binding protein-like B [Apis laboriosa]
AL|XP_043784205.1	AL	XP_043784205.1	LOC122710425	OG0002873	XM_043928270.1	459	1119	XP_043784205.1 inositol-tetrakisphosphate 1-kinase-like [Apis laboriosa]
AL|XP_043784206.1	AL	XP_043784206.1	LOC122710426	OG0007379	XM_043928271.1	96	279	XP_043784206.1 mitochondrial import inner membrane translocase subunit Tim9 [Apis laboriosa]
AL|XP_043784208.1	AL	XP_043784208.1	LOC122710423	OG0006975	XM_043928273.1	166	933	XP_043784208.1 26S proteasome non-ATPase regulatory subunit 14 [Apis laboriosa]
AL|XP_043784210.1	AL	XP_043784210.1	LOC122710428	OG0007245	XM_043928275.1	121	3438	XP_043784210.1 WASH complex subunit 5 isoform X1 [Apis laboriosa]
AL|XP_043784214.1	AL	XP_043784214.1	LOC122710429	OG0001571	XM_043928279.1	213	2520	XP_043784214.1 cell division cycle protein 27 homolog [Apis laboriosa]
AL|XP_043784215.1	AL	XP_043784215.1	LOC122710430	OG0007735	XM_043928280.1	30	1380	XP_043784215.1 beta-1,3-galactosyltransferase brn [Apis laboriosa]
AL|XP_043784216.1	AL	XP_043784216.1	LOC122710432	OG0004970	XM_043928281.1	159	1050	XP_043784216.1 phosphotriesterase-related protein [Apis laboriosa]
AL|XP_043784217.1	AL	XP_043784217.1	LOC122710433	OG0004950	XM_043928282.1	106	861	XP_043784217.1 uncharacterized protein LOC122710433 [Apis laboriosa]
AL|XP_043784218.1	AL	XP_043784218.1	LOC122710434	OG0009437	XM_043928283.1	164	771	XP_043784218.1 ras-related protein Rab-38-like isoform X1 [Apis laboriosa]
AL|XP_043784219.1	AL	XP_043784219.1	LOC122710431	OG0005183	XM_043928284.1	116	372	XP_043784219.1 COX assembly mitochondrial protein homolog [Apis laboriosa]
AL|XP_043784223.1	AL	XP_043784223.1	LOC122710435	OG0004971	XM_043928288.1	271	354	XP_043784223.1 Sjoegren syndrome nuclear autoantigen 1 homolog [Apis laboriosa]
AL|XP_043784224.1	AL	XP_043784224.1	LOC122710436	OG0001338	XM_043928289.1	164	2112	XP_043784224.1 amyloid-beta-like protein isoform X1 [Apis laboriosa]
AL|XP_043784228.1	AL	XP_043784228.1	LOC122710437	OG0002876	XM_043928293.1	165	828	XP_043784228.1 persulfide dioxygenase ETHE1, mitochondrial [Apis laboriosa]
AL|XP_043784229.1	AL	XP_043784229.1	LOC122710439	OG0002786	XM_043928294.1	46	1839	XP_043784229.1 peptidylprolyl isomerase domain and WD repeat-containing protein 1 isoform X1 [Apis laboriosa]
AL|XP_043784231.1	AL	XP_043784231.1	LOC122710440	OG0008938	XM_043928296.1	13	393	XP_043784231.1 sperm mitochondrial-associated cysteine-rich protein-like [Apis laboriosa]
AL|XP_043784232.1	AL	XP_043784232.1	LOC122710438	OG0005178	XM_043928297.1	0	933	XP_043784232.1 UPF0605 protein CG18335-like [Apis laboriosa]
AL|XP_043784233.1	AL	XP_043784233.1	LOC122710441	OG0004976	XM_043928298.1	186	1722	XP_043784233.1 sensory neuron membrane protein 1 isoform X1 [Apis laboriosa]
AL|XP_043784235.1	AL	XP_043784235.1	LOC122710442	OG0000378	XM_043928300.1	121	1641	XP_043784235.1 sodium channel protein Nach-like [Apis laboriosa]
AL|XP_043784236.1	AL	XP_043784236.1	LOC122710443	OG0006677	XM_043928301.1	1166	993	XP_043784236.1 cAMP-dependent protein kinase catalytic subunit PRKX isoform X1 [Apis laboriosa]
AL|XP_043784239.1	AL	XP_043784239.1	LOC122710445	OG0004974	XM_043928304.1	3	1077	XP_043784239.1 inactive hydroxysteroid dehydrogenase-like protein 1 isoform X1 [Apis laboriosa]
AL|XP_043784243.1	AL	XP_043784243.1	LOC122710447	OG0004975	XM_043928308.1	210	1023	XP_043784243.1 carbohydrate sulfotransferase 11 [Apis laboriosa]
AL|XP_043784244.1	AL	XP_043784244.1	LOC122710448	OG0004966	XM_043928309.1	1164	3162	XP_043784244.1 uncharacterized protein PF11_0213-like [Apis laboriosa]
AL|XP_043784245.1	AL	XP_043784245.1	LOC122710446	OG0005165	XM_043928310.1	2340	13809	XP_043784245.1 LOW QUALITY PROTEIN: protein split ends-like [Apis laboriosa]
AL|XP_043784246.1	AL	XP_043784246.1	LOC122710449	OG0004967	XM_043928311.1	443	1539	XP_043784246.1 zinc finger E-box-binding homeobox 1-like [Apis laboriosa]
AL|XP_043784247.1	AL	XP_043784247.1	LOC122710450	OG0007115	XM_043928312.1	437	1449	XP_043784247.1 actin-histidine N-methyltransferase [Apis laboriosa]
AL|XP_043784248.1	AL	XP_043784248.1	LOC122710451	OG0009072	XM_043928313.1	23	849	XP_043784248.1 vegetative cell wall protein gp1-like isoform X1 [Apis laboriosa]
AL|XP_043784250.1	AL	XP_043784250.1	LOC122710453	OG0000929	XM_043928315.1	180	4335	XP_043784250.1 DNA (cytosine-5)-methyltransferase PliMCI-like [Apis laboriosa]
AL|XP_043784251.1	AL	XP_043784251.1	LOC122710454	OG0008723	XM_043928316.1	158	3957	XP_043784251.1 putative uncharacterized protein DDB_G0282133 [Apis laboriosa]
AL|XP_043784255.1	AL	XP_043784255.1	LOC122710456	OG0001606	XM_043928320.1	273	2184	XP_043784255.1 striatin-3 isoform X1 [Apis laboriosa]
AL|XP_043784257.1	AL	XP_043784257.1	LOC122710455	OG0004927	XM_043928322.1	1455	3735	XP_043784257.1 uncharacterized protein LOC122710455 [Apis laboriosa]
AL|XP_043784258.1	AL	XP_043784258.1	LOC122710458	OG0000442	XM_043928323.1	200	3621	XP_043784258.1 kinesin-like protein KIF14 isoform X1 [Apis laboriosa]
AL|XP_043784260.1	AL	XP_043784260.1	LOC122710459	OG0001553	XM_043928325.1	155	1215	XP_043784260.1 protein catecholamines up [Apis laboriosa]
