species	protein	gene	reason
AL	XP_043800187.1	LOC122718876	no_exact_CDS
AL	XP_043800282.1	LOC122718934	no_exact_CDS
AL	XP_043801494.1	LOC122719609	no_exact_CDS
AL	XP_043802159.1	LOC122719941	no_exact_CDS
AL	XP_043802973.1	LOC122720372	no_exact_CDS
AL	XP_043803092.1	LOC122720430	no_exact_CDS
AL	XP_043803205.1	LOC122720507	no_exact_CDS
AL	XP_043803249.1	LOC122720540	no_exact_CDS
AL	XP_043803270.1	LOC122720552	no_exact_CDS
AL	XP_043803340.1	LOC122720608	no_exact_CDS
AL	XP_043803343.1	LOC122720612	no_exact_CDS
AL	XP_043803879.1	LOC122720863	no_exact_CDS
AL	YP_009440909.1	ND2	no_exact_CDS
AL	YP_009440910.3	COX1	no_exact_CDS
AL	YP_009440911.1	COX2	no_exact_CDS
AL	YP_009440912.1	ATP8	no_exact_CDS
AL	YP_009440913.1	ATP6	no_exact_CDS
AL	YP_009440914.1	COX3	no_exact_CDS
AL	YP_009440915.1	ND3	no_exact_CDS
AL	YP_009440916.1	ND5	no_exact_CDS
AL	YP_009440917.3	ND4	no_exact_CDS
AL	YP_009440918.1	ND4L	no_exact_CDS
AL	YP_009440919.1	ND6	no_exact_CDS
AL	YP_009440920.1	CYTB	no_exact_CDS
AL	YP_009440921.1	ND1	no_exact_CDS
AD	XP_006607541.1	LOC102676581	no_exact_CDS
AD	XP_006607768.2	LOC102671558	no_exact_CDS
AD	XP_006607816.1	LOC102679848	no_exact_CDS
AD	XP_006607919.1	LOC102680363	no_exact_CDS
AD	XP_006608454.1	LOC102681181	no_exact_CDS
AD	XP_006609759.1	LOC102672240	no_exact_CDS
AD	XP_006610922.1	LOC102676812	no_exact_CDS
AD	XP_006610975.2	LOC102673014	no_exact_CDS
AD	XP_006611448.1	LOC102677147	no_exact_CDS
AD	XP_006612020.1	LOC102681803	no_exact_CDS
AD	XP_006613865.2	LOC102671205	no_exact_CDS
AD	XP_006614496.1	LOC102676139	no_exact_CDS
AD	XP_006616405.2	LOC102676187	no_exact_CDS
AD	XP_006616511.2	LOC102679662	no_exact_CDS
AD	XP_006616543.1	LOC102672493	no_exact_CDS
AD	XP_006617065.2	LOC102671445	no_exact_CDS
AD	XP_006617411.2	LOC102673946	no_exact_CDS
AD	XP_006617557.2	LOC102681598	no_exact_CDS
AD	XP_006618074.2	LOC102679631	no_exact_CDS
AD	XP_006618507.2	LOC102679067	no_exact_CDS
AD	XP_006619508.1	LOC102672076	no_exact_CDS
AD	XP_006619686.1	LOC102672720	no_exact_CDS
AD	XP_006620256.1	LOC102677018	no_exact_CDS
AD	XP_006620344.1	LOC102676974	no_exact_CDS
AD	XP_006620950.1	LOC102676112	no_exact_CDS
AD	XP_006620963.2	LOC102677815	no_exact_CDS
AD	XP_006623225.1	LOC102673664	no_exact_CDS
AD	XP_006623692.1	LOC102676663	no_exact_CDS
AD	XP_006624030.2	LOC102672634	no_exact_CDS
AD	XP_006624133.1	LOC102673922	no_exact_CDS
AD	XP_006624415.2	LOC102675147	no_exact_CDS
AD	XP_006624539.1	LOC102679472	no_exact_CDS
AD	XP_006624719.1	LOC102679225	no_exact_CDS
AD	XP_006624804.1	LOC102679037	no_exact_CDS
AD	XP_006625112.1	LOC102673131	no_exact_CDS
AD	XP_006625219.1	LOC102676256	no_exact_CDS
AD	XP_031364072.1	LOC102674810	no_exact_CDS
AD	XP_031364191.1	LOC102672100	no_exact_CDS
AD	XP_031364218.1	LOC102671302	no_exact_CDS
AD	XP_031364232.1	LOC102676090	no_exact_CDS
AD	XP_031364305.1	LOC102679981	no_exact_CDS
AD	XP_031364492.1	LOC102671523	no_exact_CDS
AD	XP_031364538.1	LOC102674161	no_exact_CDS
AD	XP_031364542.1	LOC102681140	no_exact_CDS
AD	XP_031364754.1	LOC102678390	no_exact_CDS
AD	XP_031364842.1	LOC102674563	no_exact_CDS
AD	XP_031364860.1	LOC116185183	no_exact_CDS
AD	XP_031364932.1	LOC102681195	no_exact_CDS
AD	XP_031364993.1	LOC102677291	no_exact_CDS
AD	XP_031365360.1	LOC102679617	no_exact_CDS
AD	XP_031365422.1	LOC102671802	no_exact_CDS
AD	XP_031365503.1	LOC102676321	no_exact_CDS
AD	XP_031365508.1	LOC102672573	no_exact_CDS
AD	XP_031365533.1	LOC102678843	no_exact_CDS
AD	XP_031365540.1	LOC116185389	no_exact_CDS
AD	XP_031365616.1	LOC102673287	no_exact_CDS
AD	XP_031365712.1	LOC102679621	no_exact_CDS
AD	XP_031365800.1	LOC102679992	no_exact_CDS
AD	XP_031365807.1	LOC102671151	no_exact_CDS
AD	XP_031365813.1	LOC102679370	no_exact_CDS
AD	XP_031365815.1	LOC102679622	no_exact_CDS
AD	XP_031365829.1	LOC102672934	no_exact_CDS
AD	XP_031365843.1	LOC102677007	no_exact_CDS
AD	XP_031365877.1	LOC102673763	no_exact_CDS
AD	XP_031365880.1	LOC102673902	no_exact_CDS
AD	XP_031366114.1	LOC102680753	no_exact_CDS
AD	XP_031366248.1	LOC102670986	no_exact_CDS
AD	XP_031366287.1	LOC102680924	no_exact_CDS
AD	XP_031366576.1	LOC102672942	no_exact_CDS
AD	XP_031366747.1	LOC102675460	no_exact_CDS
AD	XP_031366774.1	LOC116185746	no_exact_CDS
AD	XP_031366846.1	LOC116185757	no_exact_CDS
AD	XP_031366860.1	LOC102670848	no_exact_CDS
AD	XP_031366981.1	LOC102672303	no_exact_CDS
AD	XP_031367012.1	LOC102679831	no_exact_CDS
AD	XP_031367063.1	LOC102679331	no_exact_CDS
AD	XP_031367126.1	LOC102674219	no_exact_CDS
AD	XP_031367292.1	LOC102679419	no_exact_CDS
AD	XP_031367365.1	LOC102673689	no_exact_CDS
AD	XP_031367626.1	LOC102671033	no_exact_CDS
AD	XP_031367721.1	LOC116185977	no_exact_CDS
AD	XP_031367891.1	LOC116186010	no_exact_CDS
AD	XP_031367984.1	LOC102679382	no_exact_CDS
AD	XP_031368090.1	LOC102675560	no_exact_CDS
AD	XP_031368145.1	LOC102676927	no_exact_CDS
AD	XP_031368175.1	LOC102677118	no_exact_CDS
AD	XP_031368203.1	LOC102677399	no_exact_CDS
AD	XP_031368276.1	LOC102671761	no_exact_CDS
AD	XP_031368577.1	LOC102676975	no_exact_CDS
AD	XP_031368581.1	LOC102678131	no_exact_CDS
AD	XP_031368615.1	LOC102679126	no_exact_CDS
AD	XP_031368705.1	LOC116186221	no_exact_CDS
AD	XP_031368886.1	LOC102674402	no_exact_CDS
AD	XP_031368935.1	LOC102681912	no_exact_CDS
AD	XP_031368938.1	LOC102681775	no_exact_CDS
AD	XP_031368991.1	LOC102677222	no_exact_CDS
AD	XP_031369160.1	LOC102674049	no_exact_CDS
AD	XP_031369201.1	LOC102676793	no_exact_CDS
AD	XP_031369243.1	LOC102673779	no_exact_CDS
AD	XP_031369377.1	LOC102679466	no_exact_CDS
AD	XP_031369380.1	LOC102671041	no_exact_CDS
AD	XP_031369875.1	LOC102679970	no_exact_CDS
AD	XP_031369877.1	LOC102680098	no_exact_CDS
AD	XP_031369964.1	LOC102676662	no_exact_CDS
AD	XP_031370086.1	LOC102677866	no_exact_CDS
AD	XP_031370095.1	LOC102675383	no_exact_CDS
AD	XP_031370316.1	LOC102679560	no_exact_CDS
AD	XP_031370381.1	LOC116186625	no_exact_CDS
AD	XP_031370529.1	LOC102673635	no_exact_CDS
AD	XP_031370554.1	LOC102679678	no_exact_CDS
AD	XP_031370696.1	LOC102681713	no_exact_CDS
AD	XP_031370700.1	LOC102681268	no_exact_CDS
AD	XP_031370731.1	LOC116186698	no_exact_CDS
AD	XP_031370748.1	LOC116186714	no_exact_CDS
AD	XP_031370749.1	LOC116186719	no_exact_CDS
AD	XP_031370819.1	LOC102673183	no_exact_CDS
AD	XP_031370944.1	LOC102675152	no_exact_CDS
AD	XP_031370999.1	LOC102677186	no_exact_CDS
AD	XP_031371030.1	LOC116186804	no_exact_CDS
AD	XP_031371237.1	LOC102681012	no_exact_CDS
AD	XP_031371270.1	LOC102674599	no_exact_CDS
AD	XP_031371286.1	LOC102674724	no_exact_CDS
AD	XP_031371300.1	LOC102672691	no_exact_CDS
