sample	read_id	orthogroup	best_reference	score	target_start	target_end	matched_bases	aligned_bases
AL	SRR9034695.28841	OG0001109	AL|XP_043794209.1	222	7	157	142	150
AL	SRR9034695.29462	OG0001109	AL|XP_043794209.1	300	132	282	150	150
AL	SRR9034695.29646	OG0001109	AL|XP_043794209.1	300	53	203	150	150
AL	SRR9034695.31690	OG0001109	AL|XP_043794209.1	300	79	229	150	150
AL	SRR9034695.32389	OG0001109	AL|XP_043794209.1	300	79	229	150	150
AL	SRR9034695.33475	OG0001109	AL|XP_043794209.1	300	18	168	150	150
AL	SRR9034695.33718	OG0001109	AL|XP_043794209.1	276	165	303	138	138
AL	SRR9034695.34569	OG0001109	AL|XP_043794209.1	300	18	168	150	150
AL	SRR9034695.34713	OG0001109	AL|XP_043794209.1	276	6	156	147	150
AL	SRR9034695.35035	OG0001109	AL|XP_043794209.1	290	158	303	145	145
AL	SRR9034695.35205	OG0001109	AL|XP_043794209.1	280	163	303	140	140
AL	SRR9034695.35853	OG0001109	AL|XP_043794209.1	300	53	203	150	150
AL	SRR9034695.36272	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.36854	OG0001109	AL|XP_043794209.1	246	93	243	144	150
AL	SRR9034695.37308	OG0001109	AL|XP_043794209.1	290	107	257	149	150
AL	SRR9034695.38065	OG0001109	AL|XP_043794209.1	300	31	181	150	150
AL	SRR9034695.40959	OG0001109	AL|XP_043794209.1	236	180	303	122	123
AL	SRR9034695.41679	OG0001109	AL|XP_043794209.1	300	59	209	150	150
AL	SRR9034695.42725	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.42898	OG0001109	AL|XP_043794209.1	300	21	171	150	150
AL	SRR9034695.43010	OG0001109	AL|XP_043794209.1	300	94	244	150	150
AL	SRR9034695.44488	OG0001109	AL|XP_043794209.1	276	165	303	138	138
AL	SRR9034695.46663	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.47417	OG0001109	AL|XP_043794209.1	300	93	243	150	150
AL	SRR9034695.47471	OG0001109	AL|XP_043794209.1	300	89	239	150	150
AL	SRR9034695.48930	OG0001109	AL|XP_043794209.1	256	175	303	128	128
AL	SRR9034695.49725	OG0001109	AL|XP_043794209.1	300	126	276	150	150
AL	SRR9034695.50129	OG0001109	AL|XP_043794209.1	290	126	276	149	150
AL	SRR9034695.51414	OG0001109	AL|XP_043794209.1	208	0	146	137	146
AL	SRR9034695.52209	OG0001109	AL|XP_043794209.1	292	121	271	149	150
AL	SRR9034695.53284	OG0001109	AL|XP_043794209.1	278	0	139	139	139
AL	SRR9034695.53803	OG0001109	AL|XP_043794209.1	256	29	179	145	150
AL	SRR9034695.54194	OG0001109	AL|XP_043794209.1	300	126	276	150	150
AL	SRR9034695.54890	OG0001109	AL|XP_043794209.1	274	0	146	144	146
AL	SRR9034695.57223	OG0001109	AL|XP_043794209.1	262	52	198	143	146
AL	SRR9034695.57656	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.57879	OG0001109	AL|XP_043794209.1	258	174	303	129	129
AL	SRR9034695.58117	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.58647	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.59355	OG0001109	AL|XP_043794209.1	286	66	216	148	150
AL	SRR9034695.60656	OG0001109	AL|XP_043794209.1	266	165	303	137	138
AL	SRR9034695.60762	OG0001109	AL|XP_043794209.1	300	94	244	150	150
AL	SRR9034695.61681	OG0001109	AL|XP_043794209.1	276	0	138	138	138
AL	SRR9034695.61689	OG0001109	AL|XP_043794209.1	266	0	138	137	138
AL	SRR9034695.62578	OG0001109	AL|XP_043794209.1	300	121	271	150	150
AL	SRR9034695.62720	OG0001109	AL|XP_043794209.1	290	6	156	149	150
AL	SRR9034695.63379	OG0001109	AL|XP_043794209.1	290	142	292	149	150
AL	SRR9034695.64171	OG0001109	AL|XP_043794209.1	292	157	303	146	146
AL	SRR9034695.64527	OG0001109	AL|XP_043794209.1	296	0	148	148	148
AL	SRR9034695.65666	OG0001109	AL|XP_043794209.1	290	93	243	149	150
AL	SRR9034695.66077	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.66424	OG0001109	AL|XP_043794209.1	280	118	268	148	150
AL	SRR9034695.66632	OG0001109	AL|XP_043794209.1	300	93	243	150	150
AL	SRR9034695.67945	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.68267	OG0001109	AL|XP_043794209.1	272	101	251	147	150
AL	SRR9034695.70113	OG0001109	AL|XP_043794209.1	272	0	141	140	141
AL	SRR9034695.70318	OG0001109	AL|XP_043794209.1	300	94	244	150	150
AL	SRR9034695.70410	OG0001109	AL|XP_043794209.1	290	84	234	149	150
AL	SRR9034695.72403	OG0001109	AL|XP_043794209.1	300	18	168	150	150
AL	SRR9034695.73768	OG0001109	AL|XP_043794209.1	290	125	275	149	150
AL	SRR9034695.73959	OG0001109	AL|XP_043794209.1	300	64	214	150	150
AL	SRR9034695.74748	OG0001109	AL|XP_043794209.1	300	18	168	150	150
AL	SRR9034695.75379	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.75550	OG0001109	AL|XP_043794209.1	300	112	262	150	150
AL	SRR9034695.76845	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.77087	OG0001109	AL|XP_043794209.1	296	145	295	149	150
AL	SRR9034695.77638	OG0001109	AL|XP_043794209.1	264	171	303	132	132
AL	SRR9034695.78373	OG0001109	AL|XP_043794209.1	290	119	269	149	150
AL	SRR9034695.79004	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.80032	OG0001109	AL|XP_043794209.1	282	111	261	148	150
AL	SRR9034695.81410	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.82306	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.82421	OG0001109	AL|XP_043794209.1	300	115	265	150	150
AL	SRR9034695.82611	OG0001109	AL|XP_043794209.1	300	37	187	150	150
AL	SRR9034695.84534	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.84699	OG0001109	AL|XP_043794209.1	242	0	141	137	141
AL	SRR9034695.91027	OG0001109	AL|XP_043794209.1	300	34	184	150	150
AL	SRR9034695.91746	OG0001109	AL|XP_043794209.1	300	6	156	150	150
AL	SRR9034695.92155	OG0001109	AL|XP_043794209.1	296	0	148	148	148
AL	SRR9034695.93759	OG0001109	AL|XP_043794209.1	266	0	133	133	133
AL	SRR9034695.93863	OG0001109	AL|XP_043794209.1	300	150	300	150	150
AL	SRR9034695.94557	OG0001109	AL|XP_043794209.1	300	142	292	150	150
AL	SRR9034695.94851	OG0001109	AL|XP_043794209.1	300	43	193	150	150
AL	SRR9034695.95799	OG0001109	AL|XP_043794209.1	300	87	237	150	150
AL	SRR9034695.96073	OG0001109	AL|XP_043794209.1	300	93	243	150	150
AL	SRR9034695.96461	OG0001109	AL|XP_043794209.1	300	63	213	150	150
AL	SRR9034695.96857	OG0001109	AL|XP_043794209.1	300	153	303	150	150
AL	SRR9034695.96977	OG0001109	AL|XP_043794209.1	240	183	303	120	120
AL	SRR9034695.97101	OG0001109	AL|XP_043794209.1	246	0	138	135	138
AL	SRR9034695.97992	OG0001109	AL|XP_043794209.1	290	1	151	149	150
AL	SRR9034695.99477	OG0001109	AL|XP_043794209.1	286	158	303	144	145
AL	SRR9034695.100259	OG0001109	AL|XP_043794209.1	300	84	234	150	150
AL	SRR9034695.101452	OG0001109	AL|XP_043794209.1	300	82	232	150	150
AL	SRR9034695.102825	OG0001109	AL|XP_043794209.1	300	117	267	150	150
AL	SRR9034695.103141	OG0001109	AL|XP_043794209.1	300	18	168	150	150
AL	SRR9034695.103666	OG0001109	AL|XP_043794209.1	290	2	152	149	150
AL	SRR9034695.104911	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.104940	OG0001109	AL|XP_043794209.1	292	0	146	146	146
AL	SRR9034695.105191	OG0001109	AL|XP_043794209.1	300	84	234	150	150
AL	SRR9034695.105249	OG0001109	AL|XP_043794209.1	300	32	182	150	150
AL	SRR9034695.106730	OG0001109	AL|XP_043794209.1	244	181	303	122	122
AL	SRR9034695.107149	OG0001109	AL|XP_043794209.1	300	6	156	150	150
AL	SRR9034695.108016	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.109509	OG0001109	AL|XP_043794209.1	254	0	127	127	127
AL	SRR9034695.109587	OG0001109	AL|XP_043794209.1	242	182	303	121	121
AL	SRR9034695.109638	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.109715	OG0001109	AL|XP_043794209.1	270	0	145	143	145
AL	SRR9034695.110142	OG0001109	AL|XP_043794209.1	300	82	232	150	150
AL	SRR9034695.110613	OG0001109	AL|XP_043794209.1	300	105	255	150	150
AL	SRR9034695.110998	OG0001109	AL|XP_043794209.1	300	94	244	150	150
AL	SRR9034695.111319	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.111325	OG0001109	AL|XP_043794209.1	290	6	156	149	150
AL	SRR9034695.111497	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.112917	OG0001109	AL|XP_043794209.1	290	1	151	149	150
AL	SRR9034695.113248	OG0001109	AL|XP_043794209.1	290	12	162	149	150
AL	SRR9034695.115711	OG0001109	AL|XP_043794209.1	290	150	300	149	150
AL	SRR9034695.115805	OG0001109	AL|XP_043794209.1	256	175	303	128	128
AL	SRR9034695.116206	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.117011	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.117513	OG0001109	AL|XP_043794209.1	290	60	210	149	150
AL	SRR9034695.117771	OG0001109	AL|XP_043794209.1	300	132	282	150	150
AL	SRR9034695.117774	OG0001109	AL|XP_043794209.1	268	0	134	134	134
AL	SRR9034695.117868	OG0001109	AL|XP_043794209.1	300	18	168	150	150
AL	SRR9034695.118297	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.119864	OG0001109	AL|XP_043794209.1	300	18	168	150	150
AL	SRR9034695.120160	OG0001109	AL|XP_043794209.1	300	145	295	150	150
AL	SRR9034695.120295	OG0001109	AL|XP_043794209.1	300	145	295	150	150
AL	SRR9034695.120516	OG0001109	AL|XP_043794209.1	300	17	167	150	150
AL	SRR9034695.120590	OG0001109	AL|XP_043794209.1	292	157	303	146	146
AL	SRR9034695.120896	OG0001109	AL|XP_043794209.1	296	0	148	148	148
AL	SRR9034695.121342	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.121966	OG0001109	AL|XP_043794209.1	300	2	152	150	150
AL	SRR9034695.122739	OG0001109	AL|XP_043794209.1	300	126	276	150	150
AL	SRR9034695.125546	OG0001109	AL|XP_043794209.1	300	60	210	150	150
AL	SRR9034695.125594	OG0001109	AL|XP_043794209.1	300	60	210	150	150
AL	SRR9034695.125788	OG0001109	AL|XP_043794209.1	300	66	216	150	150
AL	SRR9034695.126483	OG0001109	AL|XP_043794209.1	292	52	202	149	150
AL	SRR9034695.127277	OG0001109	AL|XP_043794209.1	276	165	303	138	138
AL	SRR9034695.127278	OG0001109	AL|XP_043794209.1	276	165	303	138	138
AL	SRR9034695.127608	OG0001109	AL|XP_043794209.1	240	183	303	120	120
AL	SRR9034695.127885	OG0001109	AL|XP_043794209.1	292	0	146	146	146
AL	SRR9034695.130074	OG0001109	AL|XP_043794209.1	282	0	146	145	146
AL	SRR9034695.132221	OG0001109	AL|XP_043794209.1	300	150	300	150	150
AL	SRR9034695.134362	OG0001109	AL|XP_043794209.1	290	23	173	149	150
AL	SRR9034695.134599	OG0001109	AL|XP_043794209.1	300	87	237	150	150
AL	SRR9034695.134715	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.134798	OG0001109	AL|XP_043794209.1	298	0	149	149	149
AL	SRR9034695.134864	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.136290	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.136293	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.136294	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.137221	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.137575	OG0001109	AL|XP_043794209.1	290	2	152	149	150
AL	SRR9034695.137815	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.138183	OG0001109	AL|XP_043794209.1	300	16	166	150	150
AL	SRR9034695.138254	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.139074	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.139076	OG0001109	AL|XP_043794209.1	300	53	203	150	150
AL	SRR9034695.139358	OG0001109	AL|XP_043794209.1	300	121	271	150	150
AL	SRR9034695.141335	OG0001109	AL|XP_043794209.1	266	170	303	133	133
AL	SRR9034695.142518	OG0001109	AL|XP_043794209.1	300	2	152	150	150
AL	SRR9034695.143068	OG0001109	AL|XP_043794209.1	290	121	271	149	150
AL	SRR9034695.143228	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.143495	OG0001109	AL|XP_043794209.1	300	126	276	150	150
AL	SRR9034695.143523	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.143938	OG0001109	AL|XP_043794209.1	300	53	203	150	150
AL	SRR9034695.143986	OG0001109	AL|XP_043794209.1	276	165	303	138	138
AL	SRR9034695.144201	OG0001109	AL|XP_043794209.1	300	66	216	150	150
AL	SRR9034695.144342	OG0001109	AL|XP_043794209.1	300	54	204	150	150
AL	SRR9034695.144445	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.144722	OG0001109	AL|XP_043794209.1	300	0	150	150	150
AL	SRR9034695.144796	OG0001109	AL|XP_043794209.1	300	68	218	150	150
AL	SRR9034695.145437	OG0001109	AL|XP_043794209.1	300	126	276	150	150
AL	SRR9034695.147047	OG0001109	AL|XP_043794209.1	300	2	152	150	150
AL	SRR9034695.147062	OG0001109	AL|XP_043794209.1	300	148	298	150	150
AL	SRR9034695.147098	OG0001109	AL|XP_043794209.1	300	79	229	150	150
AL	SRR9034695.148481	OG0001109	AL|XP_043794209.1	292	0	146	146	146
AL	SRR9034695.148873	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.148970	OG0001109	AL|XP_043794209.1	230	0	120	119	120
AL	SRR9034695.148986	OG0001109	AL|XP_043794209.1	300	121	271	150	150
AL	SRR9034695.149475	OG0001109	AL|XP_043794209.1	286	0	148	147	148
AL	SRR9034695.149691	OG0001109	AL|XP_043794209.1	300	17	167	150	150
AL	SRR9034695.149994	OG0001109	AL|XP_043794209.1	300	88	238	150	150
AL	SRR9034695.150160	OG0001109	AL|XP_043794209.1	300	121	271	150	150
AL	SRR9034695.150192	OG0001109	AL|XP_043794209.1	278	0	139	139	139
AL	SRR9034695.150219	OG0001109	AL|XP_043794209.1	300	122	272	150	150
AL	SRR9034695.152904	OG0001109	AL|XP_043794209.1	300	37	187	150	150
AL	SRR9034695.152905	OG0001109	AL|XP_043794209.1	300	37	187	150	150
AL	SRR9034695.153196	OG0001109	AL|XP_043794209.1	296	53	201	148	148
AL	SRR9034695.153903	OG0001109	AL|XP_043794209.1	290	6	156	149	150
AL	SRR9034695.154087	OG0001109	AL|XP_043794209.1	250	178	303	125	125
AL	SRR9034695.154917	OG0001109	AL|XP_043794209.1	300	113	263	150	150
AL	SRR9034695.155117	OG0001109	AL|XP_043794209.1	300	89	239	150	150
AL	SRR9034695.155439	OG0001109	AL|XP_043794209.1	300	8	158	150	150
AL	SRR9034695.155703	OG0001109	AL|XP_043794209.1	292	157	303	146	146
AL	SRR9034695.155768	OG0001109	AL|XP_043794209.1	300	52	202	150	150
AL	SRR9034695.155889	OG0001109	AL|XP_043794209.1	290	158	303	145	145
AL	SRR9034695.157551	OG0001109	AL|XP_043794209.1	264	0	147	144	147
AL	SRR9034695.157732	OG0001109	AL|XP_043794209.1	300	2	152	150	150
AL	SRR9034695.157792	OG0001109	AL|XP_043794209.1	300	67	217	150	150
AL	SRR9034695.158024	OG0001109	AL|XP_043794209.1	290	158	303	145	145
AL	SRR9034695.158321	OG0001109	AL|XP_043794209.1	282	0	146	145	146
AL	SRR9034695.159426	OG0001109	AL|XP_043794209.1	290	112	262	149	150
AL	SRR9034695.159454	OG0001109	AL|XP_043794209.1	256	170	303	132	133
AL	SRR9034695.159595	OG0001109	AL|XP_043794209.1	300	76	226	150	150
AL	SRR9034695.160287	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.162041	OG0001109	AL|XP_043794209.1	288	0	144	144	144
AL	SRR9034695.162155	OG0001109	AL|XP_043794209.1	288	0	144	144	144
AL	SRR9034695.162479	OG0001109	AL|XP_043794209.1	292	157	303	146	146
AL	SRR9034695.163354	OG0001109	AL|XP_043794209.1	290	103	253	149	150
AL	SRR9034695.165168	OG0001109	AL|XP_043794209.1	300	91	241	150	150
AL	SRR9034695.165210	OG0001109	AL|XP_043794209.1	300	89	239	150	150
AL	SRR9034695.166112	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.167275	OG0001109	AL|XP_043794209.1	300	4	154	150	150
AL	SRR9034695.167973	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.168148	OG0001109	AL|XP_043794209.1	296	0	148	148	148
AL	SRR9034695.168283	OG0001109	AL|XP_043794209.1	280	158	303	144	145
AL	SRR9034695.168608	OG0001109	AL|XP_043794209.1	288	108	252	144	144
AL	SRR9034695.168861	OG0001109	AL|XP_043794209.1	268	0	139	138	139
AL	SRR9034695.168923	OG0001109	AL|XP_043794209.1	300	145	295	150	150
AL	SRR9034695.170223	OG0001109	AL|XP_043794209.1	300	99	249	150	150
AL	SRR9034695.170310	OG0001109	AL|XP_043794209.1	256	175	303	128	128
AL	SRR9034695.170561	OG0001109	AL|XP_043794209.1	244	181	303	122	122
AL	SRR9034695.171846	OG0001109	AL|XP_043794209.1	300	99	249	150	150
AL	SRR9034695.173092	OG0001109	AL|XP_043794209.1	260	14	164	146	150
AL	SRR9034695.173307	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.174009	OG0001109	AL|XP_043794209.1	290	7	157	149	150
AL	SRR9034695.174668	OG0001109	AL|XP_043794209.1	264	0	132	132	132
AL	SRR9034695.175011	OG0001109	AL|XP_043794209.1	256	175	303	128	128
AL	SRR9034695.177277	OG0001109	AL|XP_043794209.1	300	47	197	150	150
AL	SRR9034695.177292	OG0001109	AL|XP_043794209.1	300	124	274	150	150
AL	SRR9034695.177687	OG0001109	AL|XP_043794209.1	254	0	127	127	127
AL	SRR9034695.183724	OG0001109	AL|XP_043794209.1	300	73	223	150	150
AL	SRR9034695.184326	OG0001109	AL|XP_043794209.1	300	110	260	150	150
AL	SRR9034695.184358	OG0001109	AL|XP_043794209.1	300	153	303	150	150
AL	SRR9034695.186020	OG0001109	AL|XP_043794209.1	292	157	303	146	146
AL	SRR9034695.186095	OG0001109	AL|XP_043794209.1	290	158	303	145	145
AL	SRR9034695.186163	OG0001109	AL|XP_043794209.1	292	157	303	146	146
AL	SRR9034695.186394	OG0001109	AL|XP_043794209.1	300	33	183	150	150
AL	SRR9034695.186553	OG0001109	AL|XP_043794209.1	282	0	146	145	146
AL	SRR9034695.187304	OG0001109	AL|XP_043794209.1	300	60	210	150	150
AL	SRR9034695.187693	OG0001109	AL|XP_043794209.1	300	11	161	150	150
AL	SRR9034695.189753	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.190246	OG0001109	AL|XP_043794209.1	300	121	271	150	150
AL	SRR9034695.190538	OG0001109	AL|XP_043794209.1	276	0	138	138	138
AL	SRR9034695.191950	OG0001109	AL|XP_043794209.1	296	0	148	148	148
AL	SRR9034695.191951	OG0001109	AL|XP_043794209.1	296	0	148	148	148
AL	SRR9034695.192095	OG0001109	AL|XP_043794209.1	296	0	148	148	148
AL	SRR9034695.192914	OG0001109	AL|XP_043794209.1	300	148	298	150	150
AL	SRR9034695.193792	OG0001109	AL|XP_043794209.1	290	7	157	149	150
AL	SRR9034695.193953	OG0001109	AL|XP_043794209.1	300	28	178	150	150
AL	SRR9034695.194126	OG0001109	AL|XP_043794209.1	300	137	287	150	150
AL	SRR9034695.194768	OG0001109	AL|XP_043794209.1	266	0	138	137	138
AL	SRR9034695.197932	OG0001109	AL|XP_043794209.1	300	126	276	150	150
AL	SRR9034695.198020	OG0001109	AL|XP_043794209.1	290	110	260	149	150
AL	SRR9034695.199091	OG0001109	AL|XP_043794209.1	300	110	260	150	150
AL	SRR9034695.199869	OG0001109	AL|XP_043794209.1	300	126	276	150	150
AL	SRR9034695.200275	OG0001109	AL|XP_043794209.1	240	183	303	120	120
AL	SRR9034695.200809	OG0001109	AL|XP_043794209.1	272	0	146	144	146
AL	SRR9034695.201032	OG0001109	AL|XP_043794209.1	284	0	142	142	142
AL	SRR9034695.201073	OG0001109	AL|XP_043794209.1	270	92	242	147	150
AL	SRR9034695.201292	OG0001109	AL|XP_043794209.1	284	161	303	142	142
AL	SRR9034695.201371	OG0001109	AL|XP_043794209.1	300	23	173	150	150
AL	SRR9034695.201855	OG0001109	AL|XP_043794209.1	276	165	303	138	138
AL	SRR9034695.202606	OG0001109	AL|XP_043794209.1	272	157	303	144	146
AL	SRR9034695.203228	OG0001109	AL|XP_043794209.1	240	183	303	120	120
AL	SRR9034695.205811	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.205989	OG0001109	AL|XP_043794209.1	296	155	303	148	148
AL	SRR9034695.206227	OG0001109	AL|XP_043794209.1	300	110	260	150	150
AL	SRR9034695.206418	OG0001109	AL|XP_043794209.1	280	116	266	148	150
AL	SRR9034695.207351	OG0001109	AL|XP_043794209.1	300	116	266	150	150
AL	SRR9034695.208785	OG0001109	AL|XP_043794209.1	274	166	303	137	137
AL	SRR9034695.209023	OG0001109	AL|XP_043794209.1	296	155	303	148	148
AL	SRR9034695.210243	OG0001109	AL|XP_043794209.1	292	0	146	146	146
AL	SRR9034695.211596	OG0001109	AL|XP_043794209.1	300	124	274	150	150
AL	SRR9034695.212710	OG0001109	AL|XP_043794209.1	246	180	303	123	123
AL	SRR9034695.212942	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.214026	OG0001109	AL|XP_043794209.1	300	1	151	150	150
AL	SRR9034695.216055	OG0001109	AL|XP_043794209.1	300	1	151	150	150
AL	SRR9034695.216389	OG0001109	AL|XP_043794209.1	270	41	181	139	140
AL	SRR9034695.216686	OG0001109	AL|XP_043794209.1	280	41	181	140	140
AL	SRR9034695.216880	OG0001109	AL|XP_043794209.1	288	159	303	144	144
AL	SRR9034695.217515	OG0001109	AL|XP_043794209.1	300	19	169	150	150
AL	SRR9034695.217948	OG0001109	AL|XP_043794209.1	300	33	183	150	150
AL	SRR9034695.219113	OG0001109	AL|XP_043794209.1	266	0	138	137	138
AL	SRR9034695.220389	OG0001109	AL|XP_043794209.1	292	0	146	146	146
AL	SRR9034695.222521	OG0001109	AL|XP_043794209.1	276	0	138	138	138
AL	SRR9034695.222715	OG0001109	AL|XP_043794209.1	300	128	278	150	150
AL	SRR9034695.222917	OG0001109	AL|XP_043794209.1	300	119	269	150	150
AL	SRR9034695.223312	OG0001109	AL|XP_043794209.1	278	0	139	139	139
AL	SRR9034695.223668	OG0001109	AL|XP_043794209.1	288	159	303	144	144
AL	SRR9034695.223850	OG0001109	AL|XP_043794209.1	250	178	303	125	125
AL	SRR9034695.224085	OG0001109	AL|XP_043794209.1	300	128	278	150	150
AL	SRR9034695.224360	OG0001109	AL|XP_043794209.1	284	161	303	142	142
AL	SRR9034695.224623	OG0001109	AL|XP_043794209.1	284	161	303	142	142
