query_species	reference_species	unigene	group	gene	transcript	product	score	identity	query_coverage	aligned_nt	query_start	query_end	target_start	target_end	target_length	runner_up_score	unique_group	count	fpkm	tpm_submitted	tpm_length	length
AL	AL	AL|c101150_g1	OG0006061	LOC122720082	XM_043946546.1	protein FAM151B, transcript variant X2	408	1.0	1.0	408	0	408	1468	1876	2397	0	True	574.0	59.72	62.38197746648488	37.45385951670195	408
AL	AL	AL|c101153_g1	OG0000359	LOC122713273	XM_043933570.1	longitudinals lacking protein, transcript variant X26	359	1.0	0.8387850467289719	359	69	428	1257	1616	1616	0	True	7.0	0.64	0.6685275548986993	0.4354107215299291	428
AL	AL	AL|c101167_g1	OG0008718	LOC122715994	XM_043938663.1	laminin subunit alpha-1, transcript variant X2	263	1.0	1.0	263	0	263	420	683	9782	0	True	1.0	0.7	0.7312020131704523	0.10122530625464947	263
AL	AL	AL|c101192_g1	OG0009459	LOC122711547	XM_043930428.1	uncharacterized LOC122711547, transcript variant X3	799	1.0	1.0	799	0	799	3263	4062	4288	0	True	446.0	12.67	13.234756438385189	14.860483070160042	799
AL	AL	AL|c101207_g1	OG0000162	LOC122715638	XM_043937978.1	odorant receptor 13a-like	277	1.0	0.9584775086505191	277	0	277	447	724	1236	0	True	4.0	1.59	1.6608731442014562	0.3684741251899351	289
AL	AL	AL|c10125_g1	OG0002603	LOC122716386	XM_043939405.1	uncharacterized LOC122716386, transcript variant X1	704	0.9986187845303868	0.8098434004474273	724	69	793	0	724	724	0	True	348.0	8.4	8.774424158045429	10.36302564837868	894
AL	AL	AL|c101350_g1	OG0007269	LOC122721038	XM_043948235.1	synapsin, transcript variant X2	283	1.0	0.9964788732394366	283	0	283	3416	3699	12024	0	True	30.0	13.14	13.725706361513922	2.8122100927788183	284
AL	AL	AL|c101442_g1	OG0004190	LOC122711104	XM_043929546.1	uncharacterized LOC122711104, transcript variant X6	342	0.9849137931034483	0.9914529914529915	464	0	464	877	1335	1772	0	True	13.0	0.96	1.002791332348049	0.7395070984714669	468
AL	AL	AL|c101541_g1	OG0008748	LOC122712005	XM_043931278.1	transcriptional coactivator YAP1	305	1.0	0.953125	305	0	305	5415	5720	5720	0	True	163.0	39.41	41.16667334149647	13.560711418220526	320
AL	AL	AL|c101698_g1	OG0003852	LOC122714830	XM_043936523.1	uncharacterized LOC122714830	673	1.0	0.9386331938633193	673	44	717	3156	3829	3829	0	True	86.0	2.88	3.008373997044147	3.1931854628558742	717
AL	AL	AL|c101727_g1	OG0000433	LOC122712328	XM_043931885.1	uncharacterized LOC122712328	452	1.0	1.0	452	0	452	23248	23700	54473	0	True	9.0	0.72	0.7520934992610367	0.530089159081317	452
AL	AL	AL|c101735_g1	OG0003976	LOC122710796	XM_043928909.1	uncharacterized LOC122710796	735	1.0	0.9423076923076923	735	0	735	0	735	2655	0	True	16.0	0.47	0.49094992312873237	0.546097549640468	780
AL	AL	AL|c101761_g1	OG0005765	LOC122717780	XM_043942172.1	RNA-binding protein NOB1	859	1.0	0.9544444444444444	859	41	900	0	859	1651	0	True	424.0	10.14	10.59198344792627	12.54204039007608	900
AL	AL	AL|c101787_g1	OG0009579	LOC122715184	XM_043937149.1	uncharacterized LOC122715184	287	1.0	0.8592814371257484	287	0	287	1140	1427	2235	0	True	1.0	0.2	0.20891486090584357	0.07970735193105632	334
AL	AL	AL|c101836_g1	OG0000007	LOC122719626	XM_043945590.1	pancreatic triacylglycerol lipase-like	418	1.0	1.0	418	0	418	180	598	1905	0	True	127.0	12.38	12.931829890071716	8.088580033998916	418
AL	AL	AL|c101841_g1	OG0004572	LOC122711273	XM_043929868.1	uncharacterized LOC122711273	577	1.0	0.9043887147335423	577	61	638	0	577	874	0	True	13.0	0.53	0.5536243814004854	0.542459752483772	638
AL	AL	AL|c101852_g1	OG0000457	LOC122720585	XM_043947375.1	odorant receptor 22c-like	220	0.9923076923076923	0.931899641577061	260	19	279	9	269	1242	0	True	1.0	0.48	0.5013956661740245	0.09542027077051186	279
AL	AL	AL|c101863_g1	OG0002267	LOC122711929	XM_043931122.1	dynein axonemal assembly factor 4-like	398	1.0	0.9754901960784313	398	0	398	21	419	1627	0	True	7.0	0.73	0.7625392423063289	0.45675438435002375	408
AL	AL	AL|c101874_g1	OG0000821	LOC122719859	XM_043946077.1	uncharacterized LOC122719859	201	1.0	1.0	201	0	201	3455	3656	9939	0	True	0.0	0.0	0.0	0.0	201
AL	AL	AL|c101908_g1	OG0000108	LOC122710741	XM_043928783.1	sentrin-specific protease 7-like	282	1.0	1.0	282	0	282	1551	1833	3585	0	True	2.0	0.91	0.9505626171215882	0.18881032301399156	282
AL	AL	AL|c101931_g1	OG0000818	LOC122720787	XM_043947763.1	cadherin-related tumor suppressor	270	1.0	1.0	270	0	270	8017	8287	16050	0	True	2.0	1.18	1.2325976793444768	0.19720189292572454	270
AL	AL	AL|c101974_g1	OG0002912	LOC122711103	XM_043929539.1	growth/differentiation factor 8-like	359	0.9973614775725593	1.0	379	0	379	2499	2878	3754	0	True	9.0	1.16	1.2117061932538926	0.6321907649201987	379
AL	AL	AL|c102003_g1	OG0009068	LOC122711031	XM_043929426.1	cAMP-regulated phosphoprotein 21, transcript variant X15	481	0.998003992015968	0.9920792079207921	501	4	505	5645	6146	7382	0	True	115.0	7.21	7.53138073565566	6.0624938369740065	505
AL	AL	AL|c102017_g1	OG0008746	LOC122717407	XM_043941447.1	ubinuclein-1	632	1.0	0.9859594383775351	632	9	641	0	632	4605	0	True	225.0	9.06	9.463843199034713	9.344785487704964	641
AL	AL	AL|c10203_g1	OG0008968	LOC122716727	XM_043940076.1	protein lethal(2)essential for life-like	1133	1.0	0.9144471347861178	1133	31	1164	0	1133	1133	0	True	26777.0	418.4	437.0498890150247	575.3544283516844	1239
AL	AL	AL|c10204_g1	OG0007065	LOC122716097	XM_043938850.1	secretory carrier-associated membrane protein 5B, transcript variant X3	404	1.0	0.8	404	101	505	1200	1604	1812	0	True	616.0	51.63	53.93137134284351	32.47388003109555	505
AL	AL	AL|c102076_g1	OG0000840	LOC122718877	XM_043944253.1	A disintegrin and metalloproteinase with thrombospondin motifs 12-like	360	1.0	1.0	360	0	360	130	490	3460	0	True	4.0	0.61	0.6371903257628228	0.2958028393885868	360
AL	AL	AL|c102116_g1	OG0000660	LOC122716058	XM_043938761.1	metabotropic glutamate receptor 2-like, transcript variant X1	322	1.0	1.0	322	0	322	3174	3496	8637	0	True	3.0	0.71	0.7416477562157445	0.2480334367544051	322
AL	AL	AL|c102143_g1	OG0005170	LOC122716307	XM_043939241.1	protein takeout-like	246	1.0	0.9077490774907749	246	25	271	519	765	765	0	True	2.0	1.15	1.2012604502086002	0.19647421066400597	271
AL	AL	AL|c102162_g1	OG0000989	LOC122713117	XM_043933271.1	pro-resilin	275	1.0	1.0	275	0	275	1052	1327	1347	0	True	1.0	0.53	0.5536243814004854	0.09680820198171931	275
AL	AL	AL|c102221_g1	OG0007140	LOC122712639	XM_043932440.1	NAD-dependent protein deacetylase Sirt6	245	1.0	0.9839357429718876	245	0	245	2558	2803	2803	0	True	24.0	24.35	25.435384315286452	2.566000534455211	249
AL	AL	AL|c102239_g1	OG0008151	LOC122714486	XM_043935851.1	muscarinic acetylcholine receptor gar-2	275	1.0	0.9105960264900662	275	0	275	2488	2763	2763	0	True	2.0	0.63	0.6580818118534072	0.1763063281124027	302
AL	AL	AL|c102240_g1	OG0006835	LOC122719654	XM_043945722.1	RIMS-binding protein 2, transcript variant X9	535	1.0	1.0	535	0	535	888	1423	6218	0	True	82.0	4.58	4.784150314743818	4.080420476051908	535
AL	AL	AL|c102277_g1	OG0005949	LOC122716309	XM_043939245.1	circadian clock-controlled protein daywake-like	461	1.0	0.8600746268656716	461	75	536	514	975	975	0	True	8.0	0.45	0.470058437038148	0.39734709768616133	536
AL	AL	AL|c102311_g1	OG0004570	LOC122711205	XM_043929746.1	U-scoloptoxin(01)-Er1a, transcript variant X3	472	1.0	0.8208695652173913	472	103	575	0	472	1130	0	True	20.0	0.97	1.013237075393341	0.9259914972164456	575
AL	AL	AL|c10231_g1	OG0005833	LOC122712118	XM_043931494.1	uncharacterized LOC122712118	882	0.9988913525498891	1.0	902	0	902	606	1508	1508	0	True	14.0	0.33	0.3447095204946419	0.41320574016587513	902
AL	AL	AL|c102334_g1	OG0003100	LOC122717516	XM_043941667.1	facilitated trehalose transporter Tret1-like	242	1.0	1.0	242	0	242	502	744	1480	0	True	3.0	3.75	3.9171536419845667	0.33002796130131584	242
AL	AL	AL|c102391_g1	OG0009381	LOC122713367	XM_043933742.1	RNA polymerase II degradation factor 1	230	1.0	1.0	230	0	230	240	470	1060	0	True	0.0	0.0	0.0	0.0	230
AL	AL	AL|c102470_g1	OG0000532	LOC122711243	XM_043929814.1	uncharacterized LOC122711243	488	1.0	1.0	488	0	488	4964	5452	5641	0	True	6.0	0.4	0.41782972181168715	0.3273228140775345	488
AL	AL	AL|c102497_g1	OG0009982	LOC122711239	XM_043929810.1	uncharacterized LOC122711239	451	1.0	1.0	451	0	451	1046	1497	2220	0	True	147.0	11.85	12.37820550867123	8.677320543483377	451
AL	AL	AL|c102527_g1	OG0004520	LOC122713132	XM_043933306.1	uncharacterized LOC122713132, transcript variant X4	388	1.0	0.9797979797979798	388	8	396	3689	4077	5777	0	True	59.0	6.68	6.977756354255174	3.9664471645287764	396
AL	AL	AL|c102554_g1	OG0004675	LOC122711708	XM_043930719.1	uncharacterized LOC122711708	861	1.0	0.8231357552581262	861	12	873	0	861	861	0	True	477.0	9.29	9.704095289076431	12.140359364198883	1046
AL	AL	AL|c102574_g1	OG0007693	LOC122718567	XR_006347413.1	neurexin-4, transcript variant X8	518	1.0	0.815748031496063	518	117	635	0	518	7350	0	True	8.0	0.33	0.3447095204946419	0.33539849505477554	635
AL	AL	AL|c10258_g1	OG0006666	LOC122718194	XM_043943025.1	phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform, transcript variant X2	442	1.0	0.8170055452865065	442	96	538	3974	4416	4416	0	True	190.0	10.38	10.84268128101328	9.349775514870304	541
AL	AL	AL|c102609_g1	OG0004661	LOC122711626	XM_043930603.1	homeotic protein proboscipedia	345	1.0	1.0	345	0	345	2355	2700	3001	0	True	2.0	0.36	0.3760467496305184	0.15433191620274092	345
AL	AL	AL|c102619_g1	OG0007650	LOC122714638	XM_043936141.1	bifunctional transcriptional activator/DNA repair enzyme Ada	316	1.0	0.9266862170087976	316	25	341	725	1041	1058	0	True	8.0	1.49	1.5564157137485344	0.6245690450433504	341
AL	AL	AL|c102724_g1	OG0000690	LOC122711153	XM_043929640.1	uncharacterized LOC122711153	248	0.996268656716418	0.8096676737160121	268	63	331	0	268	2133	0	True	3.0	0.63	0.6580818118534072	0.24128932518102247	331
AL	AL	AL|c102728_g1	OG0000352	LOC122711462	XM_043930262.1	brain tumor protein-like	345	1.0	0.92	345	23	368	0	345	3723	0	True	20.0	2.67	2.7890133930930117	1.4198536290652166	375
AL	AL	AL|c102736_g1	OG0007358	LOC122712506	XM_043933459.1	DNA N6-methyl adenine demethylase-like, transcript variant X2	760	1.0	0.8597285067873304	760	112	872	9887	10647	10647	0	True	165.0	4.05	4.230525933343332	4.969086159412345	884
AL	AL	AL|c102749_g1	OG0001286	LOC122711474	XM_043930277.1	transcriptional adapter 3-B	1635	1.0	0.8958904109589041	1635	95	1730	0	1635	1635	0	True	811.0	7.92	8.273028491871404	11.83049273806737	1825
AL	AL	AL|c102766_g1	OG0000118	LOC122714125	XM_043935192.1	odorant receptor 4-like	299	1.0	1.0	299	0	299	606	905	1023	0	True	2.0	0.67	0.6998647840345759	0.17807528792623953	299
AL	AL	AL|c10276_g1	OG0007827	LOC122715360	XM_043937498.1	division abnormally delayed protein, transcript variant X1	483	0.9980119284294234	1.0	503	0	503	7193	7696	7702	0	True	90.0	5.69	5.943627792771249	4.763425445422571	503
AL	AL	AL|c102789_g1	OG0000833	LOC122718874	XM_043944249.1	tubulin glycylase 3A-like	730	1.0	1.0	730	0	730	40	770	2367	0	True	14.0	0.46	0.48050418008344015	0.5105638049720813	730
AL	AL	AL|c102810_g1	OG0000247	LOC122711090	XM_043929520.1	basic-leucine zipper transcription factor A-like	433	1.0	1.0	433	0	433	4407	4840	6790	0	True	49.0	4.36	4.554343967747389	3.0126801886920735	433
AL	AL	AL|c102817_g1	OG0008425	LOC122714359	XM_043935631.1	uncharacterized LOC122714359	256	1.0	0.9481481481481482	256	0	256	0	256	3945	0	True	4.0	2.36	2.4651953586889537	0.3944037858514491	270
AL	AL	AL|c102860_g1	OG0000640	LOC122711858	XM_043930998.1	paired box protein Pax-1-like	607	1.0	1.0	607	0	607	829	1436	2553	0	True	21.0	0.93	0.9714541032121726	0.9210335526267364	607
AL	AL	AL|c102996_g1	UNGROUPED:LOC122720137	LOC122720137	XM_043946634.1	muscle M-line assembly protein unc-89-like	182	0.9553903345724907	1.0	269	0	269	3536	3793	4968	0	True	1.0	0.6	0.6267445827175306	0.09896749273224092	269
AL	AL	AL|c103039_g1	OG0008930	LOC122718792	XM_043944126.1	uncharacterized LOC122718792	791	0.9975932611311673	1.0	831	0	831	889	1720	4097	0	True	28.0	0.75	0.7834307283969133	0.8970194407451728	831
AL	AL	AL|c103053_g1	OG0001600	LOC122716907	XM_043940421.1	flocculation protein FLO11, transcript variant X7	420	1.0	1.0	420	0	420	3711	4131	5425	0	True	241.0	23.2	24.23412386507785	15.276103776996301	420
AL	AL	AL|c103056_g1	OG0000471	LOC122714591	XM_043936063.1	dynein axonemal heavy chain 3-like	307	1.0	1.0	307	0	307	808	1115	10322	0	True	5.0	1.46	1.5250784846126577	0.43358722385949205	307
AL	AL	AL|c10306_g1	OG0000172	LOC122715458	XM_043937673.1	ionotropic receptor 75a-like	318	0.9970414201183432	1.0	338	0	338	831	1169	1960	0	True	1.0	0.19	0.19846911786055138	0.07876406965968287	338
AL	AL	AL|c103094_g1	OG0000108	LOC122710741	XM_043928783.1	sentrin-specific protease 7-like	296	1.0	1.0	296	0	296	2094	2390	3585	0	True	0.0	0.0	0.0	0.0	296
AL	AL	AL|c103156_g1	OG0000876	LOC122714183	XM_043935315.1	zinc finger protein Elbow-like	268	1.0	0.9403508771929825	268	17	285	3974	4242	4242	0	True	40.0	17.18	17.945786551811963	3.736456918592675	285
AL	AL	AL|c10315_g1	OG0006329	LOC122712656	XM_043932464.1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	849	0.998849252013809	0.9709497206703911	869	26	895	0	869	950	0	True	9435.0	227.5	237.64065428039703	280.6491408567804	895
AL	AL	AL|c103175_g1	OG0003575	LOC122720445	XM_043947186.1	serine-rich adhesin for platelets-like	350	1.0	0.8974358974358975	350	0	350	0	350	12586	0	True	10.0	1.18	1.2325976793444768	0.6826219370505849	390
AL	AL	AL|c103194_g1	OG0000289	LOC122720623	XM_043947427.1	lachesin-like	243	1.0	1.0	243	0	243	1260	1503	1518	0	True	1.0	1.21	1.2639349084803535	0.10955660718095808	243
AL	AL	AL|c103196_g1	OG0000186	LOC122719531	XM_043945439.1	flagellar attachment zone protein 1-like	227	1.0	1.0	227	0	227	1166	1393	6351	0	True	2.0	4.15	4.334983363796254	0.23455731757685297	227
AL	AL	AL|c103218_g1	OG0008562	LOC122715802	XM_043938275.1	nephrin	642	1.0	1.0	642	0	642	2247	2889	4058	0	True	14.0	0.56	0.584961610536362	0.5805476287065722	642
AL	AL	AL|c103269_g1	OG0000818	LOC122720787	XM_043947763.1	cadherin-related tumor suppressor	291	1.0	0.8660714285714286	291	45	336	0	291	16050	0	True	2.0	0.39	0.4073839787663949	0.15846580681531433	336
AL	AL	AL|c103304_g1	OG0005608	LOC122711282	XM_043929882.1	uncharacterized LOC122711282	243	0.9961977186311787	1.0	263	0	263	3554	3817	5916	0	True	1.0	0.7	0.7312020131704523	0.10122530625464947	263
AL	AL	AL|c103334_g1	OG0009228	LOC122713971	XM_043934869.1	fork head domain-containing protein FD4	313	1.0	0.9427710843373494	313	0	313	16	329	1245	0	True	2.0	0.41	0.42827546485697926	0.1603750334034507	332
AL	AL	AL|c103388_g1	OG0002951	LOC122714027	XM_043935014.1	radial spoke head 1 homolog	227	1.0	0.8165467625899281	227	0	227	634	861	1081	0	True	1.0	0.5	0.5222871522646089	0.09576350915457846	278
AL	AL	AL|c103401_g1	OG0000336	LOC122711612	XM_043930568.1	centrosomal protein of 78 kDa-like	223	0.9958847736625515	1.0	243	0	243	1605	1848	2067	0	True	2.0	2.43	2.5383155600059992	0.21911321436191616	243
AL	AL	AL|c103408_g1	OG0000690	LOC122711153	XM_043929640.1	uncharacterized LOC122711153	346	1.0	1.0	346	0	346	642	988	2133	0	True	1.0	0.18	0.1880233748152592	0.07694293510107748	346
AL	AL	AL|c103425_g1	OG0002109	LOC122717225	XM_043941082.1	histone-lysine N-methyltransferase KMT5B-B-like	555	1.0	0.8078602620087336	555	0	555	4661	5216	5216	0	True	27.0	0.97	1.013237075393341	1.0462895192347392	687
AL	AL	AL|c103428_g1	OG0008256	LOC122717253	XM_043941145.1	disintegrin and metalloproteinase domain-containing protein 11, transcript variant X17	232	1.0	0.9354838709677419	232	3	235	3554	3786	3960	0	True	5.0	5.22	5.452677869642517	0.5367390230841292	248
AL	AL	AL|c10344_g1	OG0008895	LOC122711930	XM_043931123.1	vascular endothelial growth factor A-A-like	461	1.0	0.944672131147541	461	0	461	0	461	962	0	True	12.0	0.81	0.8461051866686664	0.654645628155069	488
