run_accession	species	location	assembly	start_1based	end_1based	mean_fragment_depth
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656449	656548	53.0200
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656549	656648	43.8100
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656649	656748	59.4000
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656749	656848	58.9800
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656849	656948	51.5000
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656949	657048	53.0300
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657049	657148	46.3300
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657149	657248	36.9100
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657249	657348	22.6100
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657349	657448	33.6300
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657449	657548	41.8600
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657549	657648	35.2300
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657649	657748	39.6800
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657749	657848	44.4600
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657849	657948	26.0600
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657949	658048	14.8100
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658049	658148	20.2200
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658149	658248	23.9900
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658249	658348	21.6700
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658349	658448	31.4300
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658449	658548	42.6600
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658549	658648	42.9800
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658649	658748	33.0100
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658749	658836	40.9432
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	650749	650848	32.5100
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	650849	650948	30.4400
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	650949	651048	31.7400
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651049	651148	36.7500
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651149	651248	34.4500
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651249	651348	29.1300
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651349	651448	23.9700
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651449	651548	29.6200
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651549	651648	31.5800
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651649	651748	28.1700
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651749	651848	27.6200
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651849	651948	28.8800
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651949	652048	35.4200
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652049	652148	34.7300
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652149	652248	33.9000
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652249	652348	31.8500
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652349	652448	41.2900
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652449	652548	43.8500
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652549	652648	46.4200
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652649	652748	41.2800
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652749	652848	44.7000
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652849	652948	40.3200
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652949	653048	42.0300
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653049	653148	44.7300
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653149	653248	33.9400
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653249	653348	36.2400
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653349	653448	36.9300
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653449	653548	34.0900
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653549	653648	35.4400
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653649	653748	32.6200
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653749	653848	35.9300
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653849	653948	38.3300
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653949	654048	27.0600
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654049	654148	29.8400
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654149	654248	41.7900
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654249	654348	36.9600
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654349	654448	35.7300
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654449	654548	33.9500
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654549	654648	27.4900
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654649	654748	32.1100
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654749	654848	31.7500
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654849	654948	35.0400
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654949	655048	37.1600
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655049	655148	37.5400
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655149	655248	32.4000
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655249	655348	26.4900
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655349	655448	26.4500
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655449	655548	25.4600
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655549	655648	23.5200
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655649	655748	18.9500
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655749	655848	24.0100
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655849	655948	27.1200
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655949	656048	28.0200
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656049	656148	28.3700
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656149	656248	28.4800
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656249	656348	31.2200
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656349	656448	35.2500
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656449	656548	33.2700
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656549	656648	28.1700
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656649	656748	35.5700
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656749	656848	33.2000
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656849	656948	26.1000
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656949	657048	33.4300
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657049	657148	30.2100
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657149	657248	27.4600
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657249	657348	21.1100
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657349	657448	27.8700
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657449	657548	28.0900
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657549	657648	29.2900
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657649	657748	37.9900
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657749	657848	36.0900
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657849	657948	23.4100
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657949	658048	17.4300
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658049	658148	10.2000
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658149	658248	12.7200
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658249	658348	14.8700
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658349	658448	20.1500
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658449	658548	18.6100
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658549	658648	21.7600
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658649	658748	29.5000
SRR23343439	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658749	658836	32.4659
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	650749	650848	24.7300
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	650849	650948	33.4400
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	650949	651048	31.2700
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651049	651148	29.1300
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651149	651248	32.4900
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651249	651348	39.1700
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651349	651448	35.7200
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651449	651548	41.8100
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651549	651648	44.0400
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651649	651748	34.6700
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651749	651848	31.9200
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651849	651948	36.4800
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651949	652048	40.2800
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652049	652148	38.0700
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652149	652248	39.8000
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652249	652348	45.8000
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652349	652448	44.9200
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652449	652548	41.4400
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652549	652648	47.6100
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652649	652748	40.5200
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652749	652848	34.6000
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652849	652948	39.0500
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652949	653048	38.3400
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653049	653148	41.2800
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653149	653248	35.2800
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653249	653348	43.0900
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653349	653448	37.9600
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653449	653548	30.1600
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653549	653648	32.2400
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653649	653748	44.9900
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653749	653848	38.8600
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653849	653948	35.8700
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653949	654048	23.9300
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654049	654148	24.7900
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654149	654248	27.1900
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654249	654348	19.7200
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654349	654448	21.8500
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654449	654548	14.7500
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654549	654648	3.2400
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654649	654748	10.2100
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654749	654848	15.6300
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654849	654948	21.2400
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654949	655048	35.0100
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655049	655148	31.9800
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655149	655248	29.5900
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655249	655348	33.8300
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655349	655448	30.3400
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655449	655548	31.9800
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655549	655648	36.9900
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655649	655748	22.5800
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655749	655848	32.3100
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655849	655948	40.3400
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655949	656048	34.4100
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656049	656148	38.0000
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656149	656248	37.6900
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656249	656348	35.5300
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656349	656448	35.2700
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656449	656548	32.0800
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656549	656648	27.6700
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656649	656748	34.4900
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656749	656848	36.6900
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656849	656948	33.2300
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656949	657048	32.2800
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657049	657148	29.2500
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657149	657248	33.8600
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657249	657348	18.0800
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657349	657448	20.0800
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657449	657548	18.8600
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657549	657648	18.6800
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657649	657748	18.9000
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657749	657848	21.3200
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657849	657948	14.7800
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	657949	658048	12.2900
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658049	658148	10.1600
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658149	658248	12.7700
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658249	658348	19.3600
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658349	658448	28.1700
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658449	658548	38.2600
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658549	658648	41.7200
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658649	658748	39.6900
SRR23343440	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	658749	658836	36.1136
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	650749	650848	21.7900
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	650849	650948	25.1100
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	650949	651048	27.6100
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	651049	651148	29.1800
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	651149	651248	29.3200
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	651249	651348	27.0800
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	651349	651448	30.6900
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	651449	651548	28.9000
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	651549	651648	25.3800
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	651649	651748	30.4000
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	651749	651848	37.9400
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	651849	651948	37.8400
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	651949	652048	35.1700
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	652049	652148	34.8800
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	652149	652248	41.3100
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	652249	652348	42.1300
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	652349	652448	43.7300
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	652449	652548	34.7900
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	652549	652648	41.7800
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	652649	652748	35.9800
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	652749	652848	34.0900
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	652849	652948	30.7800
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	652949	653048	34.8000
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	653049	653148	28.4200
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	653149	653248	23.0000
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	653249	653348	28.7200
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	653349	653448	33.7700
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	653449	653548	33.7400
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	653549	653648	31.5900
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	653649	653748	31.9300
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	653749	653848	24.8800
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	653849	653948	30.3700
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	653949	654048	25.1500
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	654049	654148	29.4900
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	654149	654248	37.3100
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	654249	654348	32.1800
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	654349	654448	33.9700
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	654449	654548	32.7900
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	654549	654648	24.8600
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	654649	654748	28.7400
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	654749	654848	28.7700
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	654849	654948	23.3800
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	654949	655048	35.9900
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	655049	655148	27.6300
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	655149	655248	32.6600
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	655249	655348	36.5200
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	655349	655448	34.2600
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	AL_Shangrila	655449	655548	22.3600
