Orthogroup	Apis_cerana	Apis_dorsata	Apis_florea	Apis_laboriosa	Apis_mellifera	Bombus_terrestris
OG0000010	XP_016910762.1, XP_016910776.1, XP_016914441.2, XP_016914825.2	XP_006608907.1, XP_006618664.1, XP_006618961.1, XP_031370461.1	XP_003693107.1, XP_012343993.3, XP_031773284.1, XP_031773302.1, XP_086766531.1	XP_043795673.1, XP_043795819.1, XP_043797705.1, XP_043797716.1, XP_043797736.1	XP_006571990.1, XP_026297715.1, XP_026300528.1, XP_624193.2	XP_048269589.1, XP_048269590.1, XP_048269620.1, XP_048269634.1, XP_048269763.1, XP_048269765.1
OG0000011	XP_016917775.1	XP_006613362.1	XP_012342392.2	XP_043800192.1	XP_016768427.2	XP_048262513.1, XP_048262583.1, XP_048262585.1, XP_048265415.1, XP_048265416.1, XP_048265418.1, XP_048265419.1, XP_048265420.1, XP_048270150.1, XP_048270151.1, XP_048270152.1, XP_048270153.1, XP_048270154.1, XP_048270155.1, XP_048270157.1, XP_048270160.1, XP_048270161.1, XP_048270162.1, XP_048270163.1, XP_048270164.1, XP_048270165.1, XP_048270167.1, XP_048270243.1
OG0000012	XP_016904253.1	XP_006613377.1	XP_012350037.2	XP_043786285.1	XP_001120419.1	XP_012169627.1, XP_048265812.1, XP_048265888.1, XP_048265889.1, XP_048265890.1, XP_048265891.1, XP_048265892.1, XP_048265893.1, XP_048265894.1, XP_048265895.1, XP_048266221.1, XP_048266223.1, XP_048266224.1, XP_048266226.1, XP_048266228.1, XP_048266320.1, XP_048266321.1, XP_048266322.1, XP_048266323.1, XP_048266324.1, XP_048266465.1, XP_048266466.1, XP_048266546.1
OG0000013	XP_061942190.1, XP_061942191.1	XP_006614630.1, XP_031365750.1, XP_031365752.1, XP_031365757.1	XP_003696135.2, XP_003696140.2, XP_012344930.2, XP_086758532.1	XP_043789036.1, XP_043789037.1	XP_016772002.2, XP_016772004.2, XP_026301413.1	XP_003401115.1, XP_003403027.1, XP_048268711.1, XP_048268712.1, XP_048268815.1, XP_048268816.1, XP_048268817.1, XP_048268821.1, XP_048268822.1, XP_048268825.1, XP_048268826.1
OG0000014	XP_016915998.1	XP_006620606.1	XP_003697888.1	XP_043785030.1	XP_623481.2	XP_048260427.1, XP_048260573.1, XP_048260602.1, XP_048260635.1, XP_048260646.1, XP_048260692.1, XP_048260703.1, XP_048260904.1, XP_048260907.1, XP_048260909.1, XP_048260914.1, XP_048260918.1, XP_048261036.1, XP_048261040.1, XP_048261044.1, XP_048261050.1, XP_048261348.1, XP_048261357.1, XP_048261471.1, XP_048270133.1
OG0000015	XP_016910316.1, XP_016910320.1, XP_016910322.1, XP_016910325.2, XP_016910326.1	XP_006615207.1, XP_006615208.1, XP_006615209.1, XP_006615210.1	XP_003691311.2, XP_003691312.2, XP_012350994.2, XP_086771300.1, XP_086771305.1	XP_043803333.1, XP_043803334.1, XP_043803335.1, XP_043803337.1, XP_043803339.1	NP_001229889.1, NP_001229890.1, NP_001229891.1, NP_001229892.1, XP_006565945.1	
OG0000016	XP_016908627.2, XP_016908632.2, XP_016908637.2, XP_061938730.1	XP_006608955.1, XP_006608956.1, XP_006608958.1, XP_006608960.1, XP_006608961.1, XP_006608962.2	XP_003698402.2, XP_003698403.2, XP_086767802.1, XP_086767805.1, XP_086767809.1	XP_043803754.1, XP_043803879.1	NP_001229916.1, NP_001229917.1, XP_006562271.1, XP_006562272.1, XP_006562273.2	XP_003399526.1, XP_048267103.1
OG0000017	XP_016910417.1, XP_016910440.1, XP_016910445.1, XP_061927057.1	XP_006615223.1, XP_031366070.1, XP_031366071.1	XP_003691461.2, XP_012350983.1, XP_031770793.1, XP_086771271.1	XP_043803249.1, XP_043803283.1	NP_001229909.1, NP_001229911.1, XP_006565883.2, XP_026294765.1	XP_012175714.1, XP_012175715.2, XP_012175716.2, XP_020722961.2, XP_048265509.1, XP_048267274.1
OG0000018	XP_016908972.1, XP_016918774.2, XP_061935787.1, XP_061935788.1	XP_006621042.1, XP_006621044.1	XP_003695768.1, XP_086771058.1	XP_043791705.1, XP_043791908.1	XP_003251850.1, XP_026298534.1, XP_026298718.1, XP_026298730.1	XP_003401771.1, XP_003401772.1, XP_003401773.1, XP_003401825.1, XP_003401883.2, XP_003402069.1, XP_003402699.1, XP_012168526.2, XP_020720540.1
OG0000019	XP_016921509.1, XP_028525352.1, XP_028525353.1, XP_061933275.1	XP_006618074.2, XP_006621111.1, XP_031364231.1	XP_003697997.1, XP_012341146.1, XP_031775378.2, XP_086773067.1	XP_043795672.1, XP_043803468.1, XP_043803469.1, XP_043803708.1	XP_003251221.1, XP_003251624.1, XP_006570863.1, XP_016773376.1	XP_003392964.1, XP_003392970.1, XP_003393115.1, XP_012166136.1
OG0000020	XP_016917746.1	XP_006617290.1	XP_012339771.1	XP_043802667.1	XP_006557288.1	XP_020718945.2, XP_020718949.2, XP_048262085.1, XP_048262087.1, XP_048262089.1, XP_048262093.1, XP_048262094.1, XP_048262095.1, XP_048262100.1, XP_048262103.1, XP_048262106.1, XP_048262109.1, XP_048262113.1, XP_048262115.1, XP_048262118.1, XP_048262120.1, XP_048262122.1, XP_048262125.1
OG0000021	XP_016906658.1	XP_031365399.1	XP_003696431.1	XP_043792454.1	XP_625158.1	XP_003395860.2, XP_012164396.1, XP_048262127.1, XP_048262128.1, XP_048262129.1, XP_048262130.1, XP_048262131.1, XP_048262132.1, XP_048262133.1, XP_048262134.1, XP_048262135.1, XP_048262137.1, XP_048262138.1, XP_048262139.1, XP_048262140.1, XP_048262141.1, XP_048262142.1, XP_048262143.1
OG0000022	XP_016918043.2	XP_031366281.1	XP_012344105.2	XP_043804184.1	XP_006565270.3	XP_003394733.1, XP_003402269.2, XP_003402802.1, XP_020721700.2, XP_020723448.1, XP_020723511.2, XP_020723568.1, XP_020723844.2, XP_048269586.1, XP_048269587.1, XP_048269631.1, XP_048269632.1, XP_048269751.1, XP_048269871.1, XP_048269881.1, XP_048269882.1, XP_048269886.1
OG0000023	XP_028520755.1	XP_006613357.1	XP_031772497.1	XP_043799979.1	XP_016768399.1	XP_048262475.1, XP_048262592.1, XP_048262596.1, XP_048262600.1, XP_048270183.1, XP_048270188.1, XP_048270192.1, XP_048270195.1, XP_048270197.1, XP_048270202.1, XP_048270206.1, XP_048270209.1, XP_048270212.1, XP_048270215.1, XP_048270218.1, XP_048270244.1, XP_048270247.1
OG0000024	XP_016913015.3, XP_016915699.2, XP_061931849.1	XP_006608753.1, XP_006620006.1, XP_006620009.2	XP_003693970.2, XP_003698433.1, XP_012348769.2, XP_086770892.1	XP_043784893.1, XP_043804383.1, XP_043804403.1	XP_016768414.1, XP_026296992.1, XP_026296993.1, XP_026297082.1	XP_003402921.3, XP_003402924.2, XP_003402925.2, XP_048262759.1, XP_048262760.1
OG0000025	XP_016922090.2, XP_016922763.1, XP_061939985.1	XP_006614287.1, XP_006623283.1, XP_031365621.1, XP_031365622.1	XP_003698349.1, XP_031772912.2, XP_031772930.2, XP_086770308.1, XP_086770321.1	XP_043787430.1, XP_043787544.1, XP_043793785.1, XP_043799749.1	NP_001352068.1, NP_001352069.1, XP_006565076.1, XP_026300602.1, XP_623595.1	
OG0000026	XP_016904178.2, XP_016904186.3, XP_061939172.1, XP_061939175.1, XP_061939177.1	XP_006610185.2, XP_006610187.1, XP_031371291.1, XP_031371301.1, XP_031371302.1	XP_003695914.2, XP_012344902.2, XP_086767336.1	XP_043793911.1, XP_043793988.1, XP_043793995.1, XP_043793996.1	XP_003249267.2, XP_003249268.2, XP_006558389.2, XP_026300226.1	
OG0000027	XP_016915706.1, XP_061929478.1, XP_061929488.1, XP_061929490.1	XP_006607952.1, XP_006607953.1, XP_031368094.1	XP_003694301.3, XP_003694327.1, XP_012342860.1, XP_086759251.1	XP_043797386.1, XP_043797440.1, XP_043797463.1, XP_043802886.1	XP_006571892.1, XP_026295806.1, XP_026296155.1, XP_026296165.1, XP_026296169.1	XP_048260720.1
OG0000028	XP_016908830.1, XP_016908831.1, XP_016908837.2, XP_016910857.1	XP_006614783.1, XP_006618586.1, XP_006618588.1, XP_031367741.1	XP_003695683.2, XP_003695684.1, XP_003698870.1, XP_012344720.2	XP_043795325.1, XP_043801496.1, XP_043801501.1, XP_043801506.1	XP_001120852.2, XP_001120897.2, XP_026298987.1, XP_624521.1	XP_012176235.1
OG0000029	XP_016909358.1, XP_016913481.1, XP_016919493.2, XP_061929463.1	XP_006615004.1, XP_006624788.2, XP_031366457.1	XP_003693472.1, XP_003695739.2, XP_031772768.2, XP_086759570.1	XP_043790049.1, XP_043801581.1, XP_043802864.1, XP_043802877.1	XP_026295775.1, XP_026295994.1, XP_026296030.1, XP_026299539.1, XP_026300392.1	XP_003398756.3
OG0000030	XP_061942644.1	XP_006620568.1	XP_003697890.3	XP_043785134.1	XP_026301619.1	XP_048260697.1, XP_048260923.1, XP_048260927.1, XP_048261049.1, XP_048261051.1, XP_048261052.1, XP_048261054.1, XP_048261354.1, XP_048261355.1, XP_048261363.1, XP_048261440.1, XP_048261475.1, XP_048264927.1, XP_048266672.1, XP_048270119.1, XP_048270693.1
OG0000031	XP_061932899.1, XP_061932906.1, XP_061932907.1, XP_061932919.1, XP_061932920.1, XP_061932921.1, XP_061932922.1, XP_061932923.1, XP_061932925.1, XP_061932926.1, XP_061932927.1, XP_061932931.1, XP_061933393.1, XP_061933394.1, XP_061933395.1	XP_031365260.1	XP_031771849.2, XP_031771850.2, XP_031771851.2, XP_031771852.2		XP_026297579.1	
OG0000032	XP_061935560.1, XP_061935561.1, XP_061935565.1	XP_006617781.1, XP_006617783.1, XP_006617784.1, XP_006617787.1, XP_031367341.1, XP_031367343.1, XP_031367344.1, XP_031367345.1, XP_031367346.1, XP_031367347.1, XP_031367382.1	XP_086763273.1, XP_086763337.1, XP_086763346.1, XP_086763370.1, XP_086763378.1			
OG0000033			XP_012341578.2, XP_086759585.1, XP_086759586.1, XP_086764401.1, XP_086764491.1, XP_086768478.1, XP_086768611.1, XP_086770093.1, XP_086770204.1, XP_086770205.1, XP_086770659.1, XP_086770660.1, XP_086770666.1, XP_086770667.1, XP_086773853.1, XP_086773864.1, XP_086773865.1, XP_086773866.1			XP_012175230.2
OG0000034	XP_061936882.1	XP_006610666.1	XP_086769303.1	XP_043792714.1	XP_016769477.1	XP_003394739.1, XP_003400333.1, XP_003402021.2, XP_003402064.2, XP_003402067.2, XP_003403320.2, XP_012173606.3, XP_048265143.1, XP_048265145.1, XP_048265423.1, XP_048266584.1, XP_048269605.1, XP_048269618.1
OG0000035	XP_016910306.2, XP_016910323.1, XP_061927053.1	XP_006615212.1, XP_031366094.1, XP_031366112.1	XP_003691315.1, XP_012350997.1, XP_031770829.1	XP_043803233.1, XP_043803234.1, XP_043803343.1	NP_001229887.1, NP_001229888.1, XP_006565941.2, XP_006565943.1	XP_020722314.2, XP_020722318.2
OG0000036	XP_016904927.2, XP_061941113.1	XP_006619083.1, XP_031367931.1, XP_031368045.1	XP_003690072.2, XP_003693100.2, XP_086765349.1, XP_086766233.1	XP_043800515.1, XP_043801164.1, XP_043801166.1	NP_001128419.1, NP_001136081.1, XP_016768459.2, XP_026300733.1	XP_003396910.3, XP_003396911.2
OG0000037	XP_016921426.1, XP_016921507.1, XP_061932794.1	XP_006618073.1, XP_006621110.1, XP_031368961.1	XP_003697960.1, XP_003697994.1, XP_031775359.1	XP_043803593.1, XP_043803594.1, XP_043803645.1	XP_001120132.1, XP_003251619.1, XP_006570899.1	XP_003392965.1, XP_003392969.1, XP_020718381.1
OG0000038		XP_031370134.1				XP_048269545.1, XP_048269551.1, XP_048269594.1, XP_048269601.1, XP_048269609.1, XP_048269614.1, XP_048269616.1, XP_048269636.1, XP_048269639.1, XP_048269666.1, XP_048269738.1, XP_048269787.1, XP_048269835.1, XP_048269847.1, XP_048269869.1, XP_048269926.1, XP_048269932.1
OG0000039	XP_016905027.2	XP_031367938.1	XP_003693098.3	XP_043800581.1	XP_006564344.2	XP_048269548.1, XP_048269603.1, XP_048269607.1, XP_048269621.1, XP_048269747.1, XP_048269750.1, XP_048269786.1, XP_048269844.1, XP_048269849.1, XP_048269852.1, XP_048269853.1, XP_048269861.1, XP_048269862.1
OG0000040	XP_016922294.2, XP_016922295.2, XP_061940392.1	XP_006613022.1, XP_006613025.1, XP_031365039.1	XP_003697814.1, XP_012347837.3	XP_043785175.1, XP_043785176.1, XP_043785179.1	XP_006562363.1, XP_006562364.1, XP_392000.1	XP_003393377.1, XP_003403396.3, XP_048268002.1
OG0000041	XP_016913160.1, XP_061927745.1, XP_061928104.1	XP_031367547.1, XP_031367549.1, XP_031367553.1, XP_031367568.1	XP_031774655.2, XP_031774658.2, XP_086764576.1, XP_086764587.1	XP_043797380.1	NP_001314879.1, XP_016766484.1, XP_026294949.1	XP_012173466.2, XP_012173473.1
OG0000042	XP_028521976.2, XP_028521984.1, XP_061927045.1	XP_006615184.1, XP_006615189.1, XP_031366092.1	XP_086771263.1, XP_086771264.1, XP_086771266.1	XP_043803255.1, XP_043803265.1, XP_043803273.1, XP_043803281.1	XP_001121864.2, XP_026294903.1, XP_026294907.1	
OG0000043	XP_028524203.1, XP_061940186.1, XP_061941108.1	XP_006624547.1, XP_031370440.1, XP_031370441.1	XP_031771870.1, XP_086770764.1, XP_086770770.1, XP_086770772.1	XP_043790274.1, XP_043790278.1	XP_006571977.2, XP_026301740.1	XP_020719100.1, XP_048262767.1
OG0000044	XP_016914448.1, XP_016918452.1, XP_016921274.1	XP_006611196.1, XP_006618077.1, XP_006624655.1	XP_003693020.1, XP_086769072.1	XP_043795774.1, XP_043796300.1, XP_043803438.1	XP_001120014.1, XP_001120889.1, XP_003251406.1	XP_003396974.1, XP_012165320.1
OG0000045	XP_016910815.1, XP_016916570.1, XP_016922807.1	XP_006616663.1, XP_006623954.1, XP_031364363.1	XP_012342994.2, XP_012343982.2, XP_012347222.1	XP_043785657.1, XP_043793750.1, XP_043797685.1	XP_003249384.1, XP_006565013.1, XP_026300501.1	XP_012171975.1
OG0000046	XP_016904869.1, XP_061941719.1	XP_031363868.1, XP_031363992.1, XP_031363993.1	XP_003690518.1, XP_031776147.2, XP_031776180.2, XP_086769637.1	XP_043791037.1, XP_043791333.1, XP_043791347.1	XP_001122272.2, XP_001122287.2, XP_001122304.3	XP_003399216.2
OG0000047	XP_061928159.1, XP_061928160.1, XP_061928992.1, XP_061929010.1, XP_061929013.1, XP_061929014.1	XP_031364567.1, XP_031364580.1	NP_001306792.1, XP_031776393.2	XP_043784016.1	NP_001128300.1, XP_026295217.1, XP_026295220.1	XP_003394693.2, XP_012173953.1
OG0000048	XP_016922082.1, XP_028525629.2	XP_031365614.1, XP_031365619.1	XP_003694553.2, XP_031772951.2, XP_086770276.1	XP_043787546.1, XP_043787550.1, XP_043787551.1	NP_001352128.1, NP_001352129.1, XP_026300532.1, XP_026300534.1	XP_003400131.2
OG0000049	XP_016910386.2, XP_016910433.1, XP_061927066.1	XP_006615217.2, XP_006615219.2	XP_086771329.1, XP_086771331.1, XP_086771332.1	XP_043803270.1, XP_043803280.1, XP_043803340.1	XP_006565970.2, XP_016773528.1, XP_016773537.1	XP_012175609.1
OG0000050	XP_016913206.1, XP_061936879.1	XP_006620116.1, XP_031363940.1, XP_031363942.1	XP_012344220.3, XP_086769300.1, XP_086769509.1	XP_043792679.1, XP_043792746.1, XP_043794615.1	XP_394219.3, XP_396549.3	XP_020723875.2
OG0000051	XP_016904923.1, XP_016904924.3, XP_016904925.2	XP_031367934.1	XP_003692912.2, XP_003693096.1, XP_086766256.1	XP_043800447.1, XP_043800448.1, XP_043800450.1	NP_001229922.1, XP_006564341.1, XP_026297484.1	XP_020720570.1
OG0000052	XP_016905024.2, XP_016905025.1, XP_061930384.1	XP_006622731.1, XP_031370605.1	XP_003698020.1, XP_012340937.3, XP_086766330.1	XP_043800525.1, XP_043803772.1	XP_001120116.2, XP_016768768.2, XP_026300288.1	XP_003393462.1
OG0000053	XP_061929509.1	XP_006623344.1, XP_006624919.1, XP_031368096.1, XP_031370764.1	XP_086759252.1, XP_086759555.1, XP_086759588.1	XP_043797418.1, XP_043802879.1	XP_026295890.1, XP_026296171.1, XP_026296173.1	XP_012163184.2
OG0000054	XP_016917652.1, XP_016917653.1	XP_006615585.2, XP_031366268.1	XP_012342097.2, XP_012342100.2, XP_086771931.1	XP_043801423.1, XP_043801450.1	XP_006572147.1, XP_026299588.1, XP_026299592.1, XP_026301733.1	XP_003396694.1
OG0000055						XP_012169517.2, XP_012171920.2, XP_012171921.2, XP_012173748.2, XP_012174864.2, XP_012175480.2, XP_048263592.1, XP_048267010.1, XP_048267468.1, XP_048267479.1, XP_048267987.1, XP_048270138.1, XP_048270144.1, XP_048270145.1
OG0000056	XP_061927043.1, XP_061927966.1	XP_006615225.1, XP_006615226.1	XP_003691463.2, XP_003691464.1	XP_043803252.1, XP_043803274.1	NP_001229907.1, XP_006565966.1	XP_003393920.2, XP_003394006.2, XP_048267265.1
OG0000057	XP_016910425.1, XP_016910450.2, XP_016910458.2	XP_006615194.2, XP_031366114.1	XP_031770832.2, XP_086771296.1, XP_086771301.1	XP_043803250.1, XP_043803312.1	XP_006565887.1, XP_016773454.2	XP_048267214.1
OG0000058	XP_016910453.2	XP_006615193.1	XP_003691300.2	XP_043803342.1	NP_001229898.1	XP_003393907.1, XP_003393910.2, XP_003393999.1, XP_003394000.2, XP_020723889.1, XP_048266347.1, XP_048267223.1, XP_048267226.1
OG0000059	XP_061939176.1	XP_031371295.1, XP_031371305.1	XP_012345364.2, XP_031773985.2, XP_086767166.1	XP_043793914.1, XP_043793991.1, XP_043794002.1	XP_003249229.1, XP_003249281.2	XP_048268947.1, XP_048268950.1
OG0000060	XP_016905297.1, XP_061939981.1	XP_031370967.1, XP_031370968.1	XP_012340942.3, XP_031771798.2	XP_043794860.1, XP_043794977.1	XP_016771366.1, XP_026300578.1, XP_026300642.1, XP_026300643.1	XP_048267494.1
OG0000061	XP_016904442.1	XP_006613378.1	XP_012350034.1	XP_043787359.1	XP_006559928.1	XP_048265882.1, XP_048265884.1, XP_048265887.1, XP_048265913.1, XP_048266220.1, XP_048266230.1, XP_048266316.1, XP_048266535.1
OG0000062	XP_061939289.1, XP_061939297.1	XP_006607989.1, XP_031366171.1, XP_031366173.1	XP_086769248.1, XP_086769249.1	XP_043795551.1, XP_043795552.1	XP_026302042.1, XP_026302043.1, XP_026302118.1	XP_048263593.1
OG0000063	XP_016909749.1, XP_061941741.1	XP_031366974.1, XP_031366975.1	XP_031773801.1, XP_031773802.2	XP_043789112.1, XP_043789113.1, XP_043789114.1	XP_001120999.2, XP_006563415.1, XP_016771997.1	XP_003401763.2
OG0000064	XP_016918930.1, XP_016918933.1	XP_006612883.1, XP_031364993.1	XP_003695564.1, XP_086767934.1, XP_086767937.1	XP_043794453.1, XP_043794454.1, XP_043794455.1	NP_001265267.1, XP_026299557.1	XP_048261814.1
OG0000065	XP_016922312.1, XP_016922323.1	XP_006611592.1, XP_006616660.1, XP_031366745.1	XP_003697792.1, XP_012347846.2, XP_031774919.2	XP_043785758.1, XP_043786051.1, XP_043793731.1	XP_001121836.2, XP_006562374.2	
OG0000066	XP_016904173.2, XP_061938721.1, XP_061938724.1	XP_031371303.1, XP_031371304.1	XP_086767217.1, XP_086767822.1	XP_043793987.1	XP_016771075.1, XP_026300224.1, XP_026300227.1	XP_020722621.2
OG0000067	XP_061939169.1, XP_061939170.1	XP_031371296.1	XP_003696183.3, XP_086767204.1, XP_086767253.1	XP_043793986.1, XP_043793992.1, XP_043793997.1	XP_003249278.2, XP_026300256.1	XP_048268949.1
