species	accession	gene	reference_aa	global_blosum62_score	paired_columns	identity_in_paired_columns	identical_aa	candidate_paired_fraction
Drosophila_melanogaster	F2FB92	CG31792-RA	1011	2242.0	979	0.5250255362614913	514	0.7327844311377245
Drosophila_melanogaster	Q7KTC1	MRP	1548	1907.5	1260	0.37857142857142856	477	0.9431137724550899
Drosophila_melanogaster	Q7KTB7	MRP	1548	1906.5	1260	0.3746031746031746	472	0.9431137724550899
Drosophila_melanogaster	Q7KTC3	MRP	1548	1906.5	1260	0.37777777777777777	476	0.9431137724550899
Drosophila_melanogaster	Q7KTC8	MRP	1548	1906.5	1260	0.37857142857142856	477	0.9431137724550899
Drosophila_melanogaster	Q7KTB9	MRP	1548	1905.5	1260	0.3738095238095238	471	0.9431137724550899
Drosophila_melanogaster	Q7KTC4	MRP	1548	1905.5	1260	0.3746031746031746	472	0.9431137724550899
Drosophila_melanogaster	Q7KTD0	MRP	1548	1905.5	1260	0.37777777777777777	476	0.9431137724550899
Drosophila_melanogaster	Q7KTC6	MRP	1548	1904.5	1260	0.3738095238095238	471	0.9431137724550899
Drosophila_melanogaster	Q7KTC2	MRP	1548	1892.5	1259	0.374900714853058	472	0.9423652694610778
Drosophila_melanogaster	Q7KTC9	MRP	1548	1891.5	1259	0.374900714853058	472	0.9423652694610778
Drosophila_melanogaster	Q9I7N0	MRP	1548	1890.5	1260	0.37222222222222223	469	0.9431137724550899
Drosophila_melanogaster	U3RH07	MRP-RB	1548	1890.5	1260	0.37222222222222223	469	0.9431137724550899
Drosophila_melanogaster	Q7KTC7	MRP	1548	1889.5	1260	0.37222222222222223	469	0.9431137724550899
Drosophila_melanogaster	Q7KTC0	MRP	1549	1881.5	1253	0.37749401436552277	473	0.937874251497006
Drosophila_melanogaster	Q8T9C5	MRP	1548	1880.5	1260	0.37063492063492065	467	0.9431137724550899
Drosophila_melanogaster	Q9VK56	MRP	1549	1880.5	1253	0.37749401436552277	473	0.937874251497006
Drosophila_melanogaster	Q7KTB8	MRP	1548	1845.5	1249	0.37389911929543634	467	0.9348802395209581
Drosophila_melanogaster	Q7KTC5	MRP	1548	1844.5	1249	0.37389911929543634	467	0.9348802395209581
Drosophila_melanogaster	A0A0S0WIA2	MRP	1492	1726.0	1204	0.3754152823920266	452	0.9011976047904192
Drosophila_melanogaster	Q7K4E4		1487	1421.5	1230	0.34471544715447155	424	0.9206586826347305
Drosophila_melanogaster	Q9VLP5	Dmel\CG7806	1487	1421.5	1230	0.34471544715447155	424	0.9206586826347305
Drosophila_melanogaster	Q9VL32	Sur	2223	1241.0	1264	0.3694620253164557	467	0.9461077844311377
Homo_sapiens	O15439	ABCC4	1325	2932.0	1267	0.47513812154696133	602	0.9483532934131736
Homo_sapiens	Q92887	ABCC2	1545	1958.5	1251	0.3932853717026379	492	0.936377245508982
Homo_sapiens	P33527	ABCC1	1531	1924.0	1251	0.39728217426059154	497	0.936377245508982
Homo_sapiens	P13569	CFTR	1480	1870.0	1270	0.36141732283464567	459	0.9505988023952096
Homo_sapiens	O15438	ABCC3	1527	1857.5	1249	0.38030424339471575	475	0.9348802395209581
Homo_sapiens	O15440	ABCC5	1437	1853.5	1255	0.37928286852589643	476	0.9393712574850299
Homo_sapiens	Q96J65	ABCC12	1359	1780.5	1246	0.3667736757624398	457	0.9326347305389222
Homo_sapiens	Q96J66	ABCC11	1382	1750.0	1251	0.37569944044764186	470	0.936377245508982
Homo_sapiens	O60706	ABCC9	1549	1579.0	1266	0.3467614533965245	439	0.9476047904191617
Homo_sapiens	Q5T3U5	ABCC10	1492	1507.0	1203	0.36990856192851207	445	0.9004491017964071
Homo_sapiens	Q09428	ABCC8	1581	1502.0	1279	0.3408913213448006	436	0.9573353293413174
Homo_sapiens	O95255	ABCC6	1503	1501.0	1239	0.3583535108958838	444	0.9273952095808383
