relative_path	accession_or_dataset	source_url	size_bytes	sha256
genomes/apis_mellifera/GCF_003254395.2_protein.faa.gz	GCF_003254395.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/395/GCF_003254395.2_Amel_HAv3.1/GCF_003254395.2_Amel_HAv3.1_protein.faa.gz	6399671	ed9ef12928027c8a81834b572e664a9dc78133c20673c10b803640604c470b00
genomes/apis_cerana/GCF_029169275.2_genomic.gff.gz	GCF_029169275.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/169/275/GCF_029169275.2_AcerK_1.0/GCF_029169275.2_AcerK_1.0_genomic.gff.gz	7900622	fc8704cd836873da09a0536b7c36c834a04c6dd1122b1d915ec02b9d8445f32e
genomes/apis_cerana/GCF_029169275.2_protein.faa.gz	GCF_029169275.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/169/275/GCF_029169275.2_AcerK_1.0/GCF_029169275.2_AcerK_1.0_protein.faa.gz	6371462	46170cc54d26f925ae93df381501eac72ac36bde31cdf0639c761b0c556a68d1
genomes/apis_florea/GCF_048593485.1_genomic.gff.gz	GCF_048593485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/593/485/GCF_048593485.1_ASM4859348v1/GCF_048593485.1_ASM4859348v1_genomic.gff.gz	7016290	80d4dae2f5bc9fb09d1b92050b63614d509c935dfa40f7058083e5fa394af0cf
genomes/apis_florea/GCF_048593485.1_protein.faa.gz	GCF_048593485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/593/485/GCF_048593485.1_ASM4859348v1/GCF_048593485.1_ASM4859348v1_protein.faa.gz	6152088	0c7b3e16df6ae1577468591135979cdfdb24bca917f5b718cf1db9967415b34a
genomes/bombus_terrestris/GCF_000214255.1_genomic.gff.gz	GCF_000214255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/255/GCF_000214255.1_Bter_1.0/GCF_000214255.1_Bter_1.0_genomic.gff.gz	5996790	fe116e513500057895ec87a5bc494a692c233b8c8de1dc4c13df3575f71bee22
genomes/bombus_terrestris/GCF_000214255.1_protein.faa.gz	GCF_000214255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/255/GCF_000214255.1_Bter_1.0/GCF_000214255.1_Bter_1.0_protein.faa.gz	6078052	a6c2db5adb179376814a0fa13cd30894b39444e3d7c86c51254ef28ea5bc8bd0
references/transcriptome_2019/GSM3757258_AL.unigene.fasta.gz	GSM3757258 / GSE130963	https://www.ncbi.nlm.nih.gov/gds/303757258	21597453	e15973f2686786fd4d149bfcca5ec06a87cf4a1e7630c670849241dd4f120fe6
references/transcriptome_2019/GSM3757258_AL.Readcount_FPKM.txt.gz	GSM3757258 / GSE130963	https://www.ncbi.nlm.nih.gov/gds/303757258	574132	3629897a6dca2b8f318763f41f6ba926e3e4d22d13613d9291fbcc9cda632161
references/transcriptome_2019/GSM3757259_AD.unigene.fasta.gz	GSM3757259 / GSE130963	https://www.ncbi.nlm.nih.gov/gds/303757259	17394546	62eaede0d1129b1946995aa052d9e07030d8fc788f295187bfdcbfc64ef93b44
references/transcriptome_2019/GSM3757259_AD.Readcount_FPKM.txt.gz	GSM3757259 / GSE130963	https://www.ncbi.nlm.nih.gov/gds/303757259	425885	6c45cddb6e11dd5d0440b6a39470b4c951a8df1ff3e8f295aa142c8af48e6236
references/population_2023/extracted/Supplemental_Tables.xlsx	Cao et al. 2023 supplement	https://doi.org/10.1093/gbe/evad025	35596	0caf2f2038e0d9b45cf54d7751b5f1c03e072c8d89d03e6a888a96fa2e138880
references/rat_Nav1.4_NP_037310.2.faa	NP_037310.2	https://www.ncbi.nlm.nih.gov/protein/NP_037310.2	1945	32b44a7539f05cc41f605dc045ea10479523d5a7361b2197197a1e1d0c113a09
references/uniprot_P15390.json	UniProt P15390 topology	https://rest.uniprot.org/uniprotkb/P15390.json	49608	48fe1e562399d125a6c2fa52cf85fe5116e55f2c7dc18d95b6c778535f8d4e44
references/bee_nav_functional_panel.faa	compiled RefSeq/GenBank accessions	https://www.ncbi.nlm.nih.gov/protein/	8283	17329ab91fa2254b99a8dde53c9333144e65020e5cb3c81bc7efdbdce557e414
